sample-name,accession,sample-tag,reference-tag
Blattella germanica v1,CP001487.1,B-germanica,B-germanica
Coptotermes formosanus,CP003000.1,C-formosanus,M-darwinensis
Coptotermes formosanus,CP001429.2,C-formosanus,P-americana
Cryptotermes secundus,CP003000.1,C-secundus,M-darwinensis
Cryptotermes secundus,CP001429.2,C-secundus,P-americana
Diploptera punctata,CP049785.1,D-punctata,D-punctata
Geoscapheus dilatatus,CP142632.1,G-dilatatus,G-dilatatus
Macropanesthia lithgowae,CP142623.1,M-lithiowae,M-lithgowae
Neogeoscapheus dahmsi,CP142620.1,N-dahmsi,N-dahmsi
Neogeoscapheus hanni,CP142619.1,N-hanni,N-hanni
Panesthia cribrata,CP003000.1,P-cribrata,M-darwinensis
Panesthia cribrata,CP001429.2,P-cribrata,P-americana
Panesthia gigantea,CP142617.1,P-gigantea,P-gigantea
Panesthia lata,AP014609.1,P-lata,P-angustipennis
Panesthia sloanei,CP142615.1,P-sloanei,P-sloanei
Panesthia tryoni tegminifera,CP142613.1,P-tryoni-tegminifera,P-tryoni-tegminifera
Panesthia tryoni tryoni,CP142610.1,P-tryoni-tryoni,P-tryoni-tryoni
Panesthia tryoni tryoni (Eungella),CP142612.1,P-tryoni-tryoni-Eungella,P-tryoni-tryoni-Eungella
Periplaneta americana v4,CP001429.2,P-americana,P-americana
Reticultermes lucifugus,CP003000.1,R-lucifugus,M-darwinensis
Reticultermes lucifugus,CP001429.2,R-lucifugus,P-americana
Zootermopsis nevadensis v2,CP003000.1,Z-nevadensis,M-darwinensis
Zootermopsis nevadensis v2,CP001429.2,Z-nevadensis,P-americana
