#GENOME	BLATTA_REF
Blattella germanica v1	CP001487.1
Coptotermes formosanus
Cryptotermes secundus
Diploptera punctata	CP049785.1
Geoscapheus dilatatus	GCA_038272405.1
Macropanesthia lithgowae	GCA_038291465.1
Neogeoscapheus dahmsi	GCA_038260915.1
Neogeoscapheus hanni	GCA_038295885.1
Panesthia cribrata
Panesthia gigantea	GCA_038286975.1
Panesthia lata
Panesthia sloanei
Panesthia tryoni tegminifera	GCA_038282645.1
Panesthia tryoni tryoni	GCA_038278115.1
Panesthia tryoni tryoni (Eungella)	GCA_038280235.1
Periplaneta americana v4	CP001429.2
Reticulitermes lucifugus
Zootermopsis nevadensis v2
