sample-name,accession,sample-tag,reference-tag
Blattella germanica v1,CP001487.1,B-germanica-v1,B-germanica-v1
Blattella germanica v2,CP001487.1,B-germanica-v2,B-germanica-v2
Diploptera punctata,CP049785.1,D-punctata,D-punctata
Geoscapheus dilatatus,GCA_038272405.1,G-dilatatus,G-dilatatus
Macropanesthia lithgowae,GCA_038291465.1,M-lithgowae,M-lithgowae
Neogeoscapheus dahmsi,GCA_038260915.1,N-dahmsi,N-dahmsi
Neogeoscapheus hanni,GCA_038295885.1,N-hanni,N-hanni
Panesthia tryoni tegminifera,GCA_038282645.1,P-tryoni-tegminifera,P-tryoni-tegminifera
Panesthia tryoni tryoni,GCA_038278115.1,P-tryoni-tryoni,P-tryoni-tryoni
Panesthia tryoni tryoni Eungella,GCA_038280235.1,P-tryoni-tryoni-Eungella,P-tryoni-tryoni-Eungella
Parapanesthia gigantea,GCA_038286975.1,P-gigantea,P-gigantea
Periplaneta americana v1,CP001429.2,P-americana-v1,P-americana-v1
Periplaneta americana v2,CP001429.2,P-americana-v2,P-americana-v2
Periplaneta americana v3,CP001429.2,P-americana-v3,P-americana-v3
Periplaneta americana v4,CP001429.2,P-americana-v4,P-americana-v4
