"","bed_type","genome","ancestral_genic_hgt","ancestral_intergenic_hgt"
"1","8.v1","d-punctata_8.v1",6,13
"2","8.v1","g-dilatatus_8.v1",156,463
"3","8.v1","m-lithgowae_8.v1",163,473
"4","8.v1","n-dahmsi_8.v1",157,502
"5","8.v1","n-hanni_8.v1",87,495
"6","8.v1","p-tryoni-tegminifera_8.v1",135,466
"7","8.v1","p-tryoni-tryoni-eungella_8.v1",96,375
"8","8.v1","p-tryoni-tryoni_8.v1",117,427
"9","8.v1","par-gigantea_8.v1",133,601
"10","8.v2","d-punctata_8.v2",9,28
"11","8.v2","g-dilatatus_8.v2",187,536
"12","8.v2","m-lithgowae_8.v2",202,591
"13","8.v2","n-dahmsi_8.v2",190,607
"14","8.v2","n-hanni_8.v2",104,561
"15","8.v2","p-tryoni-tegminifera_8.v2",167,545
"16","8.v2","p-tryoni-tryoni-eungella_8.v2",134,464
"17","8.v2","p-tryoni-tryoni_8.v2",147,500
"18","8.v2","par-gigantea_8.v2",180,670
