bed_type,Genome,Genic or intergenic,Count
7.v1,b-germanica-v1_7.v1,gene,56
7.v1,b-germanica-v1_7.v1,intergenic,223
7.v1,d-punctata_7.v1,gene,103
7.v1,d-punctata_7.v1,intergenic,408
7.v1,g-dilatatus_7.v1,gene,1088
7.v1,g-dilatatus_7.v1,intergenic,3226
7.v1,m-lithgowae_7.v1,gene,1204
7.v1,m-lithgowae_7.v1,intergenic,3836
7.v1,n-dahmsi_7.v1,gene,1111
7.v1,n-dahmsi_7.v1,intergenic,3579
7.v1,n-hanni_7.v1,gene,423
7.v1,n-hanni_7.v1,intergenic,2400
7.v1,p-americana-v1_7.v1,gene,53
7.v1,p-americana-v1_7.v1,intergenic,255
7.v1,p-cribrata_7.v1,gene,332
7.v1,p-cribrata_7.v1,intergenic,1226
7.v1,p-lata_7.v1,gene,378
7.v1,p-lata_7.v1,intergenic,1226
7.v1,p-sloanei_7.v1,gene,693
7.v1,p-sloanei_7.v1,intergenic,2275
7.v1,p-tryoni-tegminifera_7.v1,gene,878
7.v1,p-tryoni-tegminifera_7.v1,intergenic,2865
7.v1,p-tryoni-tryoni-eungella_7.v1,gene,881
7.v1,p-tryoni-tryoni-eungella_7.v1,intergenic,3209
7.v1,p-tryoni-tryoni_7.v1,gene,950
7.v1,p-tryoni-tryoni_7.v1,intergenic,3306
7.v1,par-gigantea_7.v1,gene,813
7.v1,par-gigantea_7.v1,intergenic,3043
7.v1,r-lucifugus_7.v1,intergenic,7
7.v1,z-nevadensis-v2_7.v1,gene,11
7.v1,z-nevadensis-v2_7.v1,intergenic,3
7.v3,b-germanica-v1_7.v3,gene,93
7.v3,b-germanica-v1_7.v3,intergenic,451
7.v3,d-punctata_7.v3,gene,173
7.v3,d-punctata_7.v3,intergenic,702
7.v3,g-dilatatus_7.v3,gene,1216
7.v3,g-dilatatus_7.v3,intergenic,3663
7.v3,m-lithgowae_7.v3,gene,1400
7.v3,m-lithgowae_7.v3,intergenic,4519
7.v3,n-dahmsi_7.v3,gene,1280
7.v3,n-dahmsi_7.v3,intergenic,4173
7.v3,n-hanni_7.v3,gene,480
7.v3,n-hanni_7.v3,intergenic,2712
7.v3,p-americana-v1_7.v3,gene,82
7.v3,p-americana-v1_7.v3,intergenic,385
7.v3,p-cribrata_7.v3,gene,415
7.v3,p-cribrata_7.v3,intergenic,1428
7.v3,p-lata_7.v3,gene,442
7.v3,p-lata_7.v3,intergenic,1423
7.v3,p-sloanei_7.v3,gene,800
7.v3,p-sloanei_7.v3,intergenic,2656
7.v3,p-tryoni-tegminifera_7.v3,gene,998
7.v3,p-tryoni-tegminifera_7.v3,intergenic,3321
7.v3,p-tryoni-tryoni-eungella_7.v3,gene,1032
7.v3,p-tryoni-tryoni-eungella_7.v3,intergenic,3649
7.v3,p-tryoni-tryoni_7.v3,gene,1100
7.v3,p-tryoni-tryoni_7.v3,intergenic,3829
7.v3,par-gigantea_7.v3,gene,936
7.v3,par-gigantea_7.v3,intergenic,3505
7.v3,r-lucifugus_7.v3,intergenic,46
7.v3,z-nevadensis-v2_7.v3,gene,29
7.v3,z-nevadensis-v2_7.v3,intergenic,23
