genome,statistic,p_value,cramer_v
Blattella-germanica-v1,1037.213352,1.00E-04,0.503461467
Blattella-germanica-v2,217.0778841,1.00E-04,0.232204646
Diploptera-punctata,279.945021,1.00E-04,0.131642565
Geoscapheus-dilatatus,5750.267992,1.00E-04,0.069512995
Macropanesthia-lithgowae,1946.378031,1.00E-04,0.023480351
Neogeoscapheus-dahmsi,1471.586633,1.00E-04,0.029350658
Neogeoscapheus-hanni,0.414289142,0.875712429,0.185806607
Panesthia-cribrata,2664.83852,1.00E-04,0.277923904
Panesthia-lata,759.2201051,1.00E-04,0.043885286
Panesthia-sloanei,1900.934233,1.00E-04,0.039124925
Panesthia-tryoni-tegminifera,2462.401849,1.00E-04,0.031968935
Panesthia-tryoni-tryoni,2152.905862,1.00E-04,0.026843694
Panesthia-tryoni-tryoni-Eungella,2467.470937,1.00E-04,0.030645723
Parapanesthia-gigantea,2754.320096,1.00E-04,0.03290498
Periplaneta-americana-v1,25.82433995,0.254174583,0.06384208
Periplaneta-americana-v2,0.111326732,1,0.166828304
Periplaneta-americana-v3,57.51320772,0.04689531,0.127824018
Periplaneta-americana-v4,602.9307023,1.00E-04,0.091191155
