query_id	subject_id_prefixes
B-germanica-v1_PYGN01003812.1:2994-3051	Z-nevadensis-v2
B-germanica-v1_PYGN01005456.1:1259-1310	Z-nevadensis-v2
B-germanica-v1_PYGN01002441.1:253965-254020	Z-nevadensis-v2
B-germanica-v1_PYGN01001690.1:1567559-1567620	P-americana-v4,D-punctata
B-germanica-v1_PYGN01001599.1:2075940-2075995	D-punctata
B-germanica-v1_PYGN01001164.1:169783-169845	P-tryoni-tegminifera
B-germanica-v1_PYGN01002560.1:22122-22173	D-punctata
B-germanica-v1_PYGN01000385.1:649895-650013	N-hanni,P-tryoni-tegminifera
B-germanica-v1_PYGN01000373.1:22399-22822	N-hanni
B-germanica-v1_PYGN01000057.1:3560064-3560176	P-lata,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-gigantea,N-hanni,N-dahmsi,G-dilatatus
B-germanica-v1_PYGN01003496.1:3375-3425	D-punctata
B-germanica-v1_PYGN01009004.1:2319-2459	G-dilatatus
B-germanica-v1_PYGN01003170.1:46149-46207	Z-nevadensis-v2
B-germanica-v1_PYGN01002441.1:1377689-1377764	Z-nevadensis-v2
B-germanica-v1_PYGN01001752.1:14638-14701	P-gigantea,P-tryoni-tegminifera,G-dilatatus
B-germanica-v1_PYGN01001924.1:332362-332415	D-punctata
B-germanica-v1_PYGN01000903.1:25051-25134	Z-nevadensis-v2
B-germanica-v1_PYGN01000373.1:19520-20254	Z-nevadensis-v2
B-germanica-v1_PYGN01000352.1:138054-138114	P-tryoni-tryoni-Eungella,D-punctata,M-lithgowae,P-tryoni-tryoni,N-dahmsi
B-germanica-v1_PYGN01009936.1:6805-7089	N-hanni,Z-nevadensis-v2,D-punctata,P-americana-v4
B-germanica-v1_PYGN01006077.1:163478-163534	Z-nevadensis-v2
B-germanica-v1_PYGN01003885.1:6177-6262	P-americana-v4,D-punctata
B-germanica-v1_PYGN01001164.1:390959-391030	D-punctata
B-germanica-v1_PYGN01000875.1:490122-490186	P-tryoni-tryoni,M-lithgowae
B-germanica-v1_PYGN01003436.1:663026-663110	Z-nevadensis-v2
B-germanica-v1_PYGN01002146.1:86414-86543	Z-nevadensis-v2,D-punctata
B-germanica-v1_PYGN01000126.1:3226725-3226786	D-punctata
B-germanica-v1_PYGN01000126.1:2881705-2881762	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi,M-lithgowae,G-dilatatus
B-germanica-v1_PYGN01000788.1:133108-133275	P-tryoni-tryoni-Eungella
B-germanica-v1_PYGN01009936.1:7419-7498	Z-nevadensis-v2
B-germanica-v1_PYGN01006688.1:4680-4768	P-americana-v4,Z-nevadensis-v2
B-germanica-v1_PYGN01003099.1:409228-409326	Z-nevadensis-v2
B-germanica-v1_PYGN01001948.1:126516-126567	P-tryoni-tryoni,N-hanni
B-germanica-v1_PYGN01000385.1:198826-198885	P-tryoni-tryoni,N-hanni,N-dahmsi,M-lithgowae
B-germanica-v1_PYGN01000558.1:584722-584780	D-punctata
B-germanica-v1_PYGN01000179.1:818358-818424	D-punctata
B-germanica-v1_PYGN01009004.1:4484-4634	P-americana-v4,N-hanni,Z-nevadensis-v2
