query_id	subject_id_prefixes
B-germanica_KZ615334.1:540959-540991	P-gigantea,M-lithgowae,C-formosanus,P-americana,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-lata,N-hanni,N-dahmsi,G-dilatatus,D-punctata
B-germanica_KZ614662.1:420658-420689	P-americana,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,D-punctata,N-dahmsi,P-lata
B-germanica_KZ615362.1:386647-386701	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-lata,P-cribrata,N-dahmsi,M-lithgowae,G-dilatatus
B-germanica_KZ615377.1:237900-237971	M-lithgowae
B-germanica_KZ621622.1:6404-6436	P-gigantea
B-germanica_KZ618715.1:39494-39536	P-tryoni-tryoni-Eungella
B-germanica_JPZV02005859.1:321904-321935	N-dahmsi,G-dilatatus
B-germanica_JPZV02025357.1:386152-386203	D-punctata
B-germanica_JPZV02004605.1:410259-410303	P-gigantea,P-tryoni-tegminifera
B-germanica_KZ615014.1:463187-463239	P-sloanei
B-germanica_KZ616294.1:102299-102331	N-hanni
B-germanica_KZ615464.1:105046-105105	P-tryoni-tryoni-Eungella,M-lithgowae,P-tryoni-tryoni,N-dahmsi
B-germanica_KZ617729.1:43054-43149	G-dilatatus
B-germanica_KZ614359.1:1207521-1207586	Z-nevadensis
B-germanica_KZ614830.1:414513-414572	P-gigantea,P-tryoni-tryoni,P-lata,N-hanni,M-lithgowae,P-cribrata
B-germanica_KZ615525.1:76631-76662	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,N-hanni,N-dahmsi,M-lithgowae,G-dilatatus
B-germanica_KZ615295.1:239504-239535	P-lata
B-germanica_KZ614363.1:675502-675532	C-secundus
B-germanica_KZ615347.1:188103-188134	D-punctata
B-germanica_KZ616409.1:124621-124672	P-tryoni-tryoni,N-hanni
B-germanica_KZ615081.1:214968-215024	P-lata,P-cribrata,G-dilatatus,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,N-hanni,N-dahmsi
B-germanica_KZ614388.1:1091798-1091830	P-tryoni-tryoni,M-lithgowae,D-punctata
B-germanica_KZ614605.1:12070-12101	P-tryoni-tryoni-Eungella
