Chromosome	Start	End	Feature_Type	Details	Reads
contig_10	10400	10592	intergenic	.	CP142614.1_1693,CP142623.1_435
contig_10025	752544	752718	intergenic	.	CP142614.1_3571,CP142614.1_3572,CP142623.1_2778,CP142623.1_2779
contig_10025	843253	843379	intergenic	.	CP001487.1_2284,CP142614.1_1798,CP142623.1_330
contig_10025	1177837	1177916	1237414	gene	AP012548.1_3972,CP001429.2_4012,CP001487.1_358,CP142623.1_2654
contig_10025	1177837	1177916	1237414	mRNA	AP012548.1_3972,CP001429.2_4012,CP001487.1_358,CP142623.1_2654
contig_10025	1471832	1471911	intergenic	.	AP012548.1_662,CP142614.1_379,CP142623.1_1752
contig_10025	1528273	1528358	intergenic	.	AP012548.1_3287,CP142614.1_3016,CP142614.1_3017,CP142623.1_3337
contig_10061	285980	286100	intergenic	.	AP012548.1_1313,CP001429.2_1320,CP001487.1_3051,CP142614.1_1030,CP142623.1_1098
contig_10070	421938	422052	446661	gene	AP012548.1_1149,CP001487.1_3216,CP142614.1_868
contig_10070	421938	422052	446661	mRNA	AP012548.1_1149,CP001487.1_3216,CP142614.1_868
contig_10070	501839	501985	intergenic	.	AP012548.1_683,CP142614.1_400,CP142623.1_1731
contig_10070	4215287	4215552	4235222	gene	AP012548.1_1623,CP001487.1_2743,CP003000.1_1020,CP142614.1_1339,CP142614.1_1340,CP142623.1_789
contig_10070	4215287	4215552	4235222	mRNA	AP012548.1_1623,CP001487.1_2743,CP003000.1_1020,CP142614.1_1339,CP142614.1_1340,CP142623.1_789
contig_10070	4625467	4625616	4629966	gene	CP142614.1_1931
contig_10070	4625467	4625616	4629966	mRNA	CP142614.1_1931
contig_10070	4789185	4789375	intergenic	.	CP001429.2_1450,CP001487.1_2922,CP003000.1_1143,CP142614.1_1160,CP142623.1_969
contig_10070	5438271	5438420	intergenic	.	CP142614.1_3092
contig_10071	63238	63398	intergenic	.	CP142614.1_304,CP142623.1_1827
contig_10088	1574947	1575146	intergenic	.	AP012548.1_2130,CP142623.1_281,CP142623.1_282
contig_10088	1690262	1690498	1738995	mRNA	CP001487.1_2073,CP003000.1_2050
contig_10088	1690262	1690498	1739182	gene	CP001487.1_2073,CP003000.1_2050
contig_10088	1701347	1701496	1738995	mRNA	CP142623.1_822
contig_10088	1701347	1701496	1739182	gene	CP142623.1_822
contig_10088	1767495	1767572	intergenic	.	AP012548.1_3448,CP142614.1_3176,CP142623.1_3178
contig_10088	1840480	1841200	1861042	gene	AP012548.1_1432,AP012548.1_1434,AP012548.1_386,AP012548.1_387,CP001487.1_2930,CP001487.1_3964,CP001487.1_3965,CP003000.1_342,CP142614.1_103,CP142614.1_104,CP142614.1_105,CP142614.1_1151,CP142623.1_2021,CP142623.1_2022,CP142623.1_2023,CP142623.1_977,CP142623.1_978
contig_10088	1840480	1841200	1861042	mRNA	AP012548.1_1432,AP012548.1_1434,AP012548.1_386,AP012548.1_387,CP001487.1_2930,CP001487.1_3964,CP001487.1_3965,CP003000.1_342,CP142614.1_103,CP142614.1_104,CP142614.1_105,CP142614.1_1151,CP142623.1_2021,CP142623.1_2022,CP142623.1_2023,CP142623.1_977,CP142623.1_978
contig_10088	2488047	2488271	2558793	gene	CP001429.2_1928,CP142614.1_1636,CP142623.1_492,CP142623.1_493
contig_10088	2488047	2488271	2558793	mRNA	CP001429.2_1928,CP142614.1_1636,CP142623.1_492,CP142623.1_493
contig_10088	2572618	2572838	intergenic	.	AP012548.1_3086,CP001429.2_3123,CP001487.1_1242,CP003000.1_2861,CP142614.1_2814,CP142623.1_3536
contig_10088	3137529	3137632	intergenic	.	CP142623.1_4135
contig_10088	3152429	3152693	3155631	mRNA	AP012548.1_2930,CP001429.2_2967,CP001487.1_1396,CP142614.1_2191,CP142614.1_2659,CP142623.1_3694,CP142623.1_4149
contig_10088	3152429	3152693	3155923	gene	AP012548.1_2930,CP001429.2_2967,CP001487.1_1396,CP142614.1_2191,CP142614.1_2659,CP142623.1_3694,CP142623.1_4149
contig_10204	369501	369651	intergenic	.	CP142614.1_3775
contig_10204	613861	614055	intergenic	.	AP012548.1_811,CP001487.1_3536,CP003000.1_1731,CP003000.1_1732,CP142614.1_529,CP142623.1_1602,CP142623.1_1603
contig_10204	735400	735554	intergenic	.	AP012548.1_3758,CP142614.1_3481,CP142623.1_2868
contig_10204	888342	888850	intergenic	.	AP012548.1_4090,AP012548.1_4091,CP142614.1_3811,CP142614.1_3812,CP142614.1_3813,CP142623.1_1733,CP142623.1_2535,CP142623.1_2536,CP142623.1_2537
contig_10204	1211279	1211762	intergenic	.	AP012548.1_3586,AP012548.1_3587,AP012548.1_3588,CP001487.1_746,CP142614.1_3316,CP142623.1_3039,CP142623.1_3041
contig_10204	1289079	1289200	intergenic	.	AP012548.1_2234,CP001487.1_2133,CP142614.1_1951,CP142623.1_178
contig_10204	1425948	1426029	intergenic	.	AP012548.1_2709,CP001487.1_1615,CP142614.1_2429,CP142623.1_3912
contig_10204	1779827	1780096	intergenic	.	AP012548.1_2647,AP012548.1_2648,CP001429.2_2680,CP001429.2_2681,CP001487.1_1676,CP001487.1_1677,CP142614.1_2366,CP142623.1_3975
contig_10204	1889657	1889792	1950656	mRNA	AP012548.1_2966,CP001487.1_1361,CP142614.1_2695,CP142623.1_3658
