query_id	subject_id_prefixes
P-gigantea_contig_6071:355232-355780	M-lithgowae,P-tryoni-tryoni,N-dahmsi
P-gigantea_contig_14696:132574-132783	P-tryoni-tegminifera
P-gigantea_contig_27592:66380-66447	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-sloanei,P-tryoni-tryoni,N-dahmsi,M-lithgowae,N-hanni
P-gigantea_contig_18679:209433-209627	P-tryoni-tegminifera,M-lithgowae
P-gigantea_contig_36715:1363293-1363586	G-dilatatus,N-hanni,P-tryoni-tryoni-Eungella,M-lithgowae
P-gigantea_contig_9417:1158960-1159052	P-tryoni-tegminifera,P-tryoni-tryoni
P-gigantea_contig_17926:938155-938739	P-tryoni-tryoni-Eungella,M-lithgowae
P-gigantea_contig_5353:731294-731348	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-hanni
P-gigantea_contig_11618:404288-404511	P-tryoni-tryoni,M-lithgowae
P-gigantea_contig_130:1956986-1957073	P-tryoni-tegminifera,G-dilatatus
P-gigantea_contig_33585:146952-147120	P-tryoni-tryoni,N-dahmsi,N-hanni,P-tryoni-tryoni-Eungella,M-lithgowae
P-gigantea_contig_33016:52033-52119	P-tryoni-tryoni
P-gigantea_contig_35682:439955-440043	P-tryoni-tegminifera,M-lithgowae,G-dilatatus
P-gigantea_contig_6779:533590-533777	P-tryoni-tegminifera,P-tryoni-tryoni,M-lithgowae,P-sloanei,N-dahmsi,N-hanni,G-dilatatus,P-tryoni-tryoni-Eungella
P-gigantea_contig_2567:786709-787048	P-tryoni-tegminifera,N-dahmsi
P-gigantea_contig_16388:375914-376219	P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni-Eungella,N-dahmsi
P-gigantea_contig_9323:87375-87442	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
P-gigantea_contig_9900:289415-289475	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera
P-gigantea_contig_3436:1948158-1948611	P-tryoni-tegminifera,P-tryoni-tryoni
P-gigantea_contig_21263:205763-205962	P-tryoni-tryoni,P-tryoni-tegminifera
P-gigantea_contig_3972:89822-90215	P-tryoni-tegminifera,N-dahmsi
P-gigantea_contig_9134:94310-94470	P-tryoni-tegminifera
P-gigantea_contig_19966:1195136-1195200	P-tryoni-tegminifera,G-dilatatus
P-gigantea_contig_2298:1053086-1053566	P-tryoni-tegminifera
P-gigantea_contig_6736:18145-18319	P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni-Eungella,N-hanni,N-dahmsi,G-dilatatus
P-gigantea_contig_9650:44497-44705	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,N-dahmsi,N-hanni
P-gigantea_contig_112:1187880-1188130	P-tryoni-tegminifera
P-gigantea_contig_4188:1248990-1249071	P-sloanei,N-hanni,P-tryoni-tegminifera,M-lithgowae
P-gigantea_contig_10174:459783-460336	P-tryoni-tegminifera
P-gigantea_contig_3185:79238-79415	P-tryoni-tegminifera,G-dilatatus,P-tryoni-tryoni-Eungella
P-gigantea_contig_8115:375471-375531	M-lithgowae,P-tryoni-tryoni,D-punctata,P-sloanei,N-hanni
P-gigantea_contig_8397:543554-544268	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
P-gigantea_contig_1922:2978451-2978552	M-lithgowae,P-tryoni-tryoni,N-dahmsi,G-dilatatus
P-gigantea_contig_8556:936256-936390	P-tryoni-tegminifera,M-lithgowae,G-dilatatus
P-gigantea_contig_16512:92764-93287	P-tryoni-tegminifera
P-gigantea_contig_244:233291-233472	N-dahmsi,P-tryoni-tryoni-Eungella
P-gigantea_contig_35946_part2:668813-668928	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
P-gigantea_contig_6265:381587-381743	P-tryoni-tegminifera,N-dahmsi,N-hanni
P-gigantea_contig_22664:1461720-1462005	P-tryoni-tegminifera
P-gigantea_contig_12080:2088567-2088699	P-tryoni-tryoni,N-dahmsi,P-tryoni-tegminifera,M-lithgowae,N-hanni,P-tryoni-tryoni-Eungella,P-sloanei
P-gigantea_contig_16739:4428-4564	N-hanni,M-lithgowae,P-sloanei
P-gigantea_contig_3406:268052-268236	P-tryoni-tryoni,M-lithgowae,P-tryoni-tryoni-Eungella
P-gigantea_contig_13120:80218-80311	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,G-dilatatus,P-tryoni-tryoni,N-hanni
P-gigantea_contig_12378:194701-194779	P-tryoni-tryoni-Eungella,N-dahmsi,G-dilatatus
P-gigantea_contig_5281:175754-175816	P-tryoni-tegminifera,P-sloanei
P-gigantea_contig_9650:111510-111670	P-tryoni-tegminifera,M-lithgowae
P-gigantea_contig_581:1355156-1355323	P-tryoni-tegminifera
P-gigantea_contig_37970:79655-79965	P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni
P-gigantea_contig_14557:59852-59945	P-tryoni-tegminifera,N-hanni,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,M-lithgowae,G-dilatatus,D-punctata
P-gigantea_contig_1845:8412760-8412910	P-tryoni-tegminifera,P-sloanei,P-lata,P-cribrata,P-tryoni-tryoni,N-dahmsi,P-tryoni-tryoni-Eungella,M-lithgowae,G-dilatatus
P-gigantea_contig_9357:2384319-2384390	P-tryoni-tegminifera
P-gigantea_contig_14777:587781-587877	P-tryoni-tegminifera,P-lata,P-cribrata
P-gigantea_contig_38298:88064-88133	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-sloanei,N-hanni,G-dilatatus
P-gigantea_contig_19424:188723-188827	N-hanni,P-sloanei,M-lithgowae,G-dilatatus,P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi,P-tryoni-tryoni-Eungella
P-gigantea_contig_2046:225848-225964	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi,M-lithgowae,N-hanni,P-sloanei
P-gigantea_contig_22615:102019-102099	M-lithgowae,P-tryoni-tryoni,N-dahmsi
P-gigantea_contig_7952:154090-154262	P-tryoni-tryoni,P-sloanei
P-gigantea_contig_9134:35475-35653	P-tryoni-tegminifera
P-gigantea_contig_7047:234717-234854	P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi,M-lithgowae,P-sloanei,N-hanni
P-gigantea_contig_28570:116711-116779	P-tryoni-tryoni
P-gigantea_contig_635:40829-41067	P-tryoni-tegminifera,G-dilatatus,P-sloanei,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,M-lithgowae,N-hanni,N-dahmsi,D-punctata
P-gigantea_contig_21055:349627-349795	P-tryoni-tegminifera,N-dahmsi,P-sloanei
P-gigantea_contig_187:1982537-1982640	P-tryoni-tegminifera,N-dahmsi,P-tryoni-tryoni,P-sloanei,N-hanni,P-tryoni-tryoni-Eungella,P-lata,P-cribrata
P-gigantea_contig_8802:1377728-1377850	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,M-lithgowae,N-dahmsi,P-sloanei,P-cribrata
P-gigantea_contig_35946_part2:1060089-1060251	P-tryoni-tryoni,N-dahmsi,N-hanni,P-tryoni-tryoni-Eungella,M-lithgowae
P-gigantea_contig_10638:2399174-2399324	P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-lata,P-cribrata,M-lithgowae,G-dilatatus
P-gigantea_contig_4936:14723-14807	P-tryoni-tryoni,M-lithgowae
P-gigantea_contig_745:897414-897600	P-tryoni-tegminifera,M-lithgowae,N-hanni,P-sloanei
P-gigantea_contig_8177:148891-148965	P-tryoni-tegminifera,P-tryoni-tryoni,N-hanni,M-lithgowae,P-tryoni-tryoni-Eungella
P-gigantea_contig_4886:133416-133515	P-tryoni-tegminifera,P-tryoni-tryoni
P-gigantea_contig_1470:745052-745122	P-tryoni-tegminifera,G-dilatatus,N-hanni,P-lata,P-cribrata,P-tryoni-tryoni
P-gigantea_contig_2627:497501-497797	P-tryoni-tegminifera
P-gigantea_contig_17117:1148634-1148966	G-dilatatus,N-dahmsi
P-gigantea_contig_32483:805154-805311	P-tryoni-tegminifera,M-lithgowae,N-dahmsi,G-dilatatus
P-gigantea_contig_1622:453411-453659	P-tryoni-tegminifera,P-sloanei,M-lithgowae,P-tryoni-tryoni-Eungella,G-dilatatus,N-dahmsi
P-gigantea_contig_669:279701-280108	P-tryoni-tegminifera,P-tryoni-tryoni,G-dilatatus,N-hanni
P-gigantea_contig_7380:295259-295707	P-tryoni-tegminifera,P-tryoni-tryoni,N-hanni,M-lithgowae,D-punctata
P-gigantea_contig_32509:62679-62843	P-tryoni-tegminifera,M-lithgowae,P-sloanei,N-dahmsi,P-tryoni-tryoni-Eungella,P-cribrata
P-gigantea_contig_6272:47075-47575	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,M-lithgowae,N-dahmsi
P-gigantea_contig_1470:1780440-1780627	P-tryoni-tegminifera,P-tryoni-tryoni,P-sloanei,M-lithgowae,N-hanni,P-tryoni-tryoni-Eungella
P-gigantea_contig_5353:84274-84337	P-tryoni-tegminifera
P-gigantea_contig_36110:8455-8513	P-tryoni-tryoni-Eungella,P-sloanei,P-lata,P-tryoni-tegminifera,G-dilatatus
P-gigantea_contig_13356:840159-840305	P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae
P-gigantea_contig_6567:2741091-2741283	P-tryoni-tegminifera,M-lithgowae,N-hanni,P-tryoni-tryoni,P-sloanei
P-gigantea_contig_19471:1083921-1084131	P-tryoni-tryoni,M-lithgowae
P-gigantea_contig_1745:3810700-3810934	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,N-dahmsi,G-dilatatus,D-punctata
P-gigantea_contig_7307:121920-122178	P-tryoni-tryoni
P-gigantea_contig_679:646083-646149	P-tryoni-tegminifera,N-hanni,N-dahmsi,M-lithgowae,P-tryoni-tryoni-Eungella,P-tryoni-tryoni
