Chromosome	Start	End	Feature_Type	Details	Reads
contig_10000	850057	850375	intergenic	.	contig_10000:850057-850375
contig_10000	1275011	1275079	gene,mRNA	.	contig_10000:1275011-1275079,contig_10000:1275011-1275079
contig_10000	1659636	1659876	intergenic	.	contig_10000:1659636-1659876
contig_10023	73740	73864	gene,mRNA	.	contig_10023:73740-73864,contig_10023:73740-73864
contig_10023	295520	295676	gene,mRNA	.	contig_10023:295520-295676,contig_10023:295520-295676
contig_10023	295769	295946	gene,mRNA	.	contig_10023:295769-295946,contig_10023:295769-295946
contig_10023	296076	296186	gene,mRNA	.	contig_10023:296076-296186,contig_10023:296076-296186
contig_10023	317992	318676	gene,mRNA,stop_codon,exon,CDS,start_codon	.	contig_10023:317992-318676,contig_10023:317992-318676,contig_10023:317992-318676,contig_10023:317992-318676,contig_10023:317992-318676,contig_10023:317992-318676
contig_10023	318546	318676	intergenic	.	contig_10023:318546-318676
contig_10023	507390	507469	intergenic	.	contig_10023:507390-507469
contig_10023	507570	507608	intergenic	.	contig_10023:507570-507608
contig_10023	540831	540891	intergenic	.	contig_10023:540831-540891
contig_10030	12636	13009	gene,mRNA	.	contig_10030:12636-13009,contig_10030:12636-13009
contig_10030	32041	32108	intergenic	.	contig_10030:32041-32108
contig_10030	482401	482906	intergenic	.	contig_10030:482401-482906
contig_10030	514797	515270	gene,mRNA	.	contig_10030:514797-515270,contig_10030:514797-515270
contig_10084	125634	126029	intergenic	.	contig_10084:125634-126029
contig_10084	147274	147382	intergenic	.	contig_10084:147274-147382
contig_10084	193216	193411	intergenic	.	contig_10084:193216-193411
contig_10084	437786	438002	intergenic	.	contig_10084:437786-438002
contig_10151	696371	696445	intergenic	.	contig_10151:696371-696445
contig_10151	698548	698754	intergenic	.	contig_10151:698548-698754
contig_10151	925388	925511	intergenic	.	contig_10151:925388-925511
contig_10151	1103564	1103773	intergenic	.	contig_10151:1103564-1103773
contig_10151	1880868	1880930	gene,mRNA	.	contig_10151:1880868-1880930,contig_10151:1880868-1880930
contig_10174	158539	158726	intergenic	.	contig_10174:158539-158726
contig_10174	342736	342799	intergenic	.	contig_10174:342736-342799
contig_10174	342887	343122	intergenic	.	contig_10174:342887-343122
contig_10174	383055	383703	intergenic	.	contig_10174:383055-383703
contig_10174	459783	459831	intergenic	.	contig_10174:459783-459831
contig_10174	460038	460343	intergenic	.	contig_10174:460038-460343
contig_10174	476766	476900	intergenic	.	contig_10174:476766-476900
contig_10174	766460	766552	intergenic	.	contig_10174:766460-766552
contig_10194	47365	47764	intergenic	.	contig_10194:47365-47764
contig_10211	511156	511230	intergenic	.	contig_10211:511156-511230
contig_10211	511338	511426	intergenic	.	contig_10211:511338-511426
contig_10211	1401918	1402282	intergenic	.	contig_10211:1401918-1402282
contig_10211	1457947	1458308	intergenic	.	contig_10211:1457947-1458308
contig_10236	10339	10616	intergenic	.	contig_10236:10339-10616
contig_10236	212924	213098	intergenic	.	contig_10236:212924-213098
contig_10236	1036453	1036612	intergenic	.	contig_10236:1036453-1036612
contig_10236	1083429	1083494	intergenic	.	contig_10236:1083429-1083494
contig_10236	1233112	1233249	gene,mRNA	.	contig_10236:1233112-1233249,contig_10236:1233112-1233249
contig_10236	1304054	1304237	intergenic	.	contig_10236:1304054-1304237
contig_1026	271402	271432	intergenic	.	contig_1026:271402-271432
contig_1026	1539434	1539573	intergenic	.	contig_1026:1539434-1539573
contig_1028	112143	112392	intergenic	.	contig_1028:112143-112392
contig_1028	282482	282862	intergenic	.	contig_1028:282482-282862
contig_1028	619123	619214	intergenic	.	contig_1028:619123-619214
contig_1028	627539	627782	intergenic	.	contig_1028:627539-627782
contig_10327	59021	59172	gene,mRNA	.	contig_10327:59021-59172,contig_10327:59021-59172
contig_10327	59237	59408	gene,mRNA	.	contig_10327:59237-59408,contig_10327:59237-59408
contig_10327	76279	76399	exon,CDS,gene,mRNA	.	contig_10327:76279-76399,contig_10327:76279-76399,contig_10327:76279-76399,contig_10327:76279-76399
contig_10327	122968	123011	intergenic	.	contig_10327:122968-123011
contig_10327	676425	676762	intergenic	.	contig_10327:676425-676762
contig_10327	802193	802683	gene,mRNA	.	contig_10327:802193-802683,contig_10327:802193-802683
contig_10327	819890	820090	intergenic	.	contig_10327:819890-820090
contig_1033	542601	542797	intergenic	.	contig_1033:542601-542797
contig_1033	562108	562170	intergenic	.	contig_1033:562108-562170
contig_1033	588925	589465	gene,mRNA	.	contig_1033:588925-589465,contig_1033:588925-589465
contig_1033	897835	897979	intergenic	.	contig_1033:897835-897979
contig_1033	898124	898355	intergenic	.	contig_1033:898124-898355
contig_10355	20203	20373	intergenic	.	contig_10355:20203-20373
contig_10355	218063	218101	intergenic	.	contig_10355:218063-218101
contig_10360	18552	18710	intergenic	.	contig_10360:18552-18710
contig_10360	344854	345185	intergenic	.	contig_10360:344854-345185
contig_10360	485832	486014	intergenic	.	contig_10360:485832-486014
contig_10360	486068	486343	intergenic	.	contig_10360:486068-486343
contig_10360	490212	490275	intergenic	.	contig_10360:490212-490275
contig_10360	742448	742570	gene,mRNA	.	contig_10360:742448-742570,contig_10360:742448-742570
contig_10385	278676	278860	gene,mRNA	.	contig_10385:278676-278860,contig_10385:278676-278860
contig_10385	316238	316302	gene	.	contig_10385:316238-316302
contig_10385	335508	335602	gene	.	contig_10385:335508-335602
contig_10385	345560	345637	gene	.	contig_10385:345560-345637
contig_10392	1699035	1699120	intergenic	.	contig_10392:1699035-1699120
contig_10392	1840192	1840291	intergenic	.	contig_10392:1840192-1840291
contig_10392	2377816	2377939	intergenic	.	contig_10392:2377816-2377939
contig_10392	2444969	2445006	intergenic	.	contig_10392:2444969-2445006
contig_10392	2536979	2537087	intergenic	.	contig_10392:2536979-2537087
contig_10392	2615608	2615667	intergenic	.	contig_10392:2615608-2615667
