sample,bed_type,genome_7,genic_hgt,intergenic_hgt,hgt_ratio,genome_length,gene_length,intergenic_length,genome_ratio,genome_8,ancestral_genic_hgt,ancestral_intergenic_hgt,ancestral_hgt_ratio,full_minus_ancestral_ratio
b-germanica-v1,7.v1_8.v1,b-germanica-v1_7.v1,56,222,0.252252252,2037297555,686807795,1350489760,0.508562016,NA,NA,NA,NA,NA
d-punctata,7.v1_8.v1,d-punctata_7.v1,103,408,0.25245098,3127968605,626891013,2501077592,0.250648367,d-punctata_8.v1,6,13,0.461538462,-0.209087482
g-dilatatus,7.v1_8.v1,g-dilatatus_7.v1,1088,3169,0.34332597,1696327513,479472156,1216855357,0.394025595,g-dilatatus_8.v1,156,460,0.339130435,0.000326719
m-lithgowae,7.v1_8.v1,m-lithgowae_7.v1,1204,3751,0.320981072,1823665952,489081363,1334584589,0.366467114,m-lithgowae_8.v1,163,463,0.352051836,-0.030740266
n-dahmsi,7.v1_8.v1,n-dahmsi_7.v1,1111,3508,0.316704675,1899424275,485248865,1414175410,0.34313202,n-dahmsi_8.v1,157,495,0.317171717,-0.002327098
n-hanni,7.v1_8.v1,n-hanni_7.v1,423,2328,0.181701031,1678142686,356521599,1321621087,0.269760828,n-hanni_8.v1,87,486,0.179012346,0.000492424
p-americana-v1,7.v1_8.v1,p-americana-v1_7.v1,53,255,0.207843137,3055948503,421535282,2634413221,0.160011071,NA,NA,NA,NA,NA
p-cribrata,7.v1_8.v1,p-cribrata_7.v1,332,1200,0.276666667,1780026106,459844857,1320181249,0.348319488,NA,NA,NA,NA,NA
p-lata,7.v1_8.v1,p-lata_7.v1,378,1210,0.312396694,1765218172,444578283,1320639889,0.336638539,NA,NA,NA,NA,NA
p-sloanei,7.v1_8.v1,p-sloanei_7.v1,693,2227,0.311180961,1821555500,458949678,1362605822,0.336817641,NA,NA,NA,NA,NA
p-tryoni-tegminifera,7.v1_8.v1,p-tryoni-tegminifera_7.v1,878,2795,0.314132379,1842758161,483135837,1359622324,0.355345619,p-tryoni-tegminifera_8.v1,135,456,0.296052632,0.016757672
p-tryoni-tryoni-eungella,7.v1_8.v1,p-tryoni-tryoni-eungella_7.v1,881,3150,0.27968254,1861858543,426954702,1434903841,0.297549348,p-tryoni-tryoni-eungella_8.v1,96,368,0.260869565,0.018540355
p-tryoni-tryoni,7.v1_8.v1,p-tryoni-tryoni_7.v1,950,3243,0.292938637,1716024411,486621870,1229402541,0.395819802,p-tryoni-tryoni_8.v1,117,419,0.279236277,0.013351638
par-gigantea,7.v1_8.v1,par-gigantea_7.v1,813,2981,0.272727273,1845102271,491162063,1353940208,0.362764958,par-gigantea_8.v1,133,593,0.224283305,0.045872718
z-nevadensis-v2,7.v1_8.v1,z-nevadensis-v2_7.v1,11,3,3.666666667,510897204,235989248,274907956,0.858430041,NA,NA,NA,NA,NA
b-germanica-v1,7.v3_8.v2,b-germanica-v1_7.v3,93,450,0.206666667,2037297555,686807795,1350489760,0.508562016,NA,NA,NA,NA,NA
d-punctata,7.v3_8.v2,d-punctata_7.v3,173,702,0.246438746,3127968605,626891013,2501077592,0.250648367,d-punctata_8.v2,9,28,0.321428571,-0.074989825
g-dilatatus,7.v3_8.v2,g-dilatatus_7.v3,1216,3606,0.337215752,1696327513,479472156,1216855357,0.394025595,g-dilatatus_8.v2,187,532,0.351503759,-0.016912265
m-lithgowae,7.v3_8.v2,m-lithgowae_7.v3,1400,4441,0.315244314,1823665952,489081363,1334584589,0.366467114,m-lithgowae_8.v2,202,582,0.347079038,-0.031990516
n-dahmsi,7.v3_8.v2,n-dahmsi_7.v3,1280,4109,0.311511317,1899424275,485248865,1414175410,0.34313202,n-dahmsi_8.v2,190,604,0.314569536,-0.006281062
n-hanni,7.v3_8.v2,n-hanni_7.v3,480,2640,0.181818182,1678142686,356521599,1321621087,0.269760828,n-hanni_8.v2,104,552,0.188405797,-0.008392094
p-americana-v1,7.v3_8.v2,p-americana-v1_7.v3,82,384,0.213541667,3055948503,421535282,2634413221,0.160011071,NA,NA,NA,NA,NA
p-cribrata,7.v3_8.v2,p-cribrata_7.v3,415,1399,0.296640457,1780026106,459844857,1320181249,0.348319488,NA,NA,NA,NA,NA
p-lata,7.v3_8.v2,p-lata_7.v3,442,1407,0.314143568,1765218172,444578283,1320639889,0.336638539,NA,NA,NA,NA,NA
p-sloanei,7.v3_8.v2,p-sloanei_7.v3,800,2614,0.306044376,1821555500,458949678,1362605822,0.336817641,NA,NA,NA,NA,NA
p-tryoni-tegminifera,7.v3_8.v2,p-tryoni-tegminifera_7.v3,998,3250,0.307076923,1842758161,483135837,1359622324,0.355345619,p-tryoni-tegminifera_8.v2,167,536,0.311567164,-0.005910124
p-tryoni-tryoni-eungella,7.v3_8.v2,p-tryoni-tryoni-eungella_7.v3,1032,3589,0.287545277,1861858543,426954702,1434903841,0.297549348,p-tryoni-tryoni-eungella_8.v2,134,459,0.291938998,-0.005975893
p-tryoni-tryoni,7.v3_8.v2,p-tryoni-tryoni_7.v3,1100,3765,0.292164675,1716024411,486621870,1229402541,0.395819802,p-tryoni-tryoni_8.v2,147,494,0.29757085,-0.006718726
par-gigantea,7.v3_8.v2,par-gigantea_7.v3,936,3442,0.271934922,1845102271,491162063,1353940208,0.362764958,par-gigantea_8.v2,180,661,0.272314675,-0.00160964
z-nevadensis-v2,7.v3_8.v2,z-nevadensis-v2_7.v3,29,21,1.380952381,510897204,235989248,274907956,0.858430041,NA,NA,NA,NA,NA
