query_id	subject_id_prefixes
P-gigantea_contig_20027:754186-754452	P-tryoni-tegminifera,M-lithgowae
P-gigantea_contig_8505:371045-371179	G-dilatatus,P-sloanei,N-hanni,P-tryoni-tegminifera
P-gigantea_contig_7197:94141-94273	N-hanni,N-dahmsi,P-tryoni-tegminifera,P-tryoni-tryoni
P-gigantea_contig_36594:56312-56412	P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-lata,P-cribrata,G-dilatatus,N-dahmsi
P-gigantea_contig_25404:347567-347628	P-tryoni-tryoni-Eungella,P-sloanei
P-gigantea_contig_6469:215045-215107	P-tryoni-tryoni,P-sloanei,P-lata,P-tryoni-tegminifera,G-dilatatus,M-lithgowae,P-tryoni-tryoni-Eungella
P-gigantea_contig_2773:252470-252576	P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,N-hanni,G-dilatatus,N-dahmsi
P-gigantea_contig_17859:683182-683433	P-tryoni-tegminifera,N-hanni,G-dilatatus,P-sloanei
P-gigantea_contig_2627:497501-497798	P-tryoni-tegminifera
P-gigantea_contig_28804:1326648-1327039	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,N-dahmsi
P-gigantea_contig_1922:1148411-1148474	P-tryoni-tegminifera
P-gigantea_contig_8397:631408-631660	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,M-lithgowae
P-gigantea_contig_130:1780023-1780329	P-tryoni-tegminifera,M-lithgowae,N-dahmsi
P-gigantea_contig_16512:93120-93287	P-tryoni-tegminifera
P-gigantea_contig_8814:566564-566916	P-tryoni-tryoni
P-gigantea_contig_9357:1352464-1352702	P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi,P-tryoni-tryoni-Eungella
P-gigantea_contig_31868:560541-560638	P-tryoni-tegminifera,N-dahmsi,M-lithgowae,P-tryoni-tryoni-Eungella,G-dilatatus
P-gigantea_contig_14985:1103648-1103734	P-tryoni-tryoni-Eungella,P-sloanei
P-gigantea_contig_869:1271140-1271240	P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-sloanei,P-lata,N-dahmsi,P-cribrata,N-hanni
P-gigantea_contig_8229:29977-30059	P-tryoni-tegminifera,N-hanni,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-sloanei,G-dilatatus,M-lithgowae
P-gigantea_contig_2298:1053123-1053565	P-tryoni-tegminifera
P-gigantea_contig_900:2876819-2876862	P-sloanei
P-gigantea_contig_6356:297917-298016	P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,M-lithgowae,N-dahmsi
P-gigantea_contig_10084:437786-438002	P-tryoni-tegminifera
P-gigantea_contig_19331:114444-114543	P-tryoni-tryoni-Eungella,M-lithgowae,P-tryoni-tegminifera
P-gigantea_contig_6519:1212336-1212688	P-tryoni-tryoni,N-hanni,N-dahmsi
P-gigantea_contig_1470:3393333-3393378	P-tryoni-tegminifera,G-dilatatus
