Chromosome	Start	End	Feature_Type	Details	Reads
PYGN01000014.1	1916965	1917082	intergenic	.	CP001429.2_2236,CP001487.1_2143,CP142614.1_1941,CP142623.1_188
PYGN01000023.1	2069578	2069738	intergenic	.	AP012548.1_4119,CP001429.2_4165,CP001487.1_208,CP142614.1_3843,CP142623.1_2507
PYGN01000024.1	2288218	2288314	2294413	gene	CP001487.1_1787,CP001487.1_1788
PYGN01000024.1	2288218	2288314	2294413	mRNA	CP001487.1_1787,CP001487.1_1788
PYGN01000034.1	1496642	1497099	intergenic	.	AP012548.1_2033,CP001487.1_2332,CP001487.1_2333,CP001487.1_2334,CP142614.1_1750
PYGN01000034.1	1897811	1897897	intergenic	.	AP012548.1_3366,CP001487.1_964
PYGN01000042.1	1359529	1359777	intergenic	.	AP012548.1_1351,AP012548.1_813,CP001487.1_3014,CP001487.1_3019,CP001487.1_3534,CP142614.1_1068,CP142614.1_531
PYGN01000050.1	2617762	2617889	intergenic	.	AP012548.1_1364,CP001487.1_3000,CP001487.1_3001,CP142614.1_1081,CP142623.1_1047
PYGN01000056.1	553248	553473	intergenic	.	CP001487.1_4184,CP001487.1_4185
PYGN01000067.1	646574	646708	intergenic	.	CP001487.1_2554,CP001487.1_2555,CP003000.1_842
PYGN01000072.1	239539	239689	intergenic	.	CP001487.1_301,CP142623.1_2597
PYGN01000073.1	95782	95863	99863	gene	CP001487.1_98
PYGN01000073.1	95782	95863	99863	mRNA	CP001487.1_98
PYGN01000084.1	1059489	1059579	intergenic	.	CP001487.1_3407,CP001487.1_3408
PYGN01000095.1	1408648	1408742	intergenic	.	AP012548.1_854,CP001429.2_861,CP001487.1_3494,CP003000.1_1690,CP142614.1_572,CP142623.1_1560
PYGN01000107.1	694180	694293	intergenic	.	CP001487.1_2914
PYGN01000113.1	1287506	1287634	intergenic	.	CP001487.1_1807,CP001487.1_1808
PYGN01000122.1	416226	416358	intergenic	.	AP012548.1_1728,CP001429.2_1735,CP001487.1_2637,CP142614.1_1444,CP142623.1_685
PYGN01000126.1	1056386	1056509	intergenic	.	CP001429.2_3140,CP003000.1_2879
PYGN01000126.1	1748238	1748532	intergenic	.	CP001429.2_2956,CP001487.1_1405,CP003000.1_2701
PYGN01000126.1	2866437	2866707	intergenic	.	AP012548.1_2739,CP001429.2_2774,CP142614.1_2458,CP142614.1_2460,CP142623.1_3881,CP142623.1_3883
PYGN01000129.1	923229	923778	928478	gene	AP012548.1_3067,AP012548.1_3071,CP001487.1_1256,CP001487.1_1257,CP001487.1_1259,CP001487.1_1260,CP001487.1_1261,CP142614.1_2796,CP142614.1_2800,CP142623.1_3550,CP142623.1_3555
PYGN01000129.1	923229	923778	928478	mRNA	AP012548.1_3067,AP012548.1_3071,CP001487.1_1256,CP001487.1_1257,CP001487.1_1259,CP001487.1_1260,CP001487.1_1261,CP142614.1_2796,CP142614.1_2800,CP142623.1_3550,CP142623.1_3555
PYGN01000131.1	193093	193263	intergenic	.	AP012548.1_857,CP001487.1_3490,CP001487.1_3491,CP001487.1_850,CP003000.1_1687,CP142614.1_575
PYGN01000143.1	920342	920451	926103	gene	AP012548.1_1898,CP001487.1_2466,CP142614.1_1614,CP142623.1_514
PYGN01000143.1	920342	920451	926103	mRNA	AP012548.1_1898,CP001487.1_2466,CP142614.1_1614,CP142623.1_514
PYGN01000143.1	1547071	1547225	1553372	gene	CP001487.1_1354
PYGN01000143.1	1547071	1547225	1553372	mRNA	CP001487.1_1354
PYGN01000150.1	159850	160030	238829	gene	CP001487.1_3530,CP001487.1_3531
PYGN01000150.1	159850	160030	238829	mRNA	CP001487.1_3530,CP001487.1_3531
PYGN01000157.1	1472998	1473078	intergenic	.	AP012548.1_1322,CP001487.1_3042,CP142614.1_1040,CP142623.1_1089
PYGN01000176.1	1483337	1483594	1529534	gene	AP012548.1_2971,AP012548.1_2972,CP001487.1_1355,CP001487.1_1356,CP142614.1_2700
PYGN01000176.1	1483337	1483594	1529534	mRNA	AP012548.1_2971,AP012548.1_2972,CP001487.1_1355,CP001487.1_1356,CP142614.1_2700
