query_id	subject_id_prefixes
N-hanni_721758:1997-2136	P-tryoni-tegminifera,N-dahmsi,M-lithgowae
N-hanni_758986:3750-3885	M-lithgowae,P-tryoni-tryoni,P-tryoni-tryoni-Eungella
N-hanni_768669:3727-3925	P-sloanei
N-hanni_1057:414825-414924	P-sloanei,P-tryoni-tryoni,P-gigantea
N-hanni_744939:1426-1496	P-gigantea
N-hanni_793664:9476-9740	P-tryoni-tryoni-Eungella,M-lithgowae,P-gigantea,P-tryoni-tryoni,N-dahmsi,P-sloanei
N-hanni_777821:3558-3638	P-sloanei,P-cribrata,P-lata,M-lithgowae
N-hanni_749468:204-294	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni,P-lata
N-hanni_1200:198130-198342	P-sloanei,P-tryoni-tryoni-Eungella,P-cribrata,P-gigantea,N-dahmsi
N-hanni_479717:1105-1157	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-sloanei,P-cribrata,G-dilatatus,N-dahmsi
N-hanni_773606:1211-1351	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,N-dahmsi,P-sloanei,P-tryoni-tryoni-Eungella
N-hanni_823:23975-24034	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi,M-lithgowae,P-tryoni-tryoni-Eungella
N-hanni_714644:173-416	P-sloanei
N-hanni_597778:510-680	G-dilatatus
N-hanni_814184:4301-4440	G-dilatatus,P-tryoni-tegminifera,P-tryoni-tryoni,P-gigantea,P-tryoni-tryoni-Eungella,M-lithgowae
N-hanni_711123:6417-6481	P-tryoni-tegminifera,P-sloanei,N-dahmsi
N-hanni_468529:463-497	P-sloanei,N-dahmsi,P-tryoni-tryoni-Eungella
N-hanni_685602:312-342	P-tryoni-tryoni,M-lithgowae
N-hanni_600360:2015-2230	P-tryoni-tegminifera,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi
N-hanni_853092:921-1009	P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella
N-hanni_853783:57836-57928	P-tryoni-tryoni-Eungella,P-tryoni-tryoni
N-hanni_756017:1078-1171	P-gigantea,P-tryoni-tryoni,G-dilatatus,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,M-lithgowae
N-hanni_700305:857-947	P-sloanei
N-hanni_821440:209142-209204	P-tryoni-tryoni,P-sloanei
N-hanni_811767:24030-24089	P-sloanei,P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,G-dilatatus,N-dahmsi,P-tryoni-tryoni-Eungella,P-gigantea
N-hanni_776435:1604-1725	N-dahmsi,P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-tryoni-tryoni-Eungella
N-hanni_804284:431-536	P-tryoni-tryoni,N-dahmsi,M-lithgowae,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-gigantea
N-hanni_627249:231-287	P-tryoni-tryoni-Eungella
N-hanni_751082:6497-6707	P-tryoni-tryoni,P-tryoni-tryoni-Eungella
N-hanni_776827:1068-1111	M-lithgowae
N-hanni_819917:81-252	G-dilatatus,P-tryoni-tegminifera
N-hanni_753387:55461-55555	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-sloanei,N-dahmsi,P-tryoni-tryoni,G-dilatatus
N-hanni_790882:3220-3346	P-tryoni-tryoni,P-gigantea,P-tryoni-tegminifera
N-hanni_509429:93-130	P-tryoni-tryoni-Eungella,P-sloanei
N-hanni_735293:779-920	P-sloanei,P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tegminifera,N-dahmsi
N-hanni_815179:596-638	P-sloanei,P-tryoni-tryoni,M-lithgowae
N-hanni_793803:21193-21240	P-lata
N-hanni_782339:1246-1436	P-gigantea,P-tryoni-tegminifera,N-dahmsi,P-tryoni-tryoni-Eungella,P-lata
N-hanni_408200:948-992	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-sloanei,P-lata,P-cribrata,P-tryoni-tryoni,M-lithgowae,G-dilatatus
N-hanni_807694:3305-3621	P-sloanei,P-lata
N-hanni_469154:219-303	P-sloanei,P-tryoni-tryoni,M-lithgowae,G-dilatatus
N-hanni_737:39979-40596	P-sloanei,P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi,G-dilatatus,P-tryoni-tryoni-Eungella
N-hanni_461793:6-106	P-sloanei,P-lata,P-cribrata,N-dahmsi,P-gigantea,P-tryoni-tryoni-Eungella,M-lithgowae,G-dilatatus
N-hanni_756841:2008-2111	P-sloanei,N-dahmsi,P-tryoni-tegminifera,M-lithgowae,P-gigantea
N-hanni_810970:6135-6186	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-lata,M-lithgowae,P-tryoni-tryoni,N-dahmsi,G-dilatatus
N-hanni_803450:1538-1706	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,N-dahmsi,M-lithgowae
N-hanni_801900:802-923	N-dahmsi,P-tryoni-tegminifera,M-lithgowae,P-gigantea,P-lata,P-cribrata
N-hanni_756781:141-296	P-tryoni-tegminifera,M-lithgowae,P-sloanei,P-tryoni-tryoni-Eungella
N-hanni_418017:5545-5756	P-tryoni-tegminifera,M-lithgowae,N-dahmsi,G-dilatatus
N-hanni_710166:4087-4278	P-sloanei
N-hanni_779159:11685-11880	P-tryoni-tegminifera,G-dilatatus
N-hanni_686656:3377-3423	P-tryoni-tryoni,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-sloanei,N-dahmsi,M-lithgowae,G-dilatatus,P-cribrata
N-hanni_804737:97-280	P-sloanei
N-hanni_658401:681-810	P-sloanei,M-lithgowae,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,G-dilatatus,P-tryoni-tryoni
N-hanni_707119:9250-9318	N-dahmsi,P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
N-hanni_819982:2899-3043	P-sloanei
N-hanni_403920:2373-2426	P-sloanei,P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni,N-dahmsi
N-hanni_756:53934-54071	P-sloanei,P-tryoni-tryoni,P-gigantea
N-hanni_783831:155-453	P-sloanei
N-hanni_450186:95-289	P-tryoni-tryoni-Eungella
N-hanni_821729:180682-180955	P-sloanei,P-tryoni-tegminifera
N-hanni_404395:744-848	P-sloanei,P-tryoni-tryoni,M-lithgowae,G-dilatatus
N-hanni_622668:686-732	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni-Eungella
N-hanni_164:21050-21151	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera
N-hanni_717319:4512-4590	P-gigantea,M-lithgowae,G-dilatatus,P-tryoni-tryoni-Eungella
N-hanni_753670:94607-94790	P-sloanei,N-dahmsi,G-dilatatus
N-hanni_818153:589-691	P-gigantea,P-tryoni-tegminifera
N-hanni_425:189945-190000	P-gigantea,P-tryoni-tryoni-Eungella,G-dilatatus,P-sloanei,N-dahmsi
N-hanni_914:813533-813595	P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-lata,N-dahmsi
N-hanni_810426:918-1039	P-sloanei,N-dahmsi,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tryoni,M-lithgowae,G-dilatatus
N-hanni_802662:4166-4225	P-tryoni-tryoni,M-lithgowae,P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella
N-hanni_795267:2493-2570	N-dahmsi,P-sloanei,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,M-lithgowae,P-gigantea,P-tryoni-tegminifera,P-cribrata
N-hanni_445661:1339-1409	P-sloanei
N-hanni_501692:18533-18615	P-tryoni-tryoni-Eungella
N-hanni_1226:297245-297395	P-sloanei,P-tryoni-tryoni,G-dilatatus,P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,M-lithgowae
N-hanni_813548:24201-24262	P-tryoni-tryoni,M-lithgowae,G-dilatatus,P-sloanei,P-lata,P-tryoni-tryoni-Eungella,B-germanica
N-hanni_700845:5012-5078	P-gigantea,N-dahmsi,P-tryoni-tryoni-Eungella,M-lithgowae,P-tryoni-tryoni,P-tryoni-tegminifera
N-hanni_814948:67145-67182	N-dahmsi,M-lithgowae,P-sloanei
N-hanni_750521:4352-4430	M-lithgowae,N-dahmsi,P-tryoni-tegminifera,P-gigantea,P-sloanei,G-dilatatus
N-hanni_757681:2295-2429	G-dilatatus
N-hanni_827:7220-7268	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,N-dahmsi
N-hanni_702984:179-220	P-cribrata
N-hanni_821639:124335-124369	P-gigantea,P-tryoni-tegminifera,N-dahmsi,G-dilatatus,M-lithgowae,P-tryoni-tryoni-Eungella,P-tryoni-tryoni
N-hanni_817171:147309-147489	P-gigantea,P-tryoni-tegminifera,P-sloanei,M-lithgowae,G-dilatatus,P-tryoni-tryoni,N-dahmsi
N-hanni_68:543230-543312	P-gigantea,P-tryoni-tegminifera,N-dahmsi,M-lithgowae,P-tryoni-tryoni-Eungella,P-sloanei,G-dilatatus,P-lata,P-cribrata
N-hanni_713721:1434-1609	P-sloanei,P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tryoni,N-dahmsi,P-tryoni-tegminifera
N-hanni_699565:3183-3314	P-sloanei
N-hanni_622063:424-523	P-sloanei,G-dilatatus
N-hanni_114:176819-176995	P-sloanei,N-dahmsi,P-tryoni-tegminifera
N-hanni_393239:2361-2433	N-dahmsi,G-dilatatus,P-tryoni-tegminifera,P-gigantea,P-sloanei
N-hanni_818440:10061-10120	P-sloanei,P-tryoni-tegminifera,G-dilatatus
N-hanni_649065:2789-2854	M-lithgowae
N-hanni_398562:788-888	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni,P-cribrata,P-sloanei,N-dahmsi,P-lata,P-tryoni-tryoni-Eungella,M-lithgowae,G-dilatatus
N-hanni_668373:1211-1285	M-lithgowae,N-dahmsi
N-hanni_811492:7992-8036	P-tryoni-tryoni-Eungella,N-dahmsi
N-hanni_372:395497-395557	P-sloanei,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-lata,P-cribrata
N-hanni_822175:1805-1918	P-tryoni-tryoni,N-dahmsi
N-hanni_799214:3933-4248	P-tryoni-tryoni-Eungella
N-hanni_744365:2056-2254	P-tryoni-tryoni-Eungella
N-hanni_778077:1466-1624	P-sloanei,P-gigantea,P-lata
N-hanni_25:1089801-1089946	P-gigantea,P-tryoni-tegminifera,P-sloanei,M-lithgowae,P-tryoni-tryoni
N-hanni_576:35236-35395	P-sloanei
N-hanni_578:125275-125312	P-cribrata,G-dilatatus,P-sloanei
N-hanni_597223:6228-6557	P-sloanei
N-hanni_1114:131358-131520	P-tryoni-tryoni,P-lata,P-cribrata
N-hanni_804668:17305-17488	N-dahmsi,P-sloanei,P-tryoni-tegminifera,G-dilatatus
N-hanni_502657:19555-19655	P-tryoni-tryoni-Eungella,P-sloanei,N-dahmsi,M-lithgowae,P-tryoni-tryoni
N-hanni_711316:1314-1404	P-sloanei,P-gigantea,M-lithgowae
N-hanni_772787:3147-3224	P-sloanei
N-hanni_938:14276-14376	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-sloanei,P-lata,N-dahmsi,P-cribrata
N-hanni_795137:3583-3620	P-gigantea,P-tryoni-tegminifera
N-hanni_791746:3049-3116	M-lithgowae,G-dilatatus
N-hanni_762302:112-178	P-tryoni-tryoni
N-hanni_736143:26-94	P-sloanei,P-tryoni-tryoni
N-hanni_718196:183-272	P-tryoni-tryoni,P-sloanei,G-dilatatus,P-tryoni-tegminifera,P-gigantea,N-dahmsi
N-hanni_660816:1142-1398	P-tryoni-tegminifera,G-dilatatus
N-hanni_594060:2640-3083	P-sloanei
N-hanni_816144:35491-35585	P-tryoni-tegminifera,N-dahmsi
N-hanni_746273:4251-4353	P-sloanei
N-hanni_820019:1348235-1348291	P-sloanei,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,N-dahmsi,P-gigantea,P-tryoni-tegminifera
N-hanni_817168:589046-589217	G-dilatatus,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-gigantea,P-tryoni-tegminifera,N-dahmsi,P-sloanei,P-lata,M-lithgowae,P-cribrata
N-hanni_637697:16992-17202	P-tryoni-tegminifera,P-gigantea,M-lithgowae,G-dilatatus
N-hanni_604368:2254-2596	P-sloanei
N-hanni_792185:3049-3104	P-gigantea,P-tryoni-tryoni,M-lithgowae,G-dilatatus
N-hanni_745608:5017-5054	P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-sloanei
N-hanni_821980:225181-225298	P-sloanei,M-lithgowae
N-hanni_777687:2379-2438	P-tryoni-tegminifera,P-sloanei,P-gigantea
N-hanni_779:195740-195867	P-cribrata,M-lithgowae
N-hanni_756497:166-266	M-lithgowae,P-tryoni-tryoni-Eungella,P-sloanei,P-cribrata,N-dahmsi,P-gigantea,P-lata,G-dilatatus
N-hanni_764586:11363-11484	P-gigantea,P-tryoni-tegminifera
N-hanni_766037:324-381	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-sloanei,M-lithgowae,P-gigantea,P-tryoni-tegminifera
N-hanni_406315:1585-1659	P-tryoni-tryoni,P-sloanei
N-hanni_829480:42859-42953	P-lata,P-cribrata,G-dilatatus,P-sloanei
N-hanni_789528:3065-3128	P-sloanei
N-hanni_447811:4676-4818	G-dilatatus
N-hanni_759735:2391-2822	P-sloanei,N-dahmsi,P-tryoni-tryoni-Eungella
N-hanni_815256:10725-10873	P-sloanei,P-gigantea,P-tryoni-tegminifera,N-dahmsi,P-tryoni-tryoni-Eungella,G-dilatatus
N-hanni_1181:118966-119011	P-sloanei,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-lata,M-lithgowae,G-dilatatus,P-tryoni-tegminifera,P-cribrata,N-dahmsi
N-hanni_754232:7419-7640	G-dilatatus
N-hanni_515157:419-798	P-sloanei,P-tryoni-tryoni,P-gigantea
N-hanni_744342:11766-11957	P-sloanei,N-dahmsi
N-hanni_621849:3382-3437	M-lithgowae
N-hanni_711567:10038-10315	P-tryoni-tegminifera
N-hanni_129:294921-294990	N-dahmsi,M-lithgowae,P-tryoni-tryoni,P-sloanei,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
N-hanni_922:846414-846483	P-gigantea,P-tryoni-tegminifera,P-sloanei,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,N-dahmsi,P-lata,M-lithgowae
N-hanni_641378:3938-4058	M-lithgowae
N-hanni_411672:2066-2292	P-gigantea,G-dilatatus,P-sloanei
N-hanni_637673:6025-6202	N-dahmsi,P-tryoni-tegminifera,P-gigantea,G-dilatatus,P-sloanei
N-hanni_715997:2127-2520	P-tryoni-tegminifera,P-gigantea,M-lithgowae
N-hanni_634682:2740-2840	P-sloanei,P-gigantea,M-lithgowae,P-tryoni-tegminifera,N-dahmsi
N-hanni_602864:719-803	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,P-lata,M-lithgowae,P-tryoni-tryoni-Eungella,P-sloanei,N-dahmsi
N-hanni_666519:1960-2096	P-sloanei
N-hanni_404438:10151-10261	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni
N-hanni_664783:264-693	P-gigantea,P-tryoni-tryoni,N-dahmsi
N-hanni_817902:344341-344429	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,M-lithgowae
N-hanni_636785:2208-2283	N-dahmsi,G-dilatatus,M-lithgowae,P-lata,P-cribrata,P-tryoni-tryoni-Eungella
N-hanni_817670:3535-3666	P-tryoni-tegminifera,P-gigantea,G-dilatatus,M-lithgowae,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi
N-hanni_853510:50024-50343	P-sloanei
N-hanni_794669:179-246	P-tryoni-tryoni,N-dahmsi
N-hanni_754307:333-403	P-sloanei,G-dilatatus,N-dahmsi,M-lithgowae,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-tryoni-tryoni,P-gigantea
N-hanni_375:59334-59384	G-dilatatus,M-lithgowae,P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi
N-hanni_808779:1556-1645	P-tryoni-tryoni,N-dahmsi,P-tryoni-tryoni-Eungella
N-hanni_788608:969-1105	P-sloanei
N-hanni_600046:28-102	P-tryoni-tryoni,P-tryoni-tryoni-Eungella
N-hanni_810765:2640-2671	P-gigantea,P-tryoni-tegminifera
N-hanni_808609:51916-51981	P-sloanei,G-dilatatus
N-hanni_142:289251-289438	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-sloanei,P-gigantea,N-dahmsi,P-tryoni-tryoni,G-dilatatus,M-lithgowae
N-hanni_410832:1047-1240	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,N-dahmsi,P-cribrata,P-tryoni-tryoni,P-lata
N-hanni_441756:3826-3874	P-tryoni-tryoni-Eungella,N-dahmsi,P-sloanei,M-lithgowae,P-tryoni-tegminifera,P-cribrata
N-hanni_723:469111-469236	P-sloanei
