file,sequence_id,gc_percent
CP003000.1.fasta,CP003000.1,27.47925475484595
AP012548.1.fasta,AP012548.1,26.4076902401619
CP001429.2.fasta,CP001429.2,28.210940762393367
CP001487.1.fasta,CP001487.1,27.141713119258853
CP003015.1.fasta,CP003015.1,23.8468332384089
CP005488.1.fasta,CP005488.1,26.08371110454738
GCA_014251235.1_ASM1425123v1.fasta,CP059181.1,25.225179678950777
GCA_014251255.1_ASM1425125v1.fasta,CP059182.1,26.107463545876282
GCA_014251275.1_ASM1425127v1.fasta,CP059183.1,23.106831041079033
GCA_014251295.1_ASM1425129v1.fasta,CP059184.1,27.935815797374598
GCA_014251315.1_ASM1425131v1.fasta,CP059185.1,25.952479818369273
GCA_014251335.1_ASM1425133v1.fasta,CP059186.1,26.013975619359663
GCA_014251355.1_ASM1425135v1.fasta,CP059224.1,27.84941102805933
GCA_014251375.1_ASM1425137v1.fasta,CP059187.1,26.627111650181934
GCA_014251515.1_ASM1425151v1.fasta,CP059188.1,27.957825826179544
GCA_014251535.1_ASM1425153v1.fasta,CP059189.1,25.128441034104455
GCA_014251555.1_ASM1425155v1.fasta,CP059190.1,27.403018880946668
GCA_014251575.1_ASM1425157v1.fasta,CP059191.1,26.967412693127645
GCA_014251595.1_ASM1425159v1.fasta,CP059192.1,25.588704983832315
GCA_014251615.1_ASM1425161v1.fasta,CP059193.1,26.268048402894063
GCA_014251635.1_ASM1425163v1.fasta,CP059194.1,26.385847017163766
GCA_014251655.1_ASM1425165v1.fasta,CP059225.1,25.34576682216579
GCA_014251675.1_ASM1425167v1.fasta,CP059196.1,27.990952394286445
GCA_014251695.1_ASM1425169v1.fasta,CP059195.1,25.48927869060458
GCA_014251715.1_ASM1425171v1.fasta,CP059198.1,24.464054034041705
GCA_014251735.1_ASM1425173v1.fasta,CP059197.1,28.00798133537951
GCA_014251755.1_ASM1425175v1.fasta,CP059200.1,26.006455253646067
GCA_014251775.1_ASM1425177v1.fasta,CP059199.1,22.70186357518746
GCA_014251795.1_ASM1425179v1.fasta,CP059201.1,25.67072314234271
GCA_014251815.1_ASM1425181v1.fasta,CP059202.1,26.508543673451072
GCA_014251955.1_ASM1425195v1.fasta,CP059203.1,26.219869191825897
GCA_014251975.1_ASM1425197v1.fasta,CP059204.1,21.330163482140236
GCA_014251995.1_ASM1425199v1.fasta,CP059205.1,25.0704507735662
GCA_014252015.1_ASM1425201v1.fasta,CP059206.1,25.726977330694883
GCA_014252035.1_ASM1425203v1.fasta,CP059207.1,24.67399361846134
GCA_014252055.1_ASM1425205v1.fasta,CP059208.1,24.835616746674553
GCA_014252075.1_ASM1425207v1.fasta,CP059209.1,26.99378981567494
GCA_014252095.1_ASM1425209v1.fasta,CP059210.1,28.010670187426506
GCA_014252115.1_ASM1425211v1.fasta,CP059211.1,25.42948961499493
GCA_014252235.1_ASM1425223v1.fasta,CP059212.1,28.015160087736295
GCA_014252255.1_ASM1425225v1.fasta,CP059213.1,22.411413598247194
GCA_014252275.1_ASM1425227v1.fasta,CP059214.1,26.473650617059434
GCA_014252295.1_ASM1425229v1.fasta,CP059215.1,26.05644848923305
GCA_014252315.1_ASM1425231v1.fasta,CP059216.1,21.577506893445083
GCA_014252335.1_ASM1425233v1.fasta,CP059218.1,23.552935108611557
GCA_014252355.1_ASM1425235v1.fasta,CP059217.1,23.30406305741016
GCA_014252375.1_ASM1425237v1.fasta,CP059221.1,21.367510887044507
GCA_014252375.1_ASM1425237v1.fasta,CP059222.1,25.602409638554217
GCA_014252395.1_ASM1425239v1.fasta,CP059219.1,22.62074085214155
GCA_014252415.1_ASM1425241v1.fasta,CP059223.1,21.96529101696493
GCA_014252435.1_ASM1425243v1.fasta,CP059220.1,24.686332383600906
GCA_014252455.1_ASM1425245v1.fasta,CP060245.1,22.379623420509382
GCA_014252515.1_ASM1425251v1.fasta,CP060246.1,27.898291418338424
GCA_038255535.1_ASM3825553v1.fasta,CP142611.1,26.041421510943753
GCA_038257325.1_ASM3825732v1.fasta,CP142616.1,26.176913011429377
GCA_038259185.1_ASM3825918v1.fasta,CP142618.1,25.91595713725441
GCA_038260915.1_ASM3826091v1.fasta,CP142620.1,25.756720796396337
GCA_038261755.1_ASM3826175v1.fasta,CP142622.1,26.15328029424699
GCA_038262975.1_ASM3826297v1.fasta,CP142624.1,26.133706745418046
GCA_038264265.1_ASM3826426v1.fasta,CP142626.1,25.44195400700057
GCA_038265535.1_ASM3826553v1.fasta,CP142627.1,25.293824392882396
GCA_038266905.1_ASM3826690v1.fasta,CP142628.1,25.277676880050432
GCA_038268195.1_ASM3826819v1.fasta,CP142629.1,25.286766550363733
GCA_038269515.1_ASM3826951v1.fasta,CP142630.1,25.327078971603616
GCA_038270875.1_ASM3827087v1.fasta,CP142631.1,25.71142194437127
GCA_038272405.1_ASM3827240v1.fasta,CP142632.1,25.29087050215577
GCA_038273955.1_ASM3827395v1.fasta,CP142633.1,25.295101919119674
GCA_038276025.1_ASM3827602v1.fasta,CP142634.1,25.949865393406817
GCA_038278115.1_ASM3827811v1.fasta,CP142610.1,25.877477831388664
GCA_038280235.1_ASM3828023v1.fasta,CP142612.1,26.055302632760828
GCA_038282645.1_ASM3828264v1.fasta,CP142613.1,26.123711861780674
GCA_038284835.1_ASM3828483v1.fasta,CP142615.1,26.33260472781681
GCA_038286975.1_ASM3828697v1.fasta,CP142617.1,26.068630177713416
GCA_038289285.1_ASM3828928v1.fasta,CP142621.1,26.249882966045078
GCA_038291465.1_ASM3829146v1.fasta,CP142623.1,25.804525131235156
GCA_038293255.1_ASM3829325v1.fasta,CP142625.1,25.850913615907363
