Chromosome	Start	End	Feature_Type	Details	Reads
scaffold10062	1196	1231	intergenic	.	scaffold10062:1196-1231
scaffold10197	13771	13837	intergenic	.	scaffold10197:13771-13837
scaffold10266	4873	4904	intergenic	.	scaffold10266:4873-4904
scaffold111	146068	146107	intergenic	.	scaffold111:146068-146107
scaffold12089	13416	13471	intergenic	.	scaffold12089:13416-13471
scaffold12301	18575	18605	intergenic	.	scaffold12301:18575-18605
scaffold12477	12999	13038	intergenic	.	scaffold12477:12999-13038
scaffold132	50819	50859	intron,gene,mRNA		scaffold132:50819-50859
scaffold14674	2672	2708	intergenic	.	scaffold14674:2672-2708
scaffold15084	10207	10264	gene,mRNA,intron		scaffold15084:10207-10264
scaffold15372	12120	12150	intergenic	.	scaffold15372:12120-12150
scaffold1565	27660	27693	intergenic	.	scaffold1565:27660-27693
scaffold1588	58491	58521	intron,gene,mRNA		scaffold1588:58491-58521
scaffold17471	7277	7308	intergenic	.	scaffold17471:7277-7308
scaffold18154	4885	4920	intergenic	.	scaffold18154:4885-4920
scaffold1901	32609	32641	gene,mRNA,intron		scaffold1901:32609-32641
scaffold19119	10800	10843	intergenic	.	scaffold19119:10800-10843
scaffold20983	6910	6945	intergenic	.	scaffold20983:6910-6945
scaffold2123	36349	363952631	intron,exon,CDS,intron,CDS,exon,intron,exon,CDS,intron,CDS,exon,intron,exon,CDS,intron,CDS,exon,intron,exon,CDS,intron,CDS,exon,intron,exon,CDS,three_prime_UTR,mRNA,gene		scaffold2123:36349-363952631
scaffold22051	1712	1752	intergenic	.	scaffold22051:1712-1752
scaffold23360	7776	7820	intergenic	.	scaffold23360:7776-7820
scaffold2361	41427	41458	intergenic	.	scaffold2361:41427-41458
scaffold24023	2670	2705	intergenic	.	scaffold24023:2670-2705
scaffold2424	10564	10595	intergenic	.	scaffold2424:10564-10595
scaffold24881	3629	3661	intergenic	.	scaffold24881:3629-3661
scaffold2502	21114	21191612	intron,CDS,exon,intron,CDS,exon,intron,CDS,exon,intron,CDS,exon,intron,tRNA,gene,exon,CDS,intron,exon,CDS,intron,CDS,exon,three_prime_UTR,gene,mRNA		scaffold2502:21114-21191612
scaffold25640	6001	6031	intergenic	.	scaffold25640:6001-6031
scaffold26012	5420	5464	intergenic	.	scaffold26012:5420-5464
scaffold26369	2167	2198	intergenic	.	scaffold26369:2167-2198
scaffold27209	3123	3153	intergenic	.	scaffold27209:3123-3153
scaffold2785	39605	39636	intron,gene,mRNA		scaffold2785:39605-39636
scaffold27862	699	730	intergenic	.	scaffold27862:699-730
scaffold33446	4814	4844	intergenic	.	scaffold33446:4814-4844
scaffold33964	4658	4714	intergenic	.	scaffold33964:4658-4714
scaffold3561	33990	34049	intergenic	.	scaffold3561:33990-34049
scaffold38391	1981	2025	intergenic	.	scaffold38391:1981-2025
scaffold4349	41736	41766	intergenic	.	scaffold4349:41736-41766
scaffold4568	10539	10608	intergenic	.	scaffold4568:10539-10608
scaffold5387	7455	7486	intergenic	.	scaffold5387:7455-7486
scaffold5736	25065	25127	intergenic	.	scaffold5736:25065-25127
scaffold5888	18443	18476	intergenic	.	scaffold5888:18443-18476
scaffold614	67109	67139	intergenic	.	scaffold614:67109-67139
scaffold62	8982	9013	gene,mRNA,intron		scaffold62:8982-9013
scaffold7459	17616	17647	intergenic	.	scaffold7459:17616-17647
scaffold8047	5079	5124	intergenic	.	scaffold8047:5079-5124
scaffold8977	20839	20876	intergenic	.	scaffold8977:20839-20876
