query_id	subject_id_prefixes
G-dilatatus_scaffold_33627:2377-2489	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi,M-lithgowae,P-sloanei
G-dilatatus_scaffold_2059:15230-15462	P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,P-gigantea,P-tryoni-tryoni-Eungella,N-dahmsi
G-dilatatus_scaffold_7:7807957-7808007	P-sloanei,M-lithgowae,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,N-dahmsi
G-dilatatus_scaffold_6:11020361-11020413	P-tryoni-tryoni,P-sloanei,M-lithgowae,N-hanni
G-dilatatus_scaffold_25:324566-324631	P-gigantea,M-lithgowae,P-tryoni-tryoni
G-dilatatus_scaffold_69:3060419-3060480	P-tryoni-tryoni
G-dilatatus_scaffold_44902:2342-2414	P-gigantea,P-tryoni-tegminifera,P-sloanei,N-dahmsi,N-hanni
G-dilatatus_scaffold_104:1333358-1333444	P-tryoni-tryoni,M-lithgowae,N-dahmsi
G-dilatatus_scaffold_8121:2969-3070	P-tryoni-tegminifera,P-tryoni-tryoni,P-sloanei,M-lithgowae
G-dilatatus_scaffold_55755:103-232	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni
G-dilatatus_scaffold_70:1321423-1321531	P-tryoni-tryoni-Eungella,N-dahmsi
G-dilatatus_scaffold_57:2976517-2976585	N-hanni,N-dahmsi
G-dilatatus_scaffold_31:3880174-3880233	P-gigantea,P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni,N-hanni
G-dilatatus_scaffold_2:7633978-7634049	P-tryoni-tryoni
G-dilatatus_scaffold_150:538255-538472	N-dahmsi,P-gigantea,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-sloanei,M-lithgowae
G-dilatatus_scaffold_16:5080591-5080647	P-tryoni-tryoni-Eungella,N-hanni
G-dilatatus_scaffold_225:1237737-1237926	N-hanni,P-tryoni-tryoni-Eungella,P-sloanei,N-dahmsi
G-dilatatus_scaffold_20238:1639-1870	P-tryoni-tegminifera,M-lithgowae,P-gigantea
G-dilatatus_scaffold_12826:5679-6064	N-dahmsi,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_529:63700-63752	P-tryoni-tryoni,N-dahmsi
G-dilatatus_scaffold_39219:370-570	P-tryoni-tryoni,M-lithgowae
G-dilatatus_scaffold_3010:4400-4460	P-tryoni-tryoni-Eungella,P-sloanei,N-hanni,P-gigantea,P-tryoni-tegminifera,P-lata,P-cribrata,P-tryoni-tryoni,M-lithgowae
G-dilatatus_scaffold_202:108487-108564	M-lithgowae,P-tryoni-tryoni
G-dilatatus_scaffold_235:331151-331184	P-tryoni-tryoni,M-lithgowae,P-sloanei,P-lata,P-cribrata
G-dilatatus_scaffold_116:3162614-3162720	M-lithgowae,N-dahmsi,N-hanni
G-dilatatus_scaffold_828:7114-7250	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella,M-lithgowae,P-tryoni-tryoni,P-lata,P-cribrata,N-dahmsi
