query_id	subject_id_prefixes
N-dahmsi_contig_9954:2740206-2740270	P-lata
N-dahmsi_contig_5625:15313276-15313346	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,M-lithgowae,G-dilatatus,P-gigantea,P-tryoni-tegminifera
N-dahmsi_contig_10699:36291-36357	P-sloanei,N-hanni,P-tryoni-tryoni,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-gigantea
N-dahmsi_contig_2856:4736379-4736664	P-tryoni-tryoni,M-lithgowae
N-dahmsi_contig_8912:187092-187168	M-lithgowae,P-tryoni-tryoni,G-dilatatus
N-dahmsi_contig_7212:5731246-5731317	P-tryoni-tegminifera,P-sloanei,G-dilatatus,M-lithgowae
N-dahmsi_contig_10088:477483-477814	P-gigantea,P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni
N-dahmsi_contig_4878:3607626-3607708	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,N-hanni,P-lata,G-dilatatus,B-germanica,P-cribrata
N-dahmsi_contig_11810:1802449-1802619	P-tryoni-tryoni-Eungella,P-sloanei,N-hanni,P-tryoni-tryoni,G-dilatatus,P-tryoni-tegminifera
N-dahmsi_contig_6573:6123128-6123214	P-gigantea
N-dahmsi_contig_2449:11176913-11177010	P-tryoni-tryoni
N-dahmsi_contig_7668:2903401-2903575	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,M-lithgowae
N-dahmsi_contig_14626:5275462-5275621	P-tryoni-tryoni,P-sloanei,G-dilatatus
N-dahmsi_contig_7463:3184829-3185324	P-tryoni-tegminifera,P-tryoni-tryoni
N-dahmsi_contig_17642:153038-153302	M-lithgowae,P-tryoni-tryoni,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
N-dahmsi_contig_7134:3957516-3957721	M-lithgowae,P-tryoni-tryoni-Eungella,P-cribrata,P-lata
N-dahmsi_contig_9486:1754659-1754861	P-tryoni-tryoni
N-dahmsi_contig_5499:3013272-3013340	P-tryoni-tryoni,G-dilatatus,P-gigantea,M-lithgowae
N-dahmsi_contig_2471:3713345-3713604	P-tryoni-tryoni,N-hanni,P-tryoni-tryoni-Eungella,P-gigantea,M-lithgowae,P-sloanei,G-dilatatus,P-lata,P-cribrata
N-dahmsi_contig_17343:432561-432625	P-gigantea,P-tryoni-tegminifera
N-dahmsi_contig_2968:4689084-4689355	P-tryoni-tegminifera,P-gigantea,G-dilatatus,P-tryoni-tryoni
N-dahmsi_contig_5978:520193-520362	P-tryoni-tryoni,P-tryoni-tryoni-Eungella
N-dahmsi_contig_5565:16222356-16222718	P-tryoni-tryoni-Eungella
N-dahmsi_contig_17536:422676-422748	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-lata,N-hanni,G-dilatatus
N-dahmsi_contig_6168:2031170-2031249	P-tryoni-tryoni,M-lithgowae,P-gigantea,N-hanni,G-dilatatus,P-tryoni-tryoni-Eungella
N-dahmsi_contig_5605:2251633-2251909	P-tryoni-tegminifera,P-gigantea,P-sloanei
N-dahmsi_contig_10204:1889541-1889838	P-tryoni-tegminifera,P-gigantea
N-dahmsi_contig_4738:5536663-5536763	P-sloanei,P-gigantea,P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni-Eungella,P-tryoni-tryoni
N-dahmsi_contig_3254:4144477-4144860	P-tryoni-tegminifera,P-gigantea
N-dahmsi_contig_4250:2495956-2496137	P-tryoni-tryoni-Eungella
N-dahmsi_contig_11324:1149997-1150064	P-gigantea,P-sloanei,N-hanni
N-dahmsi_contig_11177:8977263-8977409	M-lithgowae
N-dahmsi_contig_11458:2568843-2568943	P-tryoni-tegminifera,P-gigantea,P-sloanei,G-dilatatus,P-tryoni-tryoni,N-hanni,P-tryoni-tryoni-Eungella
N-dahmsi_contig_5625:6235842-6236026	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,M-lithgowae,P-gigantea
N-dahmsi_contig_5137:10330006-10330064	P-lata,P-cribrata
N-dahmsi_contig_19:10050725-10051063	P-sloanei
N-dahmsi_contig_11932:54441-54613	P-tryoni-tryoni-Eungella
N-dahmsi_contig_7212:1620001-1620154	P-tryoni-tegminifera,P-gigantea
N-dahmsi_contig_4049:448337-448410	M-lithgowae,P-tryoni-tegminifera,P-tryoni-tryoni
N-dahmsi_contig_6500:700302-700466	P-sloanei,N-hanni,P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tegminifera,M-lithgowae,G-dilatatus,P-tryoni-tryoni
N-dahmsi_contig_16858:3873672-3873809	P-tryoni-tryoni-Eungella
N-dahmsi_contig_9486:2999982-3000221	P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,M-lithgowae
N-dahmsi_contig_5456:3646155-3646299	P-tryoni-tryoni-Eungella
N-dahmsi_contig_714:938916-939367	P-sloanei,N-hanni,P-tryoni-tryoni-Eungella
N-dahmsi_contig_11177:6517794-6518045	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera
N-dahmsi_contig_2261:6796241-6796393	P-gigantea,P-tryoni-tegminifera
N-dahmsi_contig_11203:70986-71298	P-sloanei,N-hanni
N-dahmsi_contig_11309:1240226-1240278	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,G-dilatatus
N-dahmsi_contig_13377:2517793-2517847	G-dilatatus
N-dahmsi_contig_17558:921700-921986	N-hanni,G-dilatatus,P-tryoni-tryoni-Eungella
N-dahmsi_contig_4250:702281-702503	M-lithgowae,P-tryoni-tryoni-Eungella
N-dahmsi_contig_736:364067-364262	P-tryoni-tryoni-Eungella,P-gigantea,P-cribrata,P-lata,P-tryoni-tegminifera
N-dahmsi_contig_11309:62536-62744	P-tryoni-tryoni
N-dahmsi_contig_11309:1106284-1106368	P-lata,P-tryoni-tryoni-Eungella
N-dahmsi_contig_12526:393756-393824	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella,G-dilatatus,N-hanni
N-dahmsi_contig_735:5578032-5578131	G-dilatatus,P-lata,P-cribrata
N-dahmsi_contig_5499:5818272-5818341	M-lithgowae,P-sloanei,P-tryoni-tryoni-Eungella,N-hanni
N-dahmsi_contig_8663:376402-377042	P-tryoni-tryoni-Eungella
N-dahmsi_contig_8502:255802-256197	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera
N-dahmsi_contig_1708:1005144-1005424	P-tryoni-tryoni-Eungella
N-dahmsi_contig_9526:1365029-1365109	P-tryoni-tryoni-Eungella,M-lithgowae,P-tryoni-tryoni,N-hanni,G-dilatatus
N-dahmsi_contig_2318:6158861-6159442	N-hanni,P-gigantea,P-sloanei,P-tryoni-tegminifera,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,G-dilatatus
