query_id	subject_id_prefixes
M-lithgowae_contig_2124:641952-642057	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi
M-lithgowae_contig_1019:1188106-1188307	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,G-dilatatus,P-tryoni-tegminifera
M-lithgowae_contig_2358:1559474-1559553	P-tryoni-tryoni,G-dilatatus
M-lithgowae_contig_6142:1104333-1104545	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,G-dilatatus
M-lithgowae_contig_5609:934099-934370	P-tryoni-tryoni
M-lithgowae_contig_829:41140-41257	P-gigantea,P-tryoni-tryoni
M-lithgowae_contig_2344:3293507-3293658	P-gigantea,P-tryoni-tegminifera,N-dahmsi,N-hanni,P-tryoni-tryoni,P-sloanei
M-lithgowae_contig_10024:215567-215695	P-tryoni-tryoni,P-sloanei,N-dahmsi
M-lithgowae_contig_2700:2688122-2688227	N-dahmsi,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-gigantea,G-dilatatus,P-sloanei,N-hanni,P-tryoni-tegminifera
M-lithgowae_contig_5486:93994-94072	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella,N-dahmsi
M-lithgowae_contig_6882:154704-154890	P-tryoni-tegminifera,N-hanni,P-gigantea,P-sloanei
M-lithgowae_contig_3000:3696846-3697016	G-dilatatus,P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella
M-lithgowae_contig_546:778984-779126	P-tryoni-tryoni,P-gigantea,P-tryoni-tegminifera,P-sloanei,N-hanni,P-tryoni-tryoni-Eungella,G-dilatatus,N-dahmsi
M-lithgowae_contig_5287:889857-889980	P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,P-sloanei,P-tryoni-tryoni-Eungella,N-dahmsi,N-hanni
M-lithgowae_contig_8244:961981-962096	P-tryoni-tryoni,P-tryoni-tegminifera
M-lithgowae_contig_4081:3403785-3403982	N-dahmsi,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,N-hanni,P-gigantea
M-lithgowae_contig_1878:4089721-4089870	P-tryoni-tryoni
M-lithgowae_contig_3748:634416-634670	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,G-dilatatus
M-lithgowae_contig_4587:601766-601952	P-tryoni-tryoni,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
M-lithgowae_contig_746:1003442-1003724	P-tryoni-tryoni-Eungella,N-dahmsi,G-dilatatus,P-lata
M-lithgowae_contig_7247:709286-709447	P-tryoni-tryoni-Eungella,N-dahmsi
M-lithgowae_contig_1101:1199061-1199168	P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,G-dilatatus
M-lithgowae_contig_3198:896164-896216	P-gigantea,P-tryoni-tegminifera,P-sloanei,G-dilatatus,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,N-hanni,P-cribrata
M-lithgowae_contig_3278:239361-239432	P-sloanei,G-dilatatus,P-tryoni-tegminifera
M-lithgowae_contig_4966:148849-148916	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
M-lithgowae_contig_2358:732210-732466	P-tryoni-tegminifera,P-gigantea
M-lithgowae_contig_568:83437-83591	P-tryoni-tryoni-Eungella,P-sloanei,P-gigantea,P-tryoni-tegminifera,P-lata,G-dilatatus
M-lithgowae_contig_444:1165437-1165602	P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,N-dahmsi
M-lithgowae_contig_1026:1722861-1722989	P-tryoni-tryoni
M-lithgowae_contig_10167:504836-505106	P-gigantea,P-tryoni-tegminifera,N-dahmsi,P-tryoni-tryoni,P-sloanei,N-hanni,P-tryoni-tryoni-Eungella,G-dilatatus
M-lithgowae_contig_9362:1040115-1040265	N-hanni,P-sloanei,P-cribrata,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni
M-lithgowae_contig_2700:1652682-1652742	P-gigantea,P-tryoni-tegminifera
M-lithgowae_contig_10094:243776-243946	P-tryoni-tryoni
M-lithgowae_contig_3756:1142383-1142671	P-sloanei,P-tryoni-tryoni-Eungella,N-dahmsi
M-lithgowae_contig_10008:108001-108060	P-tryoni-tryoni,N-hanni,P-gigantea,P-tryoni-tegminifera,P-sloanei,P-tryoni-tryoni-Eungella,G-dilatatus
M-lithgowae_contig_4659:405749-406180	P-tryoni-tegminifera,P-gigantea
M-lithgowae_contig_7593:4894349-4894418	P-tryoni-tryoni
M-lithgowae_contig_10202:201318-201409	P-tryoni-tryoni,P-gigantea,P-sloanei,P-tryoni-tryoni-Eungella
M-lithgowae_contig_5287:1290085-1290236	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-gigantea,P-lata,G-dilatatus
M-lithgowae_contig_8502:403009-403396	P-tryoni-tryoni,N-dahmsi,G-dilatatus
M-lithgowae_contig_9256:230538-230865	P-sloanei
M-lithgowae_contig_650:320893-320959	P-gigantea,P-sloanei,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,G-dilatatus
M-lithgowae_contig_3729:245490-245756	P-tryoni-tegminifera,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-cribrata,N-hanni,N-dahmsi,P-lata
M-lithgowae_contig_1136:1744181-1744255	G-dilatatus,P-tryoni-tegminifera,P-gigantea,P-sloanei,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi
M-lithgowae_contig_1059:396558-397142	P-tryoni-tryoni,N-dahmsi,G-dilatatus,P-gigantea,P-tryoni-tryoni-Eungella
M-lithgowae_contig_3554:810112-810281	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,N-dahmsi,N-hanni
M-lithgowae_contig_5570:666662-666996	P-tryoni-tryoni
M-lithgowae_contig_698:1711539-1711746	N-dahmsi,P-gigantea,P-tryoni-tegminifera,G-dilatatus
M-lithgowae_contig_2254:604746-604989	P-tryoni-tryoni,N-dahmsi
M-lithgowae_contig_4520:449874-449944	P-tryoni-tryoni,P-tryoni-tegminifera,P-cribrata,P-lata,N-dahmsi
M-lithgowae_contig_4416:634433-634487	P-tryoni-tryoni
M-lithgowae_contig_4771:117085-117169	P-tryoni-tryoni,P-tryoni-tegminifera,N-hanni
M-lithgowae_contig_515:2773326-2773389	P-cribrata,P-lata,N-hanni
M-lithgowae_contig_1016:677374-677485	P-tryoni-tryoni
M-lithgowae_contig_6275:480691-480747	P-tryoni-tryoni,P-tryoni-tegminifera,P-cribrata
M-lithgowae_contig_1484:2954536-2954588	P-tryoni-tryoni,N-hanni,P-sloanei
M-lithgowae_contig_5419:2846465-2846534	N-dahmsi
M-lithgowae_contig_2220:683101-683319	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella,N-hanni,G-dilatatus
M-lithgowae_contig_4887:106304-106418	P-tryoni-tryoni,P-sloanei,P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella
M-lithgowae_contig_6446:2630236-2630351	P-gigantea,P-tryoni-tryoni,N-hanni,P-sloanei
M-lithgowae_contig_126:1326140-1326242	P-tryoni-tryoni-Eungella,N-dahmsi,N-hanni,P-gigantea
M-lithgowae_contig_457:249613-249680	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-sloanei,P-tryoni-tryoni,N-hanni,G-dilatatus,N-dahmsi
M-lithgowae_contig_554:4146728-4146795	P-tryoni-tryoni,P-sloanei,P-tryoni-tryoni-Eungella,N-dahmsi
M-lithgowae_contig_872:1242936-1243205	P-tryoni-tryoni-Eungella
M-lithgowae_contig_1061:5216955-5217117	P-gigantea,G-dilatatus
M-lithgowae_contig_3410:249361-249746	P-tryoni-tryoni
M-lithgowae_contig_4579:276510-276947	P-tryoni-tegminifera,P-tryoni-tryoni,P-tryoni-tryoni-Eungella
M-lithgowae_contig_2601:544241-544459	P-tryoni-tryoni
M-lithgowae_contig_760:3147142-3147243	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,G-dilatatus,P-cribrata,P-sloanei,N-dahmsi,N-hanni
M-lithgowae_contig_489:60594-60718	P-tryoni-tryoni-Eungella,P-gigantea,N-hanni,G-dilatatus,P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi,P-sloanei
M-lithgowae_contig_2344:1740634-1740965	P-gigantea
M-lithgowae_contig_5137:1121519-1121691	P-tryoni-tryoni
