query_id	subject_id_prefixes
G-dilatatus_scaffold_119:126822-127054	P-tryoni-tryoni,P-sloanei,M-lithgowae,P-tryoni-tegminifera,N-hanni,P-gigantea,N-dahmsi,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_62:526570-526710	N-dahmsi
G-dilatatus_scaffold_12:6697131-6697295	P-sloanei
G-dilatatus_scaffold_158:767426-767483	P-tryoni-tryoni,M-lithgowae
G-dilatatus_scaffold_13:2676829-2676944	P-tryoni-tryoni-Eungella,P-tryoni-tryoni,M-lithgowae,P-sloanei,P-tryoni-tegminifera,P-gigantea,N-hanni
G-dilatatus_scaffold_165:819931-820036	M-lithgowae,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_93:1978306-1978432	P-tryoni-tegminifera,N-dahmsi,P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tryoni,M-lithgowae
G-dilatatus_scaffold_24:7171394-7171519	P-tryoni-tryoni-Eungella,N-dahmsi
G-dilatatus_scaffold_6111:3964-4151	P-gigantea,N-hanni,P-tryoni-tryoni,M-lithgowae
G-dilatatus_scaffold_127:2875036-2875307	N-hanni,P-gigantea,P-lata,P-cribrata,P-tryoni-tegminifera
G-dilatatus_scaffold_418:215925-215988	P-sloanei
G-dilatatus_scaffold_33:2100185-2100271	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,M-lithgowae
G-dilatatus_scaffold_13:7707749-7708014	P-tryoni-tryoni,P-tryoni-tegminifera,N-dahmsi,P-sloanei,N-hanni,P-tryoni-tryoni-Eungella,M-lithgowae,P-gigantea
G-dilatatus_scaffold_30:8466072-8466202	P-sloanei,N-hanni,M-lithgowae,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_55564:299-437	P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,M-lithgowae,N-dahmsi
G-dilatatus_scaffold_55551:1805-1859	N-hanni,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-gigantea,P-lata
G-dilatatus_scaffold_15166:1438-1583	P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,N-hanni,M-lithgowae
G-dilatatus_scaffold_21246:1561-1731	P-sloanei,N-hanni,P-tryoni-tryoni-Eungella,N-dahmsi
G-dilatatus_scaffold_9:11711731-11711787	P-tryoni-tegminifera,M-lithgowae,P-gigantea
G-dilatatus_scaffold_7:4004041-4004189	N-hanni,M-lithgowae,P-sloanei
G-dilatatus_scaffold_25:1829179-1829572	N-hanni
G-dilatatus_scaffold_28:3698382-3698662	M-lithgowae
G-dilatatus_scaffold_150:1279108-1279268	P-sloanei,P-tryoni-tryoni,P-gigantea,P-tryoni-tryoni-Eungella,N-hanni
G-dilatatus_scaffold_89:3789822-3790025	N-dahmsi,P-tryoni-tegminifera
G-dilatatus_scaffold_16465:475-563	N-dahmsi,P-tryoni-tryoni-Eungella,P-gigantea
G-dilatatus_scaffold_76:402349-402515	N-dahmsi,P-tryoni-tryoni,M-lithgowae,P-tryoni-tegminifera,N-hanni,P-sloanei,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_111:1630127-1630334	P-cribrata
G-dilatatus_scaffold_38:3192862-3192977	N-dahmsi,P-sloanei,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,M-lithgowae,D-punctata
G-dilatatus_scaffold_116:538105-538351	N-hanni,P-tryoni-tegminifera,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi
G-dilatatus_scaffold_220:1053301-1053351	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-sloanei,M-lithgowae,P-tryoni-tegminifera
G-dilatatus_scaffold_58:1732466-1732597	P-tryoni-tegminifera
G-dilatatus_scaffold_45:3720993-3721136	N-dahmsi,P-tryoni-tryoni,P-sloanei,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-gigantea
G-dilatatus_scaffold_23:6273944-6274373	P-tryoni-tegminifera,N-hanni,P-tryoni-tryoni-Eungella,P-gigantea
G-dilatatus_scaffold_162:71116-71197	P-tryoni-tryoni,P-sloanei
G-dilatatus_scaffold_56:1549085-1549151	P-gigantea,N-hanni,P-cribrata,P-tryoni-tegminifera,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-sloanei,M-lithgowae,N-dahmsi
G-dilatatus_scaffold_174:738936-739361	P-tryoni-tegminifera,P-sloanei,N-hanni,P-tryoni-tryoni-Eungella,P-gigantea,M-lithgowae
G-dilatatus_scaffold_9125:2422-2530	P-tryoni-tegminifera,P-sloanei,P-tryoni-tryoni-Eungella,P-gigantea
G-dilatatus_scaffold_236:290360-290648	N-hanni,P-sloanei,N-dahmsi,M-lithgowae,P-lata,P-cribrata,D-punctata
G-dilatatus_scaffold_4588:4270-4377	P-tryoni-tegminifera,P-gigantea,M-lithgowae,P-sloanei,P-tryoni-tryoni-Eungella,N-dahmsi,P-tryoni-tryoni
G-dilatatus_scaffold_55:3287798-3287857	P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,N-dahmsi
G-dilatatus_scaffold_116:871496-871662	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-gigantea,N-dahmsi,P-tryoni-tryoni,M-lithgowae,P-lata,P-cribrata
G-dilatatus_scaffold_6:7090510-7090601	P-tryoni-tryoni,P-gigantea,P-tryoni-tegminifera,N-dahmsi,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_262:645225-645341	P-tryoni-tegminifera,P-gigantea
G-dilatatus_scaffold_5:9046445-9046633	M-lithgowae,P-sloanei,P-tryoni-tryoni-Eungella,N-dahmsi
G-dilatatus_scaffold_328:258863-258956	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-sloanei,P-lata,P-gigantea,P-cribrata,N-dahmsi,M-lithgowae
G-dilatatus_scaffold_2:12499376-12499542	N-dahmsi
G-dilatatus_scaffold_23:8305392-8305979	P-tryoni-tryoni,P-sloanei,M-lithgowae,N-hanni,N-dahmsi,P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tegminifera
G-dilatatus_scaffold_65:610977-611060	P-tryoni-tryoni,D-punctata,M-lithgowae,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-gigantea,N-dahmsi,N-hanni
G-dilatatus_scaffold_508:289962-290345	P-sloanei,P-tryoni-tryoni,M-lithgowae
G-dilatatus_scaffold_110:648201-648352	P-sloanei,N-hanni,M-lithgowae,P-tryoni-tegminifera
G-dilatatus_scaffold_115:678031-678114	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi,M-lithgowae
G-dilatatus_scaffold_109:1297816-1297914	N-dahmsi,M-lithgowae,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-tryoni-tryoni
G-dilatatus_scaffold_102:2075550-2075781	P-tryoni-tegminifera,M-lithgowae,N-hanni,P-gigantea,P-sloanei,P-tryoni-tryoni,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_25:7161469-7161570	M-lithgowae,N-dahmsi,D-punctata,P-gigantea
G-dilatatus_scaffold_29:5770731-5770794	N-dahmsi
G-dilatatus_scaffold_118:3214189-3214279	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-gigantea,N-dahmsi,M-lithgowae
G-dilatatus_scaffold_17:3409599-3409659	P-sloanei,P-gigantea,D-punctata,P-tryoni-tegminifera
G-dilatatus_scaffold_27:9001618-9001886	D-punctata,P-sloanei
G-dilatatus_scaffold_7:1744654-1744819	P-tryoni-tryoni,D-punctata,P-tryoni-tegminifera
G-dilatatus_scaffold_258:773751-773878	P-tryoni-tryoni
G-dilatatus_scaffold_28:8552570-8552857	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,N-dahmsi,M-lithgowae,D-punctata,P-sloanei
G-dilatatus_scaffold_360:162672-162865	P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni,N-dahmsi,M-lithgowae,P-sloanei
G-dilatatus_scaffold_6:5916867-5916957	N-dahmsi
G-dilatatus_scaffold_36:2095196-2095329	N-hanni
G-dilatatus_scaffold_136:2578376-2578547	P-tryoni-tegminifera,N-hanni,M-lithgowae
G-dilatatus_scaffold_93:3332193-3332383	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella,N-dahmsi,D-punctata
G-dilatatus_scaffold_3:4359160-4359337	P-tryoni-tryoni-Eungella,P-sloanei
G-dilatatus_scaffold_26:5751801-5751993	P-tryoni-tryoni,P-gigantea,N-hanni
G-dilatatus_scaffold_125:1771289-1771400	M-lithgowae,P-sloanei
G-dilatatus_scaffold_197:1246313-1246409	P-tryoni-tryoni,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_670:7488-7586	N-dahmsi
G-dilatatus_scaffold_490:100813-101095	P-cribrata,M-lithgowae,P-tryoni-tryoni
G-dilatatus_scaffold_164:2010392-2010504	P-sloanei,P-cribrata,P-tryoni-tryoni-Eungella,N-hanni
G-dilatatus_scaffold_13:7401449-7401702	P-lata,N-dahmsi,P-cribrata
G-dilatatus_scaffold_12826:5679-6063	N-dahmsi,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_199:610134-610375	P-tryoni-tryoni,P-gigantea,P-tryoni-tegminifera
G-dilatatus_scaffold_531:215117-215574	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni,P-sloanei
G-dilatatus_scaffold_136:1686374-1686444	P-gigantea,P-tryoni-tegminifera,N-hanni
G-dilatatus_scaffold_29:4430971-4431158	P-tryoni-tryoni,M-lithgowae,D-punctata
G-dilatatus_scaffold_175:546889-546944	P-sloanei,P-gigantea,N-dahmsi,M-lithgowae,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-tryoni-tryoni
G-dilatatus_scaffold_828:7114-7250	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni-Eungella,M-lithgowae,P-tryoni-tryoni,N-dahmsi,P-lata,P-cribrata,P-sloanei
G-dilatatus_scaffold_35:1876465-1876721	N-dahmsi,M-lithgowae,P-sloanei,N-hanni,P-tryoni-tegminifera,P-gigantea,P-cribrata
G-dilatatus_scaffold_2059:15231-15462	P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,N-dahmsi,P-gigantea,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_2695:15919-16061	N-hanni,P-gigantea,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_16939:3059-3582	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,N-dahmsi,M-lithgowae,P-sloanei,N-hanni
G-dilatatus_scaffold_47:268615-268923	P-sloanei,P-gigantea,N-hanni,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
G-dilatatus_scaffold_48:846721-846840	P-tryoni-tryoni-Eungella,N-dahmsi,P-sloanei,M-lithgowae,P-tryoni-tryoni,P-gigantea
G-dilatatus_scaffold_37712:1541-1596	P-sloanei
G-dilatatus_scaffold_212:1206006-1206061	N-hanni
G-dilatatus_scaffold_16328:1863-2023	P-tryoni-tegminifera,M-lithgowae,P-tryoni-tryoni,N-hanni
G-dilatatus_scaffold_42:6283527-6283606	M-lithgowae,P-tryoni-tryoni,P-tryoni-tegminifera
