Chromosome	Start	End	Feature_Type	Details	Reads
contig_10026	33868	34010	intergenic	.	contig_10026:33868-34010
contig_10066	544834	544896	intergenic	.	contig_10066:544834-544896
contig_10071	84864	84939	intergenic	.	contig_10071:84864-84939
contig_10083	722407	722479	intergenic	.	contig_10083:722407-722479
contig_10096	1021509	1021699	intergenic	.	contig_10096:1021509-1021699
contig_10102	179123	179267	intergenic	.	contig_10102:179123-179267
contig_10106	9361	9438	intergenic	.	contig_10106:9361-9438
contig_10127	48281	48421	gene,mRNA	.	contig_10127:48281-48421,contig_10127:48281-48421
contig_10128	397256	397378	intergenic	.	contig_10128:397256-397378
contig_10128	1908706	1908822	intergenic	.	contig_10128:1908706-1908822
contig_10129	255390	255521	intergenic	.	contig_10129:255390-255521
contig_10169	601078	601203	gene,mRNA	.	contig_10169:601078-601203,contig_10169:601078-601203
contig_10169	601355	601441	gene,mRNA	.	contig_10169:601355-601441,contig_10169:601355-601441
contig_10169	828336	828475	intergenic	.	contig_10169:828336-828475
contig_10180	82734	83022	intergenic	.	contig_10180:82734-83022
contig_10187	83367	83545	intergenic	.	contig_10187:83367-83545
contig_10187	1112735	1112781	intergenic	.	contig_10187:1112735-1112781
contig_10187	1112735	1112800	start_codon,exon,CDS,gene,mRNA	.	contig_10187:1112735-1112800,contig_10187:1112735-1112800,contig_10187:1112735-1112800,contig_10187:1112735-1112800,contig_10187:1112735-1112800
contig_10192	47722	47872	exon,CDS,gene,mRNA	.	contig_10192:47722-47872,contig_10192:47722-47872,contig_10192:47722-47872,contig_10192:47722-47872
contig_10200	76743	76895	intergenic	.	contig_10200:76743-76895
contig_10219	1115012	1115213	intergenic	.	contig_10219:1115012-1115213
contig_10232	463761	463850	intergenic	.	contig_10232:463761-463850
contig_10238	282755	283402	intergenic	.	contig_10238:282755-283402
contig_10238	1118552	1118642	intergenic	.	contig_10238:1118552-1118642
contig_10238	1121628	1121718	intergenic	.	contig_10238:1121628-1121718
contig_10238	1712097	1712203	intergenic	.	contig_10238:1712097-1712203
contig_10250	458410	458635	intergenic	.	contig_10250:458410-458635
contig_10255	214788	214910	intergenic	.	contig_10255:214788-214910
