Chromosome	Start	End	Feature_Type	Details	Reads
contig_10002	140661	140777	intergenic	.	contig_10002:140661-140777
contig_10002	681513	681575	intergenic	.	contig_10002:681513-681575
contig_10008	68832	68914	mRNA,gene		contig_10008:68832-68914
contig_10008	108001	108060	intergenic	.	contig_10008:108001-108060
contig_10009	284203	284399	intergenic	.	contig_10009:284203-284399
contig_10010	8835	8947	intergenic	.	contig_10010:8835-8947
contig_10010	76287	76354	intergenic	.	contig_10010:76287-76354
contig_10010	115144	115390	intergenic	.	contig_10010:115144-115390
contig_10024	215567	215695	intergenic	.	contig_10024:215567-215695
contig_10024	216003	216079	intergenic	.	contig_10024:216003-216079
contig_10024	587726	587841	gene,mRNA,stop_codon,exon,CDS		contig_10024:587726-587841
contig_10024	894281	894351	intergenic	.	contig_10024:894281-894351
contig_10024	942618	942828	intergenic	.	contig_10024:942618-942828
contig_10024	1162380	1162568	intergenic	.	contig_10024:1162380-1162568
contig_10027	53851	54209	intergenic	.	contig_10027:53851-54209
contig_10027	160662	160877	gene,mRNA		contig_10027:160662-160877
contig_10029	61266	61413	intergenic	.	contig_10029:61266-61413
contig_10029	144582	144877	gene,mRNA		contig_10029:144582-144877
contig_10029	176759	176992	gene,mRNA		contig_10029:176759-176992
contig_10029	204180	204313	gene,mRNA		contig_10029:204180-204313
contig_10029	351468	351586	intergenic	.	contig_10029:351468-351586
contig_10029	355288	355559	intergenic	.	contig_10029:355288-355559
contig_10029	612907	613186	intergenic	.	contig_10029:612907-613186
contig_10029	640172	640336	intergenic	.	contig_10029:640172-640336
contig_10029	992316	992545	gene,mRNA		contig_10029:992316-992545
contig_10029	1185957	1186131	gene,mRNA		contig_10029:1185957-1186131
contig_10029	1205430	1205581	intergenic	.	contig_10029:1205430-1205581
contig_10029	1601302	1601409	gene,mRNA		contig_10029:1601302-1601409
contig_10029	1700302	1700375	intergenic	.	contig_10029:1700302-1700375
contig_10029	1700675	1700850	intergenic	.	contig_10029:1700675-1700850
contig_10029	1734512	1734604	gene,mRNA		contig_10029:1734512-1734604
contig_1004	576869	577998	gene,polyA_signal_sequence,mRNA,stop_codon,exon,CDS		contig_1004:576869-577998
contig_1004	777561	777824	intergenic	.	contig_1004:777561-777824
contig_1004	1148450	1148697	intergenic	.	contig_1004:1148450-1148697
contig_1004	1332517	1332693	intergenic	.	contig_1004:1332517-1332693
contig_10044	41735	41882	intergenic	.	contig_10044:41735-41882
contig_10044	362257	362480	intergenic	.	contig_10044:362257-362480
contig_10044	555006	555181	intergenic	.	contig_10044:555006-555181
contig_10044	576708	577239	gene,mRNA		contig_10044:576708-577239
contig_10044	829688	829967	intergenic	.	contig_10044:829688-829967
contig_10044	928710	929047	intergenic	.	contig_10044:928710-929047
contig_10044	992183	992486	intergenic	.	contig_10044:992183-992486
contig_10047	30123	30226	gene,mRNA		contig_10047:30123-30226
