query_id	subject_id_prefixes
D-punctata_JASPKZ010010655.1:2837816-2837882	M-lithgowae,P-sloanei,P-gigantea,G-dilatatus
D-punctata_JASPKZ010009357.1:2785898-2785954	P-cribrata,P-tryoni-tryoni
D-punctata_JASPKZ010008366.1:349698-349755	P-cribrata,M-lithgowae,G-dilatatus
D-punctata_JASPKZ010008305.1:29264-29415	P-tryoni-tryoni-Eungella
D-punctata_JASPKZ010007355.1:810049-810214	M-lithgowae,P-tryoni-tegminifera,P-gigantea
D-punctata_JASPKZ010009791.1:955430-955508	P-tryoni-tegminifera
D-punctata_JASPKZ010008018.1:214607-214772	G-dilatatus
D-punctata_JASPKZ010003435.1:767465-767542	P-tryoni-tegminifera,P-gigantea
D-punctata_JASPKZ010010255.1:230439-230510	P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-gigantea,M-lithgowae
D-punctata_JASPKZ010005319.1:518828-518924	P-sloanei,M-lithgowae
D-punctata_JASPKZ010006054.1:965039-965136	G-dilatatus
D-punctata_JASPKZ010000021.1:1080963-1081015	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,P-gigantea,M-lithgowae,G-dilatatus,P-tryoni-tegminifera,P-cribrata,P-lata
