Chromosome	Start	End	Feature_Type	Details	Reads
1001	201250	201452	intergenic	.	1001:201250-201452
1003	82330	82757	exon,CDS,gene,mRNA		1003:82330-82757
1005	339237	339360	gene,mRNA		1005:339237-339360
1007	191461	191524	intergenic	.	1007:191461-191524
1008	29776	29835	intergenic	.	1008:29776-29835
1014	277531	277598	intergenic	.	1014:277531-277598
1015	222084	222749	gene,mRNA		1015:222084-222749
102	262906	262984	intergenic	.	102:262906-262984
102	289921	290104	intergenic	.	102:289921-290104
1029	214664	214694	gene,mRNA		1029:214664-214694
1035	6518	6580	intergenic	.	1035:6518-6580
1035	276031	276111	intergenic	.	1035:276031-276111
1036	153706	153949	intergenic	.	1036:153706-153949
1038	215525	215798	intergenic	.	1038:215525-215798
1039	85413	85506	intergenic	.	1039:85413-85506
1040	195706	195748	gene,mRNA		1040:195706-195748
105	203606	203710	gene,mRNA		105:203606-203710
1050	53908	53968	gene,mRNA		1050:53908-53968
1053	108743	108806	gene,mRNA		1053:108743-108806
1055	238987	239112	intergenic	.	1055:238987-239112
1056	71543	71746	exon,CDS,gene,mRNA		1056:71543-71746
1057	414825	414924	intergenic	.	1057:414825-414924
1057	415042	415205	intergenic	.	1057:415042-415205
1057	440544	440611	intergenic	.	1057:440544-440611
1058	630495	630685	intergenic	.	1058:630495-630685
1059	185348	185401	intergenic	.	1059:185348-185401
106	1977	2072	intergenic	.	106:1977-2072
1063	353295	353348	gene		1063:353295-353348
1065	3071	3217	gene,polyA_signal_sequence		1065:3071-3217
106832	447	860	intergenic	.	106832:447-860
1069	113541	113634	gene,mRNA		1069:113541-113634
1073	194501	194553	intergenic	.	1073:194501-194553
1078	146487	146614	gene,mRNA		1078:146487-146614
1080	77370	77553	intergenic	.	1080:77370-77553
1088	258271	258502	polyA_signal_sequence,gene		1088:258271-258502
1092	147263	147499	intergenic	.	1092:147263-147499
1094	164611	164794	intergenic	.	1094:164611-164794
1095	351086	351203	intergenic	.	1095:351086-351203
1097	162460	162530	gene,mRNA,exon,CDS,stop_codon		1097:162460-162530
1099	85177	85414	intergenic	.	1099:85177-85414
1108	58257	58310	intergenic	.	1108:58257-58310
1108	58367	58701	intergenic	.	1108:58367-58701
1108	77469	77674	intergenic	.	1108:77469-77674
1111	2125	2749	intergenic	.	1111:2125-2749
1114	131358	131520	gene,mRNA		1114:131358-131520
1115	194303	194537	intergenic	.	1115:194303-194537
1115	571518	571607	intergenic	.	1115:571518-571607
1116	75970	76026	intergenic	.	1116:75970-76026
1118	216961	217021	intergenic	.	1118:216961-217021
1118	610804	610903	gene,mRNA		1118:610804-610903
1118	1289113	1289261	gene,mRNA		1118:1289113-1289261
112	128685	128752	gene,mRNA		112:128685-128752
112	173947	174021	gene,mRNA		112:173947-174021
1124	6436	6752	intergenic	.	1124:6436-6752
1124	6858	6910	intergenic	.	1124:6858-6910
1124	28635	28729	gene,mRNA		1124:28635-28729
1138	23883	24048	intergenic	.	1138:23883-24048
114	156265	156363	intergenic	.	114:156265-156363
114	176819	176995	intergenic	.	114:176819-176995
1140	112031	112107	gene,mRNA		1140:112031-112107
1144	39395	39917	intergenic	.	1144:39395-39917
1145	26714	26773	gene,mRNA		1145:26714-26773
1150	101952	102092	intergenic	.	1150:101952-102092
1151	193733	194170	intergenic	.	1151:193733-194170
1156	275881	276220	intergenic	.	1156:275881-276220
1157	179525	179689	gene,polyA_signal_sequence		1157:179525-179689
1160	31276	31391	gene,mRNA		1160:31276-31391
1162	249430	249674	gene,polyA_signal_sequence		1162:249430-249674
1164	289662	289904	intergenic	.	1164:289662-289904
1165	157700	157771	gene,mRNA		1165:157700-157771
1168	175173	175599	intergenic	.	1168:175173-175599
1172	16853	16920	gene,mRNA		1172:16853-16920
1173	689542	689815	exon,CDS,stop_codon,polyA_signal_sequence,gene,mRNA		1173:689542-689815
1173	814099	814185	intergenic	.	1173:814099-814185
1181	118966	119011	intergenic	.	1181:118966-119011
1189	338131	338392	intergenic	.	1189:338131-338392
1191	396358	396541	intergenic	.	1191:396358-396541
1191	488740	489064	intergenic	.	1191:488740-489064
1191	637599	638046	intergenic	.	1191:637599-638046
1200	198130	198342	intergenic	.	1200:198130-198342
1203	11963	12291	gene,mRNA		1203:11963-12291
1207	66291	66510	intergenic	.	1207:66291-66510
1207	581209	581283	intergenic	.	1207:581209-581283
1207	583941	584101	gene		1207:583941-584101
1208	90109	90188	intergenic	.	1208:90109-90188
121	66182	66338	gene,mRNA		121:66182-66338
1226	297245	297395	intergenic	.	1226:297245-297395
1228	193765	194011	gene,mRNA		1228:193765-194011
1229	26094	26311	intergenic	.	1229:26094-26311
1238	47759	47914	gene		1238:47759-47914
1241	55244	55303	intergenic	.	1241:55244-55303
1241	87410	87447	gene,mRNA		1241:87410-87447
1243	701120	701184	gene,mRNA		1243:701120-701184
1245	219548	219663	intergenic	.	1245:219548-219663
125	275100	275185	intergenic	.	125:275100-275185
125	464695	465029	intergenic	.	125:464695-465029
1261	318377	318469	intergenic	.	1261:318377-318469
1261	762549	762669	intergenic	.	1261:762549-762669
1270	537328	537397	gene,mRNA		1270:537328-537397
1273	199450	199631	intergenic	.	1273:199450-199631
1275	137851	137977	gene,mRNA		1275:137851-137977
1275	138306	138432	gene,mRNA		1275:138306-138432
1275	138699	138906	gene,mRNA		1275:138699-138906
1276	43616	43895	intergenic	.	1276:43616-43895
1276	121581	121800	intergenic	.	1276:121581-121800
1276	181104	181286	intergenic	.	1276:181104-181286
1281	527753	527810	intergenic	.	1281:527753-527810
1285	238915	239048	gene,mRNA		1285:238915-239048
1287	68443	68618	gene,mRNA		1287:68443-68618
129	197206	197290	gene,mRNA		129:197206-197290
129	294921	294990	intergenic	.	129:294921-294990
1301	581208	581356	intergenic	.	1301:581208-581356
1301	746982	747126	gene,mRNA		1301:746982-747126
1305	33520	34122	exon,CDS,start_codon,gene,mRNA		1305:33520-34122
1307	136849	136946	intergenic	.	1307:136849-136946
1307	139504	139651	intergenic	.	1307:139504-139651
131	172762	172930	gene,mRNA		131:172762-172930
1319	204535	204595	gene,mRNA		1319:204535-204595
132	58311	58543	intergenic	.	132:58311-58543
1320	39745	39842	intergenic	.	1320:39745-39842
1321	354361	354498	intergenic	.	1321:354361-354498
1322	9351	9421	intergenic	.	1322:9351-9421
