query_id	subject_id_prefixes
P-tryoni-tegminifera_contig_34:2350769-2350835	P-gigantea,N-hanni
P-tryoni-tegminifera_contig_41481:257031-257105	M-lithgowae,N-hanni,P-tryoni-tryoni,N-dahmsi,P-tryoni-tryoni-Eungella,G-dilatatus,P-lata,P-cribrata
P-tryoni-tegminifera_contig_9406:1282639-1282877	P-gigantea,P-tryoni-tryoni-Eungella,P-sloanei
P-tryoni-tegminifera_contig_12904:2637365-2637423	P-sloanei,P-tryoni-tryoni,P-gigantea,M-lithgowae,P-cribrata
P-tryoni-tegminifera_contig_2751:277291-277450	P-gigantea
P-tryoni-tegminifera_contig_503:1777564-1777666	P-gigantea,P-tryoni-tryoni,M-lithgowae,N-dahmsi,G-dilatatus
P-tryoni-tegminifera_contig_17712:442053-442304	P-gigantea,N-hanni,G-dilatatus,P-sloanei
P-tryoni-tegminifera_contig_8395:2459712-2459819	P-gigantea,P-sloanei,P-tryoni-tryoni,P-tryoni-tryoni-Eungella,M-lithgowae,G-dilatatus,N-hanni,P-lata,P-cribrata,N-dahmsi
P-tryoni-tegminifera_contig_35479:24478-24520	P-gigantea,N-hanni,N-dahmsi
P-tryoni-tegminifera_contig_1796:2859927-2860096	P-gigantea,P-sloanei,G-dilatatus,N-hanni,P-tryoni-tryoni-Eungella,N-dahmsi,P-tryoni-tryoni
P-tryoni-tegminifera_contig_2800:2200-2746	N-dahmsi,P-tryoni-tryoni-Eungella,P-sloanei,P-tryoni-tryoni,N-hanni
P-tryoni-tegminifera_contig_11856:76262-76399	N-hanni,P-sloanei,N-dahmsi
P-tryoni-tegminifera_contig_16469:115909-116157	P-gigantea
P-tryoni-tegminifera_contig_13698:299190-299338	M-lithgowae,P-gigantea,G-dilatatus
P-tryoni-tegminifera_contig_42527:461295-461424	M-lithgowae,P-tryoni-tryoni,P-gigantea
P-tryoni-tegminifera_contig_12086:3323777-3323817	P-tryoni-tryoni-Eungella,P-sloanei,N-hanni,N-dahmsi,P-tryoni-tryoni,G-dilatatus
P-tryoni-tegminifera_contig_5631:95319-95371	P-tryoni-tryoni,N-hanni,P-gigantea,P-lata,P-cribrata,G-dilatatus,P-tryoni-tryoni-Eungella
P-tryoni-tegminifera_contig_13358:96029-96202	N-dahmsi,P-tryoni-tryoni,M-lithgowae,N-hanni
P-tryoni-tegminifera_contig_6365:235119-235478	P-tryoni-tryoni,P-tryoni-tryoni-Eungella,N-dahmsi,P-gigantea
P-tryoni-tegminifera_contig_12040:485269-485336	G-dilatatus,P-gigantea,P-tryoni-tryoni,P-cribrata,P-lata
P-tryoni-tegminifera_contig_4391:1367050-1367205	P-gigantea
P-tryoni-tegminifera_contig_1796:1917107-1917279	M-lithgowae
P-tryoni-tegminifera_contig_28531:409763-409852	P-gigantea,G-dilatatus,P-tryoni-tryoni-Eungella,P-tryoni-tryoni
P-tryoni-tegminifera_contig_8395:563950-564218	P-gigantea,G-dilatatus,M-lithgowae
P-tryoni-tegminifera_contig_575:3191253-3191345	P-gigantea,N-dahmsi,P-tryoni-tryoni,P-tryoni-tryoni-Eungella
P-tryoni-tegminifera_contig_5655:125313-125551	P-gigantea,P-tryoni-tryoni-Eungella
P-tryoni-tegminifera_contig_458:2927796-2927945	P-tryoni-tryoni-Eungella,M-lithgowae
P-tryoni-tegminifera_contig_16808:659946-660083	P-tryoni-tryoni,M-lithgowae,P-tryoni-tryoni-Eungella,N-dahmsi
P-tryoni-tegminifera_contig_9797:647870-647997	M-lithgowae
P-tryoni-tegminifera_contig_7720:8273-8332	P-tryoni-tryoni
P-tryoni-tegminifera_contig_27832:508295-508366	P-gigantea,P-sloanei,P-tryoni-tryoni,G-dilatatus
P-tryoni-tegminifera_contig_28639:547859-547937	P-gigantea,G-dilatatus
P-tryoni-tegminifera_contig_3612:319512-319666	P-gigantea,M-lithgowae,P-tryoni-tryoni,N-dahmsi
P-tryoni-tegminifera_contig_34401:269267-269326	P-gigantea,P-tryoni-tryoni,G-dilatatus,N-dahmsi
P-tryoni-tegminifera_contig_9406:1280751-1280926	P-tryoni-tryoni,P-gigantea,P-tryoni-tryoni-Eungella
P-tryoni-tegminifera_contig_19033:692219-692293	P-gigantea,P-sloanei,P-tryoni-tryoni
P-tryoni-tegminifera_contig_8964:24305-24482	P-tryoni-tryoni
P-tryoni-tegminifera_contig_35166:66244-66411	P-gigantea,P-tryoni-tryoni,M-lithgowae,N-hanni,P-sloanei,P-tryoni-tryoni-Eungella,N-dahmsi
P-tryoni-tegminifera_contig_3003:3951212-3951255	P-gigantea
P-tryoni-tegminifera_contig_50:2028503-2028766	P-gigantea,M-lithgowae
P-tryoni-tegminifera_contig_42154:85077-85143	P-gigantea,N-hanni
P-tryoni-tegminifera_contig_14282:1191226-1191260	P-tryoni-tryoni,P-sloanei,N-dahmsi,P-cribrata
P-tryoni-tegminifera_contig_9406:1282060-1282157	N-hanni,P-sloanei,P-tryoni-tryoni-Eungella,P-gigantea,P-tryoni-tryoni,G-dilatatus,N-dahmsi
P-tryoni-tegminifera_contig_16213:884009-884156	P-tryoni-tryoni,P-gigantea,M-lithgowae
P-tryoni-tegminifera_contig_29158:167933-167972	P-tryoni-tryoni,N-dahmsi,G-dilatatus,M-lithgowae
P-tryoni-tegminifera_contig_6175:2042719-2042793	P-gigantea,P-sloanei,P-tryoni-tryoni-Eungella,N-dahmsi,P-lata,P-tryoni-tryoni,G-dilatatus,M-lithgowae
P-tryoni-tegminifera_contig_34754:103859-104037	P-sloanei,M-lithgowae,P-tryoni-tryoni-Eungella,N-dahmsi,P-tryoni-tryoni
P-tryoni-tegminifera_contig_5947:1229179-1229280	P-tryoni-tryoni,N-hanni
P-tryoni-tegminifera_contig_5022:365443-365543	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-sloanei,P-cribrata,N-dahmsi,M-lithgowae,P-lata,N-hanni,G-dilatatus
