Chromosome	Start	End	Feature_Type	Details	Reads
contig_1171	85311	85404	gene,mRNA,exon,CDS	.	contig_1171:85311-85404,contig_1171:85311-85404,contig_1171:85311-85404,contig_1171:85311-85404
contig_1171	85571	85635	gene,mRNA,exon,CDS	.	contig_1171:85571-85635,contig_1171:85571-85635,contig_1171:85571-85635,contig_1171:85571-85635
contig_1171	85952	86012	gene,mRNA	.	contig_1171:85952-86012,contig_1171:85952-86012
contig_1171	91660	91721	gene,mRNA,exon,CDS	.	contig_1171:91660-91721,contig_1171:91660-91721,contig_1171:91660-91721,contig_1171:91660-91721
contig_1275	33461	33512	intergenic	.	contig_1275:33461-33512
contig_1275	481587	481638	intergenic	.	contig_1275:481587-481638
contig_1304	40865	40917	gene,mRNA,exon,CDS	.	contig_1304:40865-40917,contig_1304:40865-40917,contig_1304:40865-40917,contig_1304:40865-40917
contig_1581	2309	2380	intergenic	.	contig_1581:2309-2380
contig_1581	45768	45825	gene,tRNA,exon	.	contig_1581:45768-45825,contig_1581:45768-45825,contig_1581:45768-45825
contig_2497	20308	20482	CDS,exon,gene,mRNA	.	contig_2497:20308-20482,contig_2497:20308-20482,contig_2497:20308-20482,contig_2497:20308-20482
contig_250	13785	13850	gene,mRNA,exon,CDS	.	contig_250:13785-13850,contig_250:13785-13850,contig_250:13785-13850,contig_250:13785-13850
contig_2574	11522	11581	gene,mRNA,CDS,exon	.	contig_2574:11522-11581,contig_2574:11522-11581,contig_2574:11522-11581,contig_2574:11522-11581
contig_3427	15929	15980	gene,mRNA,exon,CDS	.	contig_3427:15929-15980,contig_3427:15929-15980,contig_3427:15929-15980,contig_3427:15929-15980
contig_554	25802	25853	gene,mRNA,exon,CDS	.	contig_554:25802-25853,contig_554:25802-25853,contig_554:25802-25853,contig_554:25802-25853
