Chromosome	Start	End	Feature_Type	Details	Reads
JAJSOF020000001.1	11375447	11375606	intergenic	.	JAJSOF020000001.1:11375447-11375606
JAJSOF020000001.1	27607134	27607188	intergenic	.	JAJSOF020000001.1:27607134-27607188
JAJSOF020000001.1	28499548	28499714	intergenic	.	JAJSOF020000001.1:28499548-28499714
JAJSOF020000001.1	31203495	31203560	intergenic	.	JAJSOF020000001.1:31203495-31203560
JAJSOF020000001.1	31203790	31203874	intergenic	.	JAJSOF020000001.1:31203790-31203874
JAJSOF020000001.1	31204238	31204372	intergenic	.	JAJSOF020000001.1:31204238-31204372
JAJSOF020000001.1	43496540	43496967	intergenic	.	JAJSOF020000001.1:43496540-43496967
JAJSOF020000001.1	56926263	56926353	intergenic	.	JAJSOF020000001.1:56926263-56926353
JAJSOF020000001.1	58793987	58794062	intergenic	.	JAJSOF020000001.1:58793987-58794062
JAJSOF020000001.1	77596490	77596560	intergenic	.	JAJSOF020000001.1:77596490-77596560
JAJSOF020000001.1	88081518	88081586	intergenic	.	JAJSOF020000001.1:88081518-88081586
JAJSOF020000001.1	88473849	88473931	intergenic	.	JAJSOF020000001.1:88473849-88473931
JAJSOF020000001.1	92468997	92469048	gene,mRNA	.	JAJSOF020000001.1:92468997-92469048,JAJSOF020000001.1:92468997-92469048
JAJSOF020000001.1	93649614	93649675	gene,mRNA	.	JAJSOF020000001.1:93649614-93649675,JAJSOF020000001.1:93649614-93649675
JAJSOF020000001.1	105106354	105106438	intergenic	.	JAJSOF020000001.1:105106354-105106438
JAJSOF020000001.1	105870953	105871013	intergenic	.	JAJSOF020000001.1:105870953-105871013
JAJSOF020000001.1	109229783	109229875	intergenic	.	JAJSOF020000001.1:109229783-109229875
JAJSOF020000001.1	111881453	111881564	intergenic	.	JAJSOF020000001.1:111881453-111881564
JAJSOF020000001.1	114774891	114774959	intergenic	.	JAJSOF020000001.1:114774891-114774959
JAJSOF020000001.1	121377548	121377707	intergenic	.	JAJSOF020000001.1:121377548-121377707
JAJSOF020000001.1	122887344	122887421	intergenic	.	JAJSOF020000001.1:122887344-122887421
JAJSOF020000001.1	126855723	126855881	intergenic	.	JAJSOF020000001.1:126855723-126855881
JAJSOF020000001.1	126917867	126917953	intergenic	.	JAJSOF020000001.1:126917867-126917953
JAJSOF020000001.1	130192097	130192161	gene,mRNA	.	JAJSOF020000001.1:130192097-130192161,JAJSOF020000001.1:130192097-130192161
JAJSOF020000001.1	142175516	142175661	intergenic	.	JAJSOF020000001.1:142175516-142175661
JAJSOF020000001.1	150599518	150599607	intergenic	.	JAJSOF020000001.1:150599518-150599607
JAJSOF020000001.1	163290134	163290359	intergenic	.	JAJSOF020000001.1:163290134-163290359
JAJSOF020000001.1	165457108	165457236	intergenic	.	JAJSOF020000001.1:165457108-165457236
JAJSOF020000001.1	170215662	170215742	intergenic	.	JAJSOF020000001.1:170215662-170215742
JAJSOF020000001.1	178901321	178901495	intergenic	.	JAJSOF020000001.1:178901321-178901495
JAJSOF020000001.1	187683802	187683879	intergenic	.	JAJSOF020000001.1:187683802-187683879
JAJSOF020000001.1	203295576	203295630	intergenic	.	JAJSOF020000001.1:203295576-203295630
JAJSOF020000003.1	6796734	6796823	intergenic	.	JAJSOF020000003.1:6796734-6796823
JAJSOF020000003.1	19353038	19353099	intergenic	.	JAJSOF020000003.1:19353038-19353099
JAJSOF020000003.1	31588262	31588454	intergenic	.	JAJSOF020000003.1:31588262-31588454
JAJSOF020000003.1	31662147	31662201	intergenic	.	JAJSOF020000003.1:31662147-31662201
JAJSOF020000003.1	39928063	39928223	intergenic	.	JAJSOF020000003.1:39928063-39928223
JAJSOF020000003.1	47303965	47304016	intergenic	.	JAJSOF020000003.1:47303965-47304016
JAJSOF020000003.1	56783783	56783876	gene,mRNA	.	JAJSOF020000003.1:56783783-56783876,JAJSOF020000003.1:56783783-56783876
JAJSOF020000003.1	70448478	70448684	gene,mRNA	.	JAJSOF020000003.1:70448478-70448684,JAJSOF020000003.1:70448478-70448684
JAJSOF020000003.1	77446443	77446511	intergenic	.	JAJSOF020000003.1:77446443-77446511
JAJSOF020000003.1	102913625	102913685	intergenic	.	JAJSOF020000003.1:102913625-102913685
JAJSOF020000003.1	103977672	103977740	intergenic	.	JAJSOF020000003.1:103977672-103977740
JAJSOF020000003.1	109577162	109577220	intergenic	.	JAJSOF020000003.1:109577162-109577220
JAJSOF020000003.1	116987274	116987336	intergenic	.	JAJSOF020000003.1:116987274-116987336
JAJSOF020000003.1	141163461	141163556	gene,mRNA	.	JAJSOF020000003.1:141163461-141163556,JAJSOF020000003.1:141163461-141163556
JAJSOF020000003.1	151236707	151236770	gene,mRNA	.	JAJSOF020000003.1:151236707-151236770,JAJSOF020000003.1:151236707-151236770
JAJSOF020000003.1	167121721	167121784	intergenic	.	JAJSOF020000003.1:167121721-167121784
JAJSOF020000003.1	169562468	169562584	intergenic	.	JAJSOF020000003.1:169562468-169562584
JAJSOF020000003.1	180511212	180511340	intergenic	.	JAJSOF020000003.1:180511212-180511340
JAJSOF020000003.1	203994983	203995081	intergenic	.	JAJSOF020000003.1:203994983-203995081
JAJSOF020000003.1	206114406	206114487	intergenic	.	JAJSOF020000003.1:206114406-206114487
JAJSOF020000005.1	5888919	5889020	intergenic	.	JAJSOF020000005.1:5888919-5889020
JAJSOF020000005.1	15022170	15022244	gene,mRNA	.	JAJSOF020000005.1:15022170-15022244,JAJSOF020000005.1:15022170-15022244
JAJSOF020000005.1	26850305	26850429	intergenic	.	JAJSOF020000005.1:26850305-26850429
JAJSOF020000005.1	30519859	30519920	intergenic	.	JAJSOF020000005.1:30519859-30519920
JAJSOF020000005.1	47559677	47559745	intergenic	.	JAJSOF020000005.1:47559677-47559745
JAJSOF020000005.1	61784745	61784812	intergenic	.	JAJSOF020000005.1:61784745-61784812
JAJSOF020000005.1	76871390	76871461	gene,mRNA	.	JAJSOF020000005.1:76871390-76871461,JAJSOF020000005.1:76871390-76871461
JAJSOF020000005.1	94026467	94026593	CDS,exon,gene,mRNA,mRNA,gene	.	JAJSOF020000005.1:94026467-94026593,JAJSOF020000005.1:94026467-94026593,JAJSOF020000005.1:94026467-94026593,JAJSOF020000005.1:94026467-94026593,JAJSOF020000005.1:94026467-94026593,JAJSOF020000005.1:94026467-94026593
JAJSOF020000005.1	102414098	102414152	intergenic	.	JAJSOF020000005.1:102414098-102414152
JAJSOF020000005.1	112142226	112144000	intergenic	.	JAJSOF020000005.1:112142226-112144000
JAJSOF020000005.1	112700480	112701296	intergenic	.	JAJSOF020000005.1:112700480-112701296
JAJSOF020000005.1	114864984	114865050	intergenic	.	JAJSOF020000005.1:114864984-114865050
JAJSOF020000005.1	116599116	116599280	gene,mRNA	.	JAJSOF020000005.1:116599116-116599280,JAJSOF020000005.1:116599116-116599280
JAJSOF020000005.1	118243057	118243139	intergenic	.	JAJSOF020000005.1:118243057-118243139
JAJSOF020000005.1	118694789	118694878	intergenic	.	JAJSOF020000005.1:118694789-118694878
JAJSOF020000005.1	127861590	127861640	intergenic	.	JAJSOF020000005.1:127861590-127861640
JAJSOF020000005.1	131564304	131564429	intergenic	.	JAJSOF020000005.1:131564304-131564429
JAJSOF020000005.1	146002012	146002125	intergenic	.	JAJSOF020000005.1:146002012-146002125
JAJSOF020000005.1	150938673	150938737	intergenic	.	JAJSOF020000005.1:150938673-150938737
