query_id	subject_id_prefixes
P-tryoni-tryoni-Eungella_contig_7156:461363-461496	P-lata,P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-cribrata,G-dilatatus,N-dahmsi
P-tryoni-tryoni-Eungella_contig_6818:220918-221026	P-tryoni-tryoni,P-sloanei,P-lata,N-hanni,N-dahmsi,M-lithgowae,P-gigantea
P-tryoni-tryoni-Eungella_contig_6660:911456-911546	M-lithgowae
P-tryoni-tryoni-Eungella_contig_9489:2047222-2047271	P-lata,P-cribrata,N-hanni,P-tryoni-tryoni,P-tryoni-tegminifera
P-tryoni-tryoni-Eungella_contig_17562:585011-585060	P-tryoni-tryoni,M-lithgowae,G-dilatatus,P-tryoni-tegminifera,P-sloanei,P-lata,N-hanni,B-germanica
P-tryoni-tryoni-Eungella_contig_19379:3905-3964	P-sloanei,N-hanni,G-dilatatus,P-lata,P-cribrata
P-tryoni-tryoni-Eungella_contig_23074:167846-167961	N-hanni,P-tryoni-tryoni
P-tryoni-tryoni-Eungella_contig_31828:129556-129628	P-tryoni-tegminifera,N-dahmsi
P-tryoni-tryoni-Eungella_contig_3485:3022071-3022262	P-tryoni-tryoni,P-gigantea,M-lithgowae
P-tryoni-tryoni-Eungella_contig_7022:98127-98162	P-gigantea,N-dahmsi
P-tryoni-tryoni-Eungella_contig_15902:434967-435051	N-dahmsi
P-tryoni-tryoni-Eungella_contig_19010:826062-826140	P-lata,P-cribrata
P-tryoni-tryoni-Eungella_contig_16804:73510-73551	P-tryoni-tryoni,P-sloanei,N-hanni,N-dahmsi,M-lithgowae,G-dilatatus
P-tryoni-tryoni-Eungella_contig_6660:2522658-2522721	N-hanni
P-tryoni-tryoni-Eungella_contig_6818:222143-222243	P-gigantea,P-tryoni-tegminifera,P-sloanei,P-lata,P-cribrata,N-hanni,P-tryoni-tryoni,M-lithgowae,G-dilatatus
P-tryoni-tryoni-Eungella_contig_6307:882673-882756	M-lithgowae,P-sloanei,N-dahmsi,P-gigantea,P-tryoni-tegminifera
P-tryoni-tryoni-Eungella_contig_45737:2548661-2548770	P-gigantea,G-dilatatus,P-tryoni-tegminifera,M-lithgowae,N-hanni,P-sloanei,N-dahmsi
P-tryoni-tryoni-Eungella_contig_22952:300942-301006	P-tryoni-tryoni,P-sloanei,G-dilatatus,M-lithgowae,P-cribrata,P-tryoni-tegminifera,P-lata,N-hanni
P-tryoni-tryoni-Eungella_contig_29748:45096-45199	P-gigantea,N-hanni,P-tryoni-tryoni,M-lithgowae
P-tryoni-tryoni-Eungella_contig_45956:111718-111826	M-lithgowae,G-dilatatus
P-tryoni-tryoni-Eungella_contig_7831:1042219-1042373	P-gigantea
P-tryoni-tryoni-Eungella_contig_45140:296838-297050	P-tryoni-tegminifera,M-lithgowae,P-gigantea
P-tryoni-tryoni-Eungella_contig_5272:776885-777346	P-gigantea,P-tryoni-tegminifera,G-dilatatus,M-lithgowae,N-dahmsi
P-tryoni-tryoni-Eungella_contig_24100:138946-139070	G-dilatatus,P-sloanei
P-tryoni-tryoni-Eungella_contig_8571:535533-535568	M-lithgowae,G-dilatatus,P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,P-lata,N-hanni,N-dahmsi,P-cribrata
P-tryoni-tryoni-Eungella_contig_6078:189731-189850	G-dilatatus
P-tryoni-tryoni-Eungella_contig_20466:346261-346346	P-gigantea,P-sloanei,M-lithgowae
P-tryoni-tryoni-Eungella_contig_12703:488894-488977	G-dilatatus,M-lithgowae,P-tryoni-tegminifera,P-tryoni-tryoni,N-hanni,P-gigantea,P-sloanei,N-dahmsi
P-tryoni-tryoni-Eungella_contig_8870:185289-185369	P-gigantea,P-tryoni-tegminifera,G-dilatatus,P-tryoni-tryoni,P-sloanei,N-hanni,P-cribrata
P-tryoni-tryoni-Eungella_contig_7156:459993-460093	P-gigantea,P-sloanei,P-lata,P-cribrata,M-lithgowae
P-tryoni-tryoni-Eungella_contig_12631:98564-98674	P-tryoni-tegminifera,G-dilatatus,P-gigantea,P-tryoni-tryoni,P-sloanei,N-dahmsi,M-lithgowae,N-hanni
P-tryoni-tryoni-Eungella_contig_1939:3872540-3872625	M-lithgowae
P-tryoni-tryoni-Eungella_contig_3149:1502640-1502671	P-sloanei,N-dahmsi,G-dilatatus,M-lithgowae
P-tryoni-tryoni-Eungella_contig_3269:289065-289282	M-lithgowae
P-tryoni-tryoni-Eungella_contig_1389:531796-531992	M-lithgowae,P-tryoni-tryoni
P-tryoni-tryoni-Eungella_contig_4379:34492-34694	P-tryoni-tegminifera
P-tryoni-tryoni-Eungella_contig_15075:425241-425350	P-tryoni-tryoni,P-gigantea,N-dahmsi,P-tryoni-tegminifera,G-dilatatus
P-tryoni-tryoni-Eungella_contig_467:453606-453662	P-tryoni-tryoni,M-lithgowae,N-dahmsi,P-sloanei,P-gigantea
P-tryoni-tryoni-Eungella_contig_29972:130956-130998	P-gigantea,P-tryoni-tegminifera,G-dilatatus
P-tryoni-tryoni-Eungella_contig_22476:64404-64469	M-lithgowae,P-gigantea
P-tryoni-tryoni-Eungella_contig_24100:329631-329694	P-tryoni-tryoni
P-tryoni-tryoni-Eungella_contig_285:1060584-1060833	P-tryoni-tegminifera,N-dahmsi,P-gigantea,M-lithgowae,P-tryoni-tryoni
P-tryoni-tryoni-Eungella_contig_16106:209253-209591	N-dahmsi
P-tryoni-tryoni-Eungella_contig_42912:98633-98676	N-hanni,N-dahmsi
P-tryoni-tryoni-Eungella_contig_38818:160538-160640	G-dilatatus
P-tryoni-tryoni-Eungella_contig_24067:6030-6221	N-dahmsi
P-tryoni-tryoni-Eungella_contig_45793:1626735-1626876	P-gigantea,M-lithgowae
P-tryoni-tryoni-Eungella_contig_12878:308654-308751	P-gigantea,P-tryoni-tegminifera,N-dahmsi,P-tryoni-tryoni
P-tryoni-tryoni-Eungella_contig_40343:139528-139808	N-dahmsi
P-tryoni-tryoni-Eungella_contig_30885:219443-219601	P-cribrata,P-lata
P-tryoni-tryoni-Eungella_contig_25616:69511-69552	P-tryoni-tegminifera,P-tryoni-tryoni,M-lithgowae,N-dahmsi,P-gigantea
P-tryoni-tryoni-Eungella_contig_18231:221995-222063	N-dahmsi,P-gigantea,G-dilatatus
P-tryoni-tryoni-Eungella_contig_29276:2717-2764	N-hanni,P-sloanei
P-tryoni-tryoni-Eungella_contig_32527:177811-177907	N-dahmsi,P-tryoni-tryoni,P-gigantea,P-tryoni-tegminifera
P-tryoni-tryoni-Eungella_contig_1678:36716-36806	P-gigantea,P-tryoni-tegminifera,N-hanni,P-tryoni-tryoni,P-sloanei
P-tryoni-tryoni-Eungella_contig_469:1653651-1653705	P-tryoni-tryoni,P-sloanei,P-cribrata,G-dilatatus,P-gigantea,P-tryoni-tegminifera,P-lata,M-lithgowae,N-hanni,N-dahmsi
