Chromosome	Start	End	Feature_Type	Details	Reads
contig_10000	263869	263909	intergenic	.	contig_10000:263869-263909
contig_10002	140661	140777	intergenic	.	contig_10002:140661-140777
contig_10002	681513	681577	intergenic	.	contig_10002:681513-681577
contig_10009	284202	284358	intergenic	.	contig_10009:284202-284358
contig_10010	8835	8950	intergenic	.	contig_10010:8835-8950
contig_10010	115163	115390	intergenic	.	contig_10010:115163-115390
contig_10017	45079	45160	gene,mRNA	.	contig_10017:45079-45160,contig_10017:45079-45160
contig_10024	215567	215695	intergenic	.	contig_10024:215567-215695
contig_10024	216003	216079	intergenic	.	contig_10024:216003-216079
contig_10024	587726	587842	gene,mRNA,stop_codon,exon,CDS	.	contig_10024:587726-587842,contig_10024:587726-587842,contig_10024:587726-587842,contig_10024:587726-587842,contig_10024:587726-587842
contig_10024	660896	661072	intergenic	.	contig_10024:660896-661072
contig_10024	894280	894351	intergenic	.	contig_10024:894280-894351
contig_10024	942618	942823	intergenic	.	contig_10024:942618-942823
contig_10024	1162380	1162568	intergenic	.	contig_10024:1162380-1162568
contig_10027	53851	54209	intergenic	.	contig_10027:53851-54209
contig_10027	160659	160876	gene,mRNA	.	contig_10027:160659-160876,contig_10027:160659-160876
contig_10029	61255	61424	intergenic	.	contig_10029:61255-61424
contig_10029	144582	144902	gene,mRNA	.	contig_10029:144582-144902,contig_10029:144582-144902
contig_10029	176762	176992	gene,mRNA	.	contig_10029:176762-176992,contig_10029:176762-176992
contig_10029	204180	204296	gene,mRNA	.	contig_10029:204180-204296,contig_10029:204180-204296
contig_10029	204717	204816	gene,mRNA	.	contig_10029:204717-204816,contig_10029:204717-204816
contig_10029	351468	351556	intergenic	.	contig_10029:351468-351556
contig_10029	355294	355558	intergenic	.	contig_10029:355294-355558
contig_10029	612457	612496	intergenic	.	contig_10029:612457-612496
contig_10029	612907	613006	intergenic	.	contig_10029:612907-613006
contig_10029	613062	613186	intergenic	.	contig_10029:613062-613186
contig_10029	640172	640335	intergenic	.	contig_10029:640172-640335
contig_10029	992320	992545	gene,mRNA	.	contig_10029:992320-992545,contig_10029:992320-992545
contig_10029	1185958	1186131	gene,mRNA	.	contig_10029:1185958-1186131,contig_10029:1185958-1186131
contig_10029	1205431	1205581	intergenic	.	contig_10029:1205431-1205581
contig_10029	1601302	1601410	gene,mRNA	.	contig_10029:1601302-1601410,contig_10029:1601302-1601410
contig_10029	1700302	1700375	intergenic	.	contig_10029:1700302-1700375
contig_10029	1700675	1700844	intergenic	.	contig_10029:1700675-1700844
contig_10029	1734512	1734605	gene,mRNA	.	contig_10029:1734512-1734605,contig_10029:1734512-1734605
contig_1004	560648	560748	intergenic	.	contig_1004:560648-560748
contig_1004	576869	577330	intergenic	.	contig_1004:576869-577330
contig_1004	576869	577999	gene,polyA_signal_sequence,mRNA,stop_codon,exon,CDS	.	contig_1004:576869-577999,contig_1004:576869-577999,contig_1004:576869-577999,contig_1004:576869-577999,contig_1004:576869-577999,contig_1004:576869-577999
contig_1004	777561	777889	intergenic	.	contig_1004:777561-777889
contig_1004	1148490	1148655	intergenic	.	contig_1004:1148490-1148655
contig_1004	1273464	1273517	intergenic	.	contig_1004:1273464-1273517
contig_1004	1332517	1332693	intergenic	.	contig_1004:1332517-1332693
contig_10044	41735	41909	intergenic	.	contig_10044:41735-41909
contig_10044	362268	362461	intergenic	.	contig_10044:362268-362461
contig_10044	555027	555182	intergenic	.	contig_10044:555027-555182
contig_10044	576706	577239	gene,mRNA	.	contig_10044:576706-577239,contig_10044:576706-577239
contig_10044	829688	829967	intergenic	.	contig_10044:829688-829967
contig_10044	928709	929014	intergenic	.	contig_10044:928709-929014
contig_10044	992170	992486	intergenic	.	contig_10044:992170-992486
contig_10044	1064499	1064545	intergenic	.	contig_10044:1064499-1064545
contig_10047	30120	30288	gene,mRNA	.	contig_10047:30120-30288,contig_10047:30120-30288
contig_10048	332953	333030	intergenic	.	contig_10048:332953-333030
contig_10048	344769	345311	intergenic	.	contig_10048:344769-345311
contig_10048	360240	360295	intergenic	.	contig_10048:360240-360295
contig_10053	226693	226810	intergenic	.	contig_10053:226693-226810
contig_10053	273894	273976	intergenic	.	contig_10053:273894-273976
contig_10053	275792	276092	intergenic	.	contig_10053:275792-276092
contig_10053	373913	374244	gene,mRNA	.	contig_10053:373913-374244,contig_10053:373913-374244
contig_10053	461906	462019	intergenic	.	contig_10053:461906-462019
contig_10053	581125	581266	intergenic	.	contig_10053:581125-581266
contig_10053	747416	747749	gene,mRNA	.	contig_10053:747416-747749,contig_10053:747416-747749
contig_10053	920403	920694	intergenic	.	contig_10053:920403-920694
contig_10053	941872	941921	intergenic	.	contig_10053:941872-941921
contig_10053	1003121	1003364	intergenic	.	contig_10053:1003121-1003364
contig_10053	1349676	1349711	intergenic	.	contig_10053:1349676-1349711
contig_10053	1446962	1447025	intergenic	.	contig_10053:1446962-1447025
