Chromosome	Start	End	Feature_Type	Details	Reads
1000532_edges=5285375..6524091_left=5736491_right=5954165_ver=1.10_style=3	177	348	intergenic	.	1000532_edges=5285375..6524091_left=5736491_right=5954165_ver=1.10_style=3:177-348
1001548_edges=6301598..6608739_left=5621141_right=4437928_ver=1.10_style=3	4078	4126	intergenic	.	1001548_edges=6301598..6608739_left=5621141_right=4437928_ver=1.10_style=3:4078-4126
1001760_edges=28043..4489157_left=30531_right=5193768_ver=1.10_style=3	2471	2506	intergenic	.	1001760_edges=28043..4489157_left=30531_right=5193768_ver=1.10_style=3:2471-2506
1001993_edges=418401..1937496_left=6391529_right=2048774_ver=1.10_style=3	3002	3115	intergenic	.	1001993_edges=418401..1937496_left=6391529_right=2048774_ver=1.10_style=3:3002-3115
1002355_edges=1063312..4854765_left=1121605_right=6482639_ver=1.10_style=3	3501	3559	intergenic	.	1002355_edges=1063312..4854765_left=1121605_right=6482639_ver=1.10_style=3:3501-3559
1003079_edges=2512653..5530039_left=2934325_right=6449273_ver=1.10_style=3	1075	1229	gene,mRNA	.	1003079_edges=2512653..5530039_left=2934325_right=6449273_ver=1.10_style=3:1075-1229,1003079_edges=2512653..5530039_left=2934325_right=6449273_ver=1.10_style=3:1075-1229
1003934_edges=4891940..7048035_left=5448330_right=1455821_ver=1.10_style=3	3399	3555	intergenic	.	1003934_edges=4891940..7048035_left=5448330_right=1455821_ver=1.10_style=3:3399-3555
1004345_edges=6119429..7095064_left=903689_right=5805522_ver=1.10_style=3	4083	4357	intergenic	.	1004345_edges=6119429..7095064_left=903689_right=5805522_ver=1.10_style=3:4083-4357
1004538_edges=1188817..5811506_left=1251509_right=5339406_ver=1.10_style=3	4144	4425	intergenic	.	1004538_edges=1188817..5811506_left=1251509_right=5339406_ver=1.10_style=3:4144-4425
1004932_edges=5477221..5649099_left=5877805_right=6025677_ver=1.10_style=3	3	62	intergenic	.	1004932_edges=5477221..5649099_left=5877805_right=6025677_ver=1.10_style=3:3-62
1005067_edges=40407..1539844_left=6328545_right=1615287_ver=1.10_style=3	161	230	intergenic	.	1005067_edges=40407..1539844_left=6328545_right=1615287_ver=1.10_style=3:161-230
1005517_edges=286077..6711830_left=6370217_right=6590886_ver=1.10_style=3	482	584	intergenic	.	1005517_edges=286077..6711830_left=6370217_right=6590886_ver=1.10_style=3:482-584
1006047_edges=561362..1066173_left=6413309_right=6413318_ver=1.10_style=3	1951	2091	intergenic	.	1006047_edges=561362..1066173_left=6413309_right=6413318_ver=1.10_style=3:1951-2091
1006047_edges=561362..1066173_left=6413309_right=6413318_ver=1.10_style=3	2501	2560	intergenic	.	1006047_edges=561362..1066173_left=6413309_right=6413318_ver=1.10_style=3:2501-2560
1006212_edges=661481..5321735_left=704399_right=5754338_ver=1.10_style=3	3733	3914	intergenic	.	1006212_edges=661481..5321735_left=704399_right=5754338_ver=1.10_style=3:3733-3914
1006373_edges=748735..6162695_left=795678_right=795685_ver=1.10_style=3	3864	3985	intergenic	.	1006373_edges=748735..6162695_left=795678_right=795685_ver=1.10_style=3:3864-3985
1007517_edges=1417480..1417500_left=1488233_right=1488257_ver=1.10_style=3	94	292	intergenic	.	1007517_edges=1417480..1417500_left=1488233_right=1488257_ver=1.10_style=3:94-292
1007584_edges=1460824..2182280_left=6528281_right=2433991_ver=1.10_style=3	2925	2985	intergenic	.	1007584_edges=1460824..2182280_left=6528281_right=2433991_ver=1.10_style=3:2925-2985
1008866_edges=2507258..3619221_left=2926859_right=4223669_ver=1.10_style=3	227	465	intergenic	.	1008866_edges=2507258..3619221_left=2926859_right=4223669_ver=1.10_style=3:227-465
1009155_edges=2803326..5568956_left=3314832_right=5948141_ver=1.10_style=3	1019	1124	gene,mRNA,stop_codon,exon,CDS	.	1009155_edges=2803326..5568956_left=3314832_right=5948141_ver=1.10_style=3:1019-1124,1009155_edges=2803326..5568956_left=3314832_right=5948141_ver=1.10_style=3:1019-1124,1009155_edges=2803326..5568956_left=3314832_right=5948141_ver=1.10_style=3:1019-1124,1009155_edges=2803326..5568956_left=3314832_right=5948141_ver=1.10_style=3:1019-1124,1009155_edges=2803326..5568956_left=3314832_right=5948141_ver=1.10_style=3:1019-1124
1009646_edges=3439350..6095029_left=4030120_right=5812677_ver=1.10_style=3	87	148	intergenic	.	1009646_edges=3439350..6095029_left=4030120_right=5812677_ver=1.10_style=3:87-148
1012155_edges=5857956..6129064_left=5040978_right=5727716_ver=1.10_style=3	2433	2550	intergenic	.	1012155_edges=5857956..6129064_left=5040978_right=5727716_ver=1.10_style=3:2433-2550
