Chromosome	Start	End	Feature_Type	Details	Reads
contig_10167	152463	152516	intergenic	.	contig_10167:152463-152516
contig_10167	152593	152742	intergenic	.	contig_10167:152593-152742
contig_10167	936203	936267	gene,mRNA		contig_10167:936203-936267
contig_10171	40614	40883	intergenic	.	contig_10171:40614-40883
contig_10231	23782	23825	intergenic	.	contig_10231:23782-23825
contig_10236	126472	126816	intergenic	.	contig_10236:126472-126816
contig_10239	969	1017	intergenic	.	contig_10239:969-1017
contig_10289	187310	187510	gene,mRNA		contig_10289:187310-187510
contig_10299	210591	210764	intergenic	.	contig_10299:210591-210764
contig_10299	338325	338611	intergenic	.	contig_10299:338325-338611
contig_10299	899328	899526	intergenic	.	contig_10299:899328-899526
contig_10299	1075178	1075208	intergenic	.	contig_10299:1075178-1075208
contig_10355	58205	58346	intergenic	.	contig_10355:58205-58346
contig_10355	61484	61540	intergenic	.	contig_10355:61484-61540
contig_10355	118895	119190	intergenic	.	contig_10355:118895-119190
contig_10355	249021	249123	intergenic	.	contig_10355:249021-249123
contig_10355	554111	554187	intergenic	.	contig_10355:554111-554187
contig_10355	631369	631753	intergenic	.	contig_10355:631369-631753
contig_10360	493258	493400	intergenic	.	contig_10360:493258-493400
contig_10360	550772	550839	intergenic	.	contig_10360:550772-550839
contig_10360	1626675	1626771	intergenic	.	contig_10360:1626675-1626771
contig_10360	2083142	2083414	intergenic	.	contig_10360:2083142-2083414
contig_10360	2114058	2114193	intergenic	.	contig_10360:2114058-2114193
contig_10360	2114439	2114575	intergenic	.	contig_10360:2114439-2114575
contig_10360	2213033	2213228	intergenic	.	contig_10360:2213033-2213228
contig_10360	2395470	2395515	intergenic	.	contig_10360:2395470-2395515
contig_10360	2395923	2395987	intergenic	.	contig_10360:2395923-2395987
contig_10360	2553747	2553918	intergenic	.	contig_10360:2553747-2553918
contig_10360	2586321	2586403	gene,mRNA		contig_10360:2586321-2586403
contig_10360	3321158	3321335	intergenic	.	contig_10360:3321158-3321335
contig_10360	3593300	3593356	intergenic	.	contig_10360:3593300-3593356
contig_10360	3764307	3764544	intergenic	.	contig_10360:3764307-3764544
contig_10360	3834396	3834470	intergenic	.	contig_10360:3834396-3834470
contig_10360	4878560	4878910	intergenic	.	contig_10360:4878560-4878910
contig_10367	196645	196943	intergenic	.	contig_10367:196645-196943
contig_10412	112334	112481	intergenic	.	contig_10412:112334-112481
contig_10425	79481	79661	intergenic	.	contig_10425:79481-79661
contig_10425	103851	104105	intergenic	.	contig_10425:103851-104105
