query_id	subject_id_prefixes
P-tryoni-tryoni_contig_3236:1336216-1336316	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-sloanei,P-cribrata,N-hanni,G-dilatatus
P-tryoni-tryoni_contig_8145:3910-4110	P-cribrata
P-tryoni-tryoni_contig_19992:156381-156576	M-lithgowae,P-gigantea,N-dahmsi,G-dilatatus
P-tryoni-tryoni_contig_19189:371580-371648	P-tryoni-tryoni-Eungella
P-tryoni-tryoni_contig_983:24584-24683	P-gigantea,P-sloanei,G-dilatatus,P-tryoni-tegminifera,N-hanni,N-dahmsi
P-tryoni-tryoni_contig_20301:718331-718388	P-tryoni-tegminifera,N-hanni,M-lithgowae,P-gigantea,P-tryoni-tryoni-Eungella,P-sloanei
P-tryoni-tryoni_contig_12395:1003612-1003675	P-tryoni-tryoni-Eungella
P-tryoni-tryoni_contig_15407:164364-164403	P-gigantea,P-tryoni-tegminifera,P-sloanei,N-hanni
P-tryoni-tryoni_contig_8225:826233-826422	M-lithgowae,P-tryoni-tryoni-Eungella,P-sloanei
P-tryoni-tryoni_contig_19991:340125-340192	M-lithgowae,N-hanni,P-tryoni-tryoni-Eungella
P-tryoni-tryoni_contig_19101:223205-223272	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,G-dilatatus,M-lithgowae
P-tryoni-tryoni_contig_4813:719411-719486	G-dilatatus,M-lithgowae,P-sloanei
P-tryoni-tryoni_contig_7007:752762-752866	P-tryoni-tegminifera,P-gigantea,N-dahmsi,N-hanni,M-lithgowae
P-tryoni-tryoni_contig_11794:52004-52036	P-tryoni-tegminifera,G-dilatatus,D-punctata,N-dahmsi,P-lata,P-cribrata
P-tryoni-tryoni_contig_14493:5077-5140	P-sloanei,G-dilatatus,P-tryoni-tegminifera
P-tryoni-tryoni_contig_3182:1048419-1048569	M-lithgowae
P-tryoni-tryoni_contig_16709:4945-5084	P-tryoni-tryoni-Eungella,M-lithgowae
P-tryoni-tryoni_contig_19231:139260-139300	N-dahmsi,M-lithgowae,N-hanni
P-tryoni-tryoni_contig_20641:433995-434056	P-sloanei,M-lithgowae,G-dilatatus,P-lata
P-tryoni-tryoni_contig_8474:158601-158660	P-gigantea,P-tryoni-tegminifera,M-lithgowae,N-hanni,N-dahmsi
P-tryoni-tryoni_contig_3703:464673-464916	P-tryoni-tegminifera
P-tryoni-tryoni_contig_12101:37263-37305	N-hanni
P-tryoni-tryoni_contig_2381:983135-983275	P-sloanei
P-tryoni-tryoni_contig_21055:21169-21291	P-tryoni-tryoni-Eungella,G-dilatatus,P-sloanei
P-tryoni-tryoni_contig_12752:33160-33225	P-sloanei,N-hanni,P-tryoni-tegminifera,M-lithgowae,G-dilatatus
P-tryoni-tryoni_contig_4454:511921-511994	M-lithgowae,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,P-gigantea
P-tryoni-tryoni_contig_15793:225907-226165	P-tryoni-tegminifera
P-tryoni-tryoni_contig_20470:1222962-1223137	P-gigantea
P-tryoni-tryoni_contig_2521:1759577-1759797	M-lithgowae,N-dahmsi
P-tryoni-tryoni_contig_7086:1317768-1317977	P-tryoni-tryoni-Eungella,M-lithgowae,P-gigantea
P-tryoni-tryoni_contig_19966:89640-89823	N-dahmsi,P-sloanei,P-tryoni-tegminifera,P-gigantea
P-tryoni-tryoni_contig_2918:31954-31992	N-dahmsi,G-dilatatus
P-tryoni-tryoni_contig_19152:56839-56902	P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,M-lithgowae,P-gigantea,P-sloanei,G-dilatatus,N-dahmsi
P-tryoni-tryoni_contig_6694:576141-576216	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-lata,P-cribrata,M-lithgowae,G-dilatatus,P-sloanei,N-hanni,N-dahmsi
P-tryoni-tryoni_contig_16773:50396-50545	N-dahmsi,G-dilatatus,P-tryoni-tryoni-Eungella,P-sloanei,N-hanni,P-lata
P-tryoni-tryoni_contig_8485:196691-196769	P-sloanei
P-tryoni-tryoni_contig_19026:253232-253391	N-dahmsi,P-sloanei
P-tryoni-tryoni_contig_7057:46209-46275	N-dahmsi
P-tryoni-tryoni_contig_10656:2229-2291	P-tryoni-tegminifera,N-dahmsi,N-hanni
P-tryoni-tryoni_contig_6442:140382-140616	M-lithgowae
P-tryoni-tryoni_contig_4260:1064231-1064611	P-gigantea
P-tryoni-tryoni_contig_20368:1055587-1055736	P-gigantea,M-lithgowae
P-tryoni-tryoni_contig_20467:491636-491710	N-dahmsi,G-dilatatus,P-gigantea
P-tryoni-tryoni_contig_8262:158679-158755	P-gigantea,M-lithgowae,P-tryoni-tryoni-Eungella,N-dahmsi
P-tryoni-tryoni_contig_12745:8123-8188	P-tryoni-tegminifera,P-sloanei
P-tryoni-tryoni_contig_12501:386771-386860	P-gigantea,P-tryoni-tegminifera
P-tryoni-tryoni_contig_20555:102670-102770	P-tryoni-tryoni-Eungella
P-tryoni-tryoni_contig_2304:279429-279483	P-tryoni-tryoni-Eungella,P-sloanei,P-cribrata,G-dilatatus,P-gigantea,P-tryoni-tegminifera,P-lata,M-lithgowae,N-hanni,N-dahmsi
P-tryoni-tryoni_contig_20435:370698-370766	G-dilatatus,P-gigantea,P-tryoni-tegminifera,P-sloanei,M-lithgowae,N-dahmsi
P-tryoni-tryoni_contig_18563:275-329	P-sloanei,P-tryoni-tryoni-Eungella,G-dilatatus
P-tryoni-tryoni_contig_6053:143535-143638	P-tryoni-tegminifera,M-lithgowae,P-gigantea,N-dahmsi,N-hanni,P-tryoni-tryoni-Eungella,P-sloanei
P-tryoni-tryoni_contig_19238:56433-56643	P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,M-lithgowae
P-tryoni-tryoni_contig_13960:13852-13962	M-lithgowae,P-sloanei,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
P-tryoni-tryoni_contig_13358:33243-33302	P-sloanei,N-hanni,P-gigantea,P-tryoni-tegminifera,M-lithgowae
P-tryoni-tryoni_contig_19650:456226-456344	N-hanni,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella
P-tryoni-tryoni_contig_19928:548-880	P-tryoni-tegminifera,N-dahmsi
