query_id	subject_id_prefixes
P-tryoni-tryoni-Eungella_contig_6386:3024574-3024637	P-tryoni-tegminifera,P-gigantea,M-lithgowae,G-dilatatus
P-tryoni-tryoni-Eungella_contig_20491:16449-16522	P-tryoni-tegminifera,P-gigantea,G-dilatatus
P-tryoni-tryoni-Eungella_contig_19509:29804-29941	P-tryoni-tryoni,P-tryoni-tegminifera,P-gigantea,N-hanni,M-lithgowae,G-dilatatus
P-tryoni-tryoni-Eungella_contig_20466:437754-437814	P-cribrata,M-lithgowae
P-tryoni-tryoni-Eungella_contig_17295:416450-416593	P-tryoni-tryoni,P-gigantea,G-dilatatus,N-dahmsi,P-tryoni-tegminifera,P-sloanei,N-hanni
P-tryoni-tryoni-Eungella_contig_11041:646265-646565	M-lithgowae
P-tryoni-tryoni-Eungella_contig_1681:1381283-1381355	N-hanni,P-tryoni-tryoni
P-tryoni-tryoni-Eungella_contig_20421:243326-243476	P-sloanei,M-lithgowae,P-tryoni-tegminifera,P-cribrata,N-dahmsi,P-lata,G-dilatatus
P-tryoni-tryoni-Eungella_contig_2138:3782364-3782564	N-dahmsi,P-sloanei,G-dilatatus,P-tryoni-tegminifera,N-hanni,P-lata,P-gigantea,P-cribrata
P-tryoni-tryoni-Eungella_contig_9460:18324-18396	P-tryoni-tegminifera,P-gigantea
P-tryoni-tryoni-Eungella_contig_19685:237122-237441	P-tryoni-tryoni,P-tryoni-tegminifera,N-dahmsi
P-tryoni-tryoni-Eungella_contig_11120:1508728-1509030	M-lithgowae,P-sloanei,P-lata
P-tryoni-tryoni-Eungella_contig_5111:47875-47935	N-dahmsi,P-tryoni-tryoni,M-lithgowae,G-dilatatus,P-tryoni-tegminifera,P-sloanei,P-gigantea
P-tryoni-tryoni-Eungella_contig_6531:3388040-3388093	P-tryoni-tegminifera,N-dahmsi,M-lithgowae,N-hanni
P-tryoni-tryoni-Eungella_contig_11159:3092599-3092958	P-tryoni-tegminifera,M-lithgowae,P-gigantea,N-dahmsi
P-tryoni-tryoni-Eungella_contig_15373:518197-518350	P-tryoni-tegminifera,N-dahmsi,P-gigantea,M-lithgowae,P-sloanei,P-cribrata
P-tryoni-tryoni-Eungella_contig_568:79087-79250	P-gigantea,P-tryoni-tryoni,M-lithgowae
P-tryoni-tryoni-Eungella_contig_44835:161794-161880	P-gigantea
P-tryoni-tryoni-Eungella_contig_1135:117510-117677	G-dilatatus,P-lata
P-tryoni-tryoni-Eungella_contig_39036:330913-330982	P-gigantea,P-tryoni-tegminifera
P-tryoni-tryoni-Eungella_contig_16114:83759-84143	N-dahmsi
P-tryoni-tryoni-Eungella_contig_17337:613627-613763	N-dahmsi
P-tryoni-tryoni-Eungella_contig_32166:1485800-1485912	P-tryoni-tryoni,M-lithgowae,P-sloanei,N-hanni
P-tryoni-tryoni-Eungella_contig_15880:953436-953538	P-tryoni-tegminifera,N-dahmsi,P-sloanei,G-dilatatus
P-tryoni-tryoni-Eungella_contig_2108:295072-295240	N-dahmsi,G-dilatatus,P-tryoni-tegminifera,P-tryoni-tryoni
P-tryoni-tryoni-Eungella_contig_15491:156522-156597	N-dahmsi,N-hanni
P-tryoni-tryoni-Eungella_contig_35980:452385-452442	P-sloanei,N-dahmsi
