Chromosome	Start	End	Feature_Type	Details	Reads
contig_10	10400	10623	intergenic	.	contig_10:10400-10623
contig_10025	752544	752718	intergenic	.	contig_10025:752544-752718
contig_10025	843253	843381	intergenic	.	contig_10025:843253-843381
contig_10025	1034280	1034376	intergenic	.	contig_10025:1034280-1034376
contig_10025	1177832	1177916	gene,mRNA	.	contig_10025:1177832-1177916,contig_10025:1177832-1177916
contig_10025	1471831	1471911	intergenic	.	contig_10025:1471831-1471911
contig_10025	1528272	1528358	intergenic	.	contig_10025:1528272-1528358
contig_10025	1791555	1791661	intergenic	.	contig_10025:1791555-1791661
contig_10061	285979	286107	intergenic	.	contig_10061:285979-286107
contig_10070	421936	422054	gene,mRNA	.	contig_10070:421936-422054,contig_10070:421936-422054
contig_10070	501802	502007	intergenic	.	contig_10070:501802-502007
contig_10070	739164	739247	gene,mRNA	.	contig_10070:739164-739247,contig_10070:739164-739247
contig_10070	954368	954398	intergenic	.	contig_10070:954368-954398
contig_10070	2356275	2356352	gene,mRNA	.	contig_10070:2356275-2356352,contig_10070:2356275-2356352
contig_10070	4215287	4215552	gene,mRNA	.	contig_10070:4215287-4215552,contig_10070:4215287-4215552
contig_10070	4398406	4398487	intergenic	.	contig_10070:4398406-4398487
contig_10070	4490984	4491059	gene,mRNA	.	contig_10070:4490984-4491059,contig_10070:4490984-4491059
contig_10070	4625375	4625616	gene,mRNA	.	contig_10070:4625375-4625616,contig_10070:4625375-4625616
contig_10070	4789185	4789369	intergenic	.	contig_10070:4789185-4789369
contig_10070	4927110	4927253	intergenic	.	contig_10070:4927110-4927253
contig_10070	5004693	5004752	intergenic	.	contig_10070:5004693-5004752
contig_10070	5438306	5438439	intergenic	.	contig_10070:5438306-5438439
contig_10070	5618280	5618366	intergenic	.	contig_10070:5618280-5618366
contig_10071	63216	63401	intergenic	.	contig_10071:63216-63401
contig_10071	213604	213737	intergenic	.	contig_10071:213604-213737
contig_10088	148604	148728	gene,mRNA	.	contig_10088:148604-148728,contig_10088:148604-148728
contig_10088	477487	477814	intergenic	.	contig_10088:477487-477814
contig_10088	477901	477994	intergenic	.	contig_10088:477901-477994
contig_10088	1126665	1126714	intergenic	.	contig_10088:1126665-1126714
contig_10088	1182676	1182747	intergenic	.	contig_10088:1182676-1182747
contig_10088	1574944	1575325	intergenic	.	contig_10088:1574944-1575325
contig_10088	1690233	1690500	gene,mRNA	.	contig_10088:1690233-1690500,contig_10088:1690233-1690500
contig_10088	1701319	1701545	gene,mRNA	.	contig_10088:1701319-1701545,contig_10088:1701319-1701545
contig_10088	1767495	1767626	intergenic	.	contig_10088:1767495-1767626
contig_10088	1840480	1841202	gene,mRNA	.	contig_10088:1840480-1841202,contig_10088:1840480-1841202
contig_10088	2488058	2488273	gene,mRNA	.	contig_10088:2488058-2488273,contig_10088:2488058-2488273
contig_10088	2572616	2572838	intergenic	.	contig_10088:2572616-2572838
contig_10088	2614307	2614393	intergenic	.	contig_10088:2614307-2614393
contig_10088	2648450	2648553	gene,mRNA	.	contig_10088:2648450-2648553,contig_10088:2648450-2648553
contig_10088	3152426	3152694	gene,mRNA	.	contig_10088:3152426-3152694,contig_10088:3152426-3152694
contig_10204	438364	438642	intergenic	.	contig_10204:438364-438642
contig_10204	483257	483396	intergenic	.	contig_10204:483257-483396
contig_10204	613861	614058	intergenic	.	contig_10204:613861-614058
contig_10204	735292	735554	intergenic	.	contig_10204:735292-735554
contig_10204	888288	888383	intergenic	.	contig_10204:888288-888383
contig_10204	888438	888791	intergenic	.	contig_10204:888438-888791
contig_10204	888857	888893	intergenic	.	contig_10204:888857-888893
contig_10204	895674	895720	intergenic	.	contig_10204:895674-895720
contig_10204	1005606	1005767	intergenic	.	contig_10204:1005606-1005767
