Chromosome	Start	End	Feature_Type	Details	Reads
contig_10	241355	241538	intergenic	.	contig_10:241355-241538
contig_10	741731	741778	intergenic	.	contig_10:741731-741778
contig_10005	43399	43496	intergenic	.	contig_10005:43399-43496
contig_10014	22202	22341	intergenic	.	contig_10014:22202-22341
contig_10014	248738	249056	intergenic	.	contig_10014:248738-249056
contig_10055	55592	55701	intergenic	.	contig_10055:55592-55701
contig_10055	141480	141672	intergenic	.	contig_10055:141480-141672
contig_10077	109264	109393	intergenic	.	contig_10077:109264-109393
contig_10211	281349	281628	intergenic	.	contig_10211:281349-281628
contig_10214	335775	335982	intergenic	.	contig_10214:335775-335982
contig_10214	456621	456843	gene,mRNA	.	contig_10214:456621-456843,contig_10214:456621-456843
contig_10214	456912	457012	gene,mRNA	.	contig_10214:456912-457012,contig_10214:456912-457012
contig_10214	574620	574890	gene,mRNA	.	contig_10214:574620-574890,contig_10214:574620-574890
contig_10214	580761	580882	gene,mRNA	.	contig_10214:580761-580882,contig_10214:580761-580882
contig_10214	847682	847870	intergenic	.	contig_10214:847682-847870
contig_10215	105041	105559	intergenic	.	contig_10215:105041-105559
contig_10215	197443	197564	intergenic	.	contig_10215:197443-197564
contig_10215	299938	300008	intergenic	.	contig_10215:299938-300008
contig_10215	376331	376414	intergenic	.	contig_10215:376331-376414
contig_10215	511610	511955	gene,mRNA,exon,CDS	.	contig_10215:511610-511955,contig_10215:511610-511955,contig_10215:511610-511955,contig_10215:511610-511955
contig_10215	517185	517615	intergenic	.	contig_10215:517185-517615
contig_10215	525970	526171	intergenic	.	contig_10215:525970-526171
contig_10215	839593	839756	gene,mRNA	.	contig_10215:839593-839756,contig_10215:839593-839756
contig_10215	942420	942647	intergenic	.	contig_10215:942420-942647
contig_10215	1290035	1290085	intergenic	.	contig_10215:1290035-1290085
contig_10215	1343259	1343315	gene,mRNA	.	contig_10215:1343259-1343315,contig_10215:1343259-1343315
contig_10215	1451571	1451758	intergenic	.	contig_10215:1451571-1451758
contig_10215	1577433	1577530	gene,mRNA	.	contig_10215:1577433-1577530,contig_10215:1577433-1577530
contig_10215	1577651	1577762	gene,mRNA	.	contig_10215:1577651-1577762,contig_10215:1577651-1577762
contig_10215	1804103	1804382	intergenic	.	contig_10215:1804103-1804382
contig_10215	1861223	1861676	intergenic	.	contig_10215:1861223-1861676
contig_10215	1929826	1929879	gene,mRNA	.	contig_10215:1929826-1929879,contig_10215:1929826-1929879
contig_10215	1935154	1935606	gene,mRNA	.	contig_10215:1935154-1935606,contig_10215:1935154-1935606
contig_10215	1957427	1957816	intergenic	.	contig_10215:1957427-1957816
contig_10219	40416	40588	intergenic	.	contig_10219:40416-40588
contig_10219	69144	69312	intergenic	.	contig_10219:69144-69312
contig_10219	87730	88076	intergenic	.	contig_10219:87730-88076
contig_10225	123540	123590	intergenic	.	contig_10225:123540-123590
contig_10228	145235	145475	intergenic	.	contig_10228:145235-145475
contig_10228	174011	174154	intergenic	.	contig_10228:174011-174154
contig_10238	7807	7985	intergenic	.	contig_10238:7807-7985
contig_10252	52569	52609	intergenic	.	contig_10252:52569-52609
contig_10252	152309	152571	intergenic	.	contig_10252:152309-152571
contig_10252	325500	325714	intergenic	.	contig_10252:325500-325714
contig_10252	377808	378004	intergenic	.	contig_10252:377808-378004
contig_10258	157710	157829	intergenic	.	contig_10258:157710-157829
contig_10258	157881	158090	intergenic	.	contig_10258:157881-158090
contig_10258	162697	162798	intergenic	.	contig_10258:162697-162798
contig_10260	96718	96754	gene,mRNA	.	contig_10260:96718-96754,contig_10260:96718-96754
contig_10260	182619	182716	intergenic	.	contig_10260:182619-182716
contig_10261	53106	53417	intergenic	.	contig_10261:53106-53417
contig_10262	40429	40617	intergenic	.	contig_10262:40429-40617
contig_10262	40710	40763	intergenic	.	contig_10262:40710-40763
contig_10262	125000	125221	intergenic	.	contig_10262:125000-125221
contig_10262	150882	151085	intergenic	.	contig_10262:150882-151085
contig_10265	108576	108680	intergenic	.	contig_10265:108576-108680
contig_10265	109009	109066	intergenic	.	contig_10265:109009-109066
contig_10270	59240	59460	intergenic	.	contig_10270:59240-59460
contig_10270	234037	234196	gene,mRNA	.	contig_10270:234037-234196,contig_10270:234037-234196
contig_10270	267002	267202	intergenic	.	contig_10270:267002-267202
contig_10270	465291	465666	intergenic	.	contig_10270:465291-465666
contig_10328	266825	267383	intergenic	.	contig_10328:266825-267383
contig_10329	8460	8643	gene,mRNA	.	contig_10329:8460-8643,contig_10329:8460-8643
contig_10345	67957	68322	intergenic	.	contig_10345:67957-68322
contig_10345	68462	68573	intergenic	.	contig_10345:68462-68573
contig_10368	47390	47613	intergenic	.	contig_10368:47390-47613
contig_10368	77580	77629	intergenic	.	contig_10368:77580-77629
contig_10368	207580	207895	intergenic	.	contig_10368:207580-207895
contig_10368	231252	231417	intergenic	.	contig_10368:231252-231417
contig_10368	238230	238919	intergenic	.	contig_10368:238230-238919
contig_10368	283997	284299	intergenic	.	contig_10368:283997-284299
contig_10368	536473	536843	intergenic	.	contig_10368:536473-536843
contig_10368	549688	549800	intergenic	.	contig_10368:549688-549800
contig_10368	559355	559417	intergenic	.	contig_10368:559355-559417
contig_10368	775545	775645	intergenic	.	contig_10368:775545-775645
contig_10378	253947	254019	intergenic	.	contig_10378:253947-254019
contig_10395	67181	67362	intergenic	.	contig_10395:67181-67362
contig_10395	161930	162178	intergenic	.	contig_10395:161930-162178
