Chromosome	Start	End	Feature_Type	Details	Reads
PYGN01000004.1	1008186	1008242	intergenic	.	PYGN01000004.1:1008186-1008242
PYGN01000004.1	3546450	3546516	intergenic	.	PYGN01000004.1:3546450-3546516
PYGN01000014.1	1916965	1917082	intergenic	.	PYGN01000014.1:1916965-1917082
PYGN01000023.1	2069578	2069739	intergenic	.	PYGN01000023.1:2069578-2069739
PYGN01000024.1	2288218	2288314	mRNA,gene		PYGN01000024.1:2288218-2288314
PYGN01000025.1	3149212	3149286	intergenic	.	PYGN01000025.1:3149212-3149286
PYGN01000034.1	1496872	1497099	intergenic	.	PYGN01000034.1:1496872-1497099
PYGN01000036.1	2916946	2916998	intergenic	.	PYGN01000036.1:2916946-2916998
PYGN01000042.1	1359529	1359777	intergenic	.	PYGN01000042.1:1359529-1359777
PYGN01000050.1	2617762	2617889	intergenic	.	PYGN01000050.1:2617762-2617889
PYGN01000056.1	553248	553473	intergenic	.	PYGN01000056.1:553248-553473
PYGN01000057.1	3560064	3560176	mRNA,gene,CDS,exon		PYGN01000057.1:3560064-3560176
PYGN01000066.1	485921	485987	intergenic	.	PYGN01000066.1:485921-485987
PYGN01000067.1	646574	646708	intergenic	.	PYGN01000067.1:646574-646708
PYGN01000072.1	239525	239689	intergenic	.	PYGN01000072.1:239525-239689
PYGN01000079.1	676260	676331	gene,mRNA		PYGN01000079.1:676260-676331
PYGN01000084.1	1059489	1059647	intergenic	.	PYGN01000084.1:1059489-1059647
PYGN01000095.1	1408648	1408746	intergenic	.	PYGN01000095.1:1408648-1408746
PYGN01000103.1	339168	339238	gene		PYGN01000103.1:339168-339238
PYGN01000107.1	694180	694293	intergenic	.	PYGN01000107.1:694180-694293
PYGN01000110.1	1464958	1465017	intergenic	.	PYGN01000110.1:1464958-1465017
PYGN01000113.1	1287506	1287634	intergenic	.	PYGN01000113.1:1287506-1287634
PYGN01000114.1	140783	140834	mRNA,gene		PYGN01000114.1:140783-140834
PYGN01000114.1	2006209	2006281	intergenic	.	PYGN01000114.1:2006209-2006281
PYGN01000122.1	416226	416358	intergenic	.	PYGN01000122.1:416226-416358
PYGN01000126.1	102758	102817	intergenic	.	PYGN01000126.1:102758-102817
PYGN01000126.1	167042	167114	intergenic	.	PYGN01000126.1:167042-167114
PYGN01000126.1	1748238	1748532	intergenic	.	PYGN01000126.1:1748238-1748532
PYGN01000126.1	1927113	1927163	intergenic	.	PYGN01000126.1:1927113-1927163
PYGN01000126.1	2003692	2003752	intergenic	.	PYGN01000126.1:2003692-2003752
PYGN01000126.1	2544133	2544298	intergenic	.	PYGN01000126.1:2544133-2544298
PYGN01000126.1	3226725	3226786	intergenic	.	PYGN01000126.1:3226725-3226786
PYGN01000129.1	923228	923778	mRNA,gene		PYGN01000129.1:923228-923778
PYGN01000131.1	193093	193263	intergenic	.	PYGN01000131.1:193093-193263
PYGN01000135.1	1505023	1505085	mRNA,gene		PYGN01000135.1:1505023-1505085
PYGN01000136.1	817486	817547	intergenic	.	PYGN01000136.1:817486-817547
PYGN01000143.1	920305	920451	gene,mRNA		PYGN01000143.1:920305-920451
PYGN01000143.1	1547071	1547225	gene,mRNA		PYGN01000143.1:1547071-1547225
PYGN01000149.1	1542100	1542172	intergenic	.	PYGN01000149.1:1542100-1542172
PYGN01000157.1	57800	57851	intergenic	.	PYGN01000157.1:57800-57851
PYGN01000157.1	1472998	1473078	intergenic	.	PYGN01000157.1:1472998-1473078
PYGN01000160.1	1363504	1363562	intergenic	.	PYGN01000160.1:1363504-1363562
PYGN01000164.1	998203	998266	gene,mRNA		PYGN01000164.1:998203-998266
PYGN01000166.1	472313	472379	intergenic	.	PYGN01000166.1:472313-472379
PYGN01000176.1	1483337	1483594	mRNA,gene		PYGN01000176.1:1483337-1483594
PYGN01000177.1	858809	858867	gene,mRNA		PYGN01000177.1:858809-858867
PYGN01000179.1	62041	62096	intergenic	.	PYGN01000179.1:62041-62096
PYGN01000179.1	68467	68526	intergenic	.	PYGN01000179.1:68467-68526
PYGN01000179.1	501341	501403	intergenic	.	PYGN01000179.1:501341-501403
PYGN01000179.1	677343	677394	intergenic	.	PYGN01000179.1:677343-677394
PYGN01000179.1	819432	819502	intergenic	.	PYGN01000179.1:819432-819502
PYGN01000179.1	1167434	1167710	intergenic	.	PYGN01000179.1:1167434-1167710
PYGN01000179.1	1890948	1890999	intergenic	.	PYGN01000179.1:1890948-1890999
PYGN01000179.1	2046655	2046709	intergenic	.	PYGN01000179.1:2046655-2046709
PYGN01000179.1	2070512	2070693	intergenic	.	PYGN01000179.1:2070512-2070693
PYGN01000184.1	740873	740927	intergenic	.	PYGN01000184.1:740873-740927
PYGN01000190.1	233100	233151	mRNA,gene		PYGN01000190.1:233100-233151
PYGN01000192.1	708901	708963	intergenic	.	PYGN01000192.1:708901-708963
PYGN01000213.1	22584	22652	gene,mRNA,five_prime_UTR,exon		PYGN01000213.1:22584-22652
PYGN01000214.1	979735	979789	gene,mRNA		PYGN01000214.1:979735-979789
PYGN01000218.1	1207610	1207673	mRNA,gene		PYGN01000218.1:1207610-1207673
PYGN01000226.1	716251	716346	intergenic	.	PYGN01000226.1:716251-716346
