Chromosome	Start	End	Feature_Type	Details	Reads
contig_10005	426954	427092	intergenic	.	contig_10005:426954-427092
contig_10085	56659	56959	gene,mRNA		contig_10085:56659-56959
contig_10085	607646	607726	gene,mRNA		contig_10085:607646-607726
contig_10117	108161	108264	intergenic	.	contig_10117:108161-108264
contig_10117	108362	108409	intergenic	.	contig_10117:108362-108409
contig_10117	121482	121735	intergenic	.	contig_10117:121482-121735
contig_10133	5267	5361	gene,polyA_signal_sequence		contig_10133:5267-5361
contig_1020	3860	4069	intergenic	.	contig_1020:3860-4069
contig_1020	4178	4254	intergenic	.	contig_1020:4178-4254
contig_1020	16495	16626	intergenic	.	contig_1020:16495-16626
contig_1020	69435	69545	intergenic	.	contig_1020:69435-69545
contig_1023	119547	119784	intergenic	.	contig_1023:119547-119784
contig_10256	41008	41342	gene,polyA_signal_sequence,mRNA,stop_codon,exon,CDS		contig_10256:41008-41342
contig_10256	168370	168480	gene,mRNA		contig_10256:168370-168480
contig_10256	675694	676016	intergenic	.	contig_10256:675694-676016
contig_10256	1096390	1096782	intergenic	.	contig_10256:1096390-1096782
contig_1026	141787	141992	start_codon,exon,CDS,gene,mRNA		contig_1026:141787-141992
contig_10287	207816	208034	intergenic	.	contig_10287:207816-208034
contig_10287	208117	208229	intergenic	.	contig_10287:208117-208229
contig_10328	79231	79428	gene,mRNA		contig_10328:79231-79428
contig_10333	282668	282743	intergenic	.	contig_10333:282668-282743
contig_10333	339054	339327	intergenic	.	contig_10333:339054-339327
contig_10333	672361	672629	intergenic	.	contig_10333:672361-672629
contig_10350	337844	338084	intergenic	.	contig_10350:337844-338084
contig_10350	530551	530636	intergenic	.	contig_10350:530551-530636
contig_10350	681006	681220	gene,mRNA		contig_10350:681006-681220
contig_10350	1086530	1086561	gene,mRNA		contig_10350:1086530-1086561
contig_10350	1332173	1332359	gene,mRNA		contig_10350:1332173-1332359
contig_10350	1332923	1332999	gene,mRNA		contig_10350:1332923-1332999
contig_10368	144908	145149	intergenic	.	contig_10368:144908-145149
contig_10368	168301	168555	intergenic	.	contig_10368:168301-168555
contig_10375	67896	68034	intergenic	.	contig_10375:67896-68034
contig_10375	656559	656621	gene,mRNA		contig_10375:656559-656621
contig_10375	700014	700206	gene,mRNA		contig_10375:700014-700206
contig_10375	730998	731273	intergenic	.	contig_10375:730998-731273
contig_10375	747886	747995	intergenic	.	contig_10375:747886-747995
contig_10375	902322	902422	intergenic	.	contig_10375:902322-902422
contig_10375	903003	903552	intergenic	.	contig_10375:903003-903552
contig_10375	903652	903752	intergenic	.	contig_10375:903652-903752
contig_10384	24785	25006	intergenic	.	contig_10384:24785-25006
contig_10384	320322	320784	intergenic	.	contig_10384:320322-320784
contig_10384	400438	400778	intergenic	.	contig_10384:400438-400778
contig_10402	906566	906688	intergenic	.	contig_10402:906566-906688
contig_10419	260879	260922	intergenic	.	contig_10419:260879-260922
contig_10441	36760	36951	gene,mRNA		contig_10441:36760-36951
contig_10441	329935	330106	gene,mRNA		contig_10441:329935-330106
contig_10441	330228	330323	gene,mRNA		contig_10441:330228-330323
contig_10469	28302	28350	gene,mRNA		contig_10469:28302-28350
contig_10469	366632	366946	gene,polyA_signal_sequence,mRNA,start_codon,exon,CDS,gene		contig_10469:366632-366946
contig_10515	623119	623299	intergenic	.	contig_10515:623119-623299
contig_10523	639310	639464	intergenic	.	contig_10523:639310-639464
contig_10545	76103	76287	intergenic	.	contig_10545:76103-76287
contig_10545	449681	449762	gene,mRNA		contig_10545:449681-449762
contig_10545	450744	450794	gene,mRNA		contig_10545:450744-450794
contig_10545	721018	721147	intergenic	.	contig_10545:721018-721147
contig_10545	721463	721571	intergenic	.	contig_10545:721463-721571
contig_10572	58035	58135	gene,mRNA,exon,CDS		contig_10572:58035-58135
contig_10572	60494	60527	gene,mRNA		contig_10572:60494-60527
contig_10572	201048	201234	intergenic	.	contig_10572:201048-201234
contig_10572	1099328	1099459	intergenic	.	contig_10572:1099328-1099459
contig_10572	1416287	1416475	intergenic	.	contig_10572:1416287-1416475
contig_10584	319734	319927	intergenic	.	contig_10584:319734-319927
contig_10638	356559	356589	exon,CDS,gene,mRNA		contig_10638:356559-356589
contig_10638	568056	568263	intergenic	.	contig_10638:568056-568263
contig_10638	670354	670823	intergenic	.	contig_10638:670354-670823
contig_10638	679732	679948	intergenic	.	contig_10638:679732-679948
contig_10649	33220	33469	intergenic	.	contig_10649:33220-33469
contig_10649	63073	63622	start_codon,exon,CDS,exon,CDS,gene,mRNA		contig_10649:63073-63622
contig_10656	107986	108151	gene,mRNA		contig_10656:107986-108151
contig_10672	29179	29230	intergenic	.	contig_10672:29179-29230
contig_10672	202267	202493	intergenic	.	contig_10672:202267-202493
contig_10672	588585	588888	gene,mRNA		contig_10672:588585-588888
contig_10672	689092	689391	intergenic	.	contig_10672:689092-689391
contig_10672	865791	865991	intergenic	.	contig_10672:865791-865991
contig_10679	3564	3652	intergenic	.	contig_10679:3564-3652
contig_10679	149272	149350	intergenic	.	contig_10679:149272-149350
contig_10679	202129	202177	intergenic	.	contig_10679:202129-202177
