Chromosome	Start	End	Feature_Type	Details	Reads
contig_10005	426954	427087	intergenic	.	AP012548.1_1783
contig_10085	56733	56956	123536	gene	AP012548.1_2909,CP142614.1_2638,CP142623.1_3714,CP142623.1_3715
contig_10085	56733	56956	123536	mRNA	AP012548.1_2909,CP142614.1_2638,CP142623.1_3714,CP142623.1_3715
contig_10085	607646	607723	611437	gene	AP012548.1_2811,CP142614.1_2540,CP142623.1_3812
contig_10085	607646	607723	611437	mRNA	AP012548.1_2811,CP142614.1_2540,CP142623.1_3812
contig_10117	108161	108242	intergenic	.	CP142623.1_1196
contig_10117	121482	121735	intergenic	.	AP012548.1_1606,AP012548.1_1608,CP003000.1_1036,CP142614.1_1323,CP142623.1_804,CP142623.1_805
contig_1020	3957	4253	intergenic	.	AP012548.1_2181,CP001429.2_1817,CP003000.1_842,CP142614.1_1898,CP142623.1_230
contig_1020	16495	16626	intergenic	.	AP012548.1_2278,AP012548.1_2279,CP142614.1_1996,CP142623.1_133,CP142623.1_134
contig_1020	69435	69544	intergenic	.	AP012548.1_3292,CP001487.1_1038,CP142614.1_3021,CP142614.1_3022,CP142623.1_3332
contig_1023	119547	119738	intergenic	.	AP012548.1_2940,AP012548.1_2941,CP001429.2_2978,CP003000.1_2719,CP142614.1_2670,CP142623.1_3682,CP142623.1_3683
contig_10256	41012	41033	intergenic	.	AP012548.1_3269,AP012548.1_3270,CP001429.2_3306,CP001487.1_1060,CP003000.1_3034,CP142614.1_2999,CP142614.1_3000,CP142623.1_3354,CP142623.1_3355
contig_10256	41012	41373	41039	polyA_signal_sequence	AP012548.1_3269,AP012548.1_3270,CP001429.2_3306,CP001487.1_1060,CP003000.1_3034,CP142614.1_2999,CP142614.1_3000,CP142623.1_3354,CP142623.1_3355
contig_10256	41012	41373	41089	stop_codon	AP012548.1_3269,AP012548.1_3270,CP001429.2_3306,CP001487.1_1060,CP003000.1_3034,CP142614.1_2999,CP142614.1_3000,CP142623.1_3354,CP142623.1_3355
contig_10256	41012	41373	41367	CDS	AP012548.1_3269,AP012548.1_3270,CP001429.2_3306,CP001487.1_1060,CP003000.1_3034,CP142614.1_2999,CP142614.1_3000,CP142623.1_3354,CP142623.1_3355
contig_10256	41012	41373	41367	exon	AP012548.1_3269,AP012548.1_3270,CP001429.2_3306,CP001487.1_1060,CP003000.1_3034,CP142614.1_2999,CP142614.1_3000,CP142623.1_3354,CP142623.1_3355
contig_10256	41012	41373	45490	gene	AP012548.1_3269,AP012548.1_3270,CP001429.2_3306,CP001487.1_1060,CP003000.1_3034,CP142614.1_2999,CP142614.1_3000,CP142623.1_3354,CP142623.1_3355
contig_10256	41012	41373	45490	mRNA	AP012548.1_3269,AP012548.1_3270,CP001429.2_3306,CP001487.1_1060,CP003000.1_3034,CP142614.1_2999,CP142614.1_3000,CP142623.1_3354,CP142623.1_3355
contig_10256	168370	168476	179900	mRNA	AP012548.1_36,CP001487.1_75,CP142614.1_3976,CP142623.1_2374
contig_10256	168370	168476	179980	gene	AP012548.1_36,CP001487.1_75,CP142614.1_3976,CP142623.1_2374
contig_10256	675812	676016	intergenic	.	AP012548.1_3295,CP003000.1_3057,CP142614.1_3024,CP142623.1_3329
contig_10256	1096390	1096776	intergenic	.	AP012548.1_3753,AP012548.1_3754,CP001429.2_3788,CP001429.2_3789,CP001487.1_578,CP001487.1_579,CP001487.1_580,CP003000.1_3507,CP142614.1_3475,CP142614.1_3476,CP142614.1_3477,CP142623.1_2872,CP142623.1_2873
contig_1026	141788	141910	intergenic	.	AP012548.1_2505,CP001429.2_2520,CP001487.1_1863,CP001487.1_1864,CP003000.1_2253,CP142614.1_2223,CP142623.1_4117,CP142623.1_4118
contig_1026	141788	141991	141913	start_codon	AP012548.1_2505,CP001429.2_2520,CP001487.1_1863,CP001487.1_1864,CP003000.1_2253,CP142614.1_2223,CP142623.1_4117,CP142623.1_4118
contig_1026	141788	141991	141916	CDS	AP012548.1_2505,CP001429.2_2520,CP001487.1_1863,CP001487.1_1864,CP003000.1_2253,CP142614.1_2223,CP142623.1_4117,CP142623.1_4118
contig_1026	141788	141991	141916	exon	AP012548.1_2505,CP001429.2_2520,CP001487.1_1863,CP001487.1_1864,CP003000.1_2253,CP142614.1_2223,CP142623.1_4117,CP142623.1_4118
contig_1026	141788	141991	162139	mRNA	AP012548.1_2505,CP001429.2_2520,CP001487.1_1863,CP001487.1_1864,CP003000.1_2253,CP142614.1_2223,CP142623.1_4117,CP142623.1_4118
contig_1026	141788	141991	162216	gene	AP012548.1_2505,CP001429.2_2520,CP001487.1_1863,CP001487.1_1864,CP003000.1_2253,CP142614.1_2223,CP142623.1_4117,CP142623.1_4118
contig_10287	207850	208517	intergenic	.	AP012548.1_3036,CP001429.2_2911,CP003000.1_1017,CP142614.1_1342,CP142614.1_2765,CP142623.1_3586
contig_10328	79255	79388	81981	mRNA	AP012548.1_2866
contig_10328	79255	79388	82151	gene	AP012548.1_2866
contig_10328	333231	333392	336325	gene	AP012548.1_4002,CP142614.1_3725,CP142623.1_2624
contig_10328	333231	333392	336325	mRNA	AP012548.1_4002,CP142614.1_3725,CP142623.1_2624
contig_10333	339065	339327	intergenic	.	AP012548.1_1756,CP001429.2_1762,CP001487.1_2609,CP003000.1_896,CP142614.1_1472,CP142623.1_657
contig_10333	672367	672639	intergenic	.	AP012548.1_3199,CP001429.2_3235
contig_10350	337842	338083	intergenic	.	AP012548.1_543,AP012548.1_544,CP142614.1_261,CP142623.1_1870
contig_10350	530556	530635	intergenic	.	AP012548.1_2663,CP142623.1_3958,CP142623.1_3959
contig_10350	681007	681219	684881	gene	AP012548.1_2322,CP001429.2_2336,CP001487.1_2044,CP003000.1_2080,CP142614.1_2039,CP142623.1_1545,CP142623.1_90
contig_10350	681007	681219	684881	mRNA	AP012548.1_2322,CP001429.2_2336,CP001487.1_2044,CP003000.1_2080,CP142614.1_2039,CP142623.1_1545,CP142623.1_90
contig_10350	1332923	1332998	1387400	gene	CP142623.1_1730
contig_10350	1332923	1332998	1387400	mRNA	CP142623.1_1730
contig_10368	144910	145084	intergenic	.	AP012548.1_685,CP142614.1_402,CP142623.1_1729
contig_10375	67896	68031	intergenic	.	AP012548.1_3693,CP001487.1_3056,CP003000.1_1274,CP142614.1_3416,CP142623.1_2933
contig_10375	700013	700204	709810	mRNA	AP012548.1_2285,AP012548.1_2286,CP001429.2_2300,CP001487.1_2081,CP003000.1_2044,CP142614.1_2002,CP142614.1_2003,CP142623.1_126
contig_10375	700013	700204	709991	gene	AP012548.1_2285,AP012548.1_2286,CP001429.2_2300,CP001487.1_2081,CP003000.1_2044,CP142614.1_2002,CP142614.1_2003,CP142623.1_126
contig_10375	730999	731229	intergenic	.	AP012548.1_4145,AP012548.1_4146,CP003000.1_3845,CP142614.1_3869,CP142623.1_2481
contig_10384	24865	25006	intergenic	.	AP012548.1_3066,CP001429.2_3103,CP142623.1_3556
contig_10384	320325	320784	intergenic	.	AP012548.1_1283,AP012548.1_339,AP012548.1_340,CP001429.2_1289,CP001487.1_3082,CP001487.1_4019,CP001487.1_4020,CP003000.1_1300,CP142614.1_1000,CP142614.1_1001,CP142614.1_57,CP142623.1_1128,CP142623.1_1129,CP142623.1_2069
contig_10384	400588	400700	intergenic	.	AP012548.1_2539,CP001487.1_1829,CP003000.1_2286,CP142614.1_2257,CP142614.1_226,CP142623.1_4084
contig_10402	906577	906688	intergenic	.	AP012548.1_1246,CP001487.1_3118
contig_10441	36760	36950	43155	gene	AP012548.1_1796,AP012548.1_2352,CP001429.2_2366,CP142614.1_1512,CP142614.1_2071,CP142623.1_59,CP142623.1_60,CP142623.1_616,CP142623.1_617
contig_10441	36760	36950	43155	mRNA	AP012548.1_1796,AP012548.1_2352,CP001429.2_2366,CP142614.1_1512,CP142614.1_2071,CP142623.1_59,CP142623.1_60,CP142623.1_616,CP142623.1_617
contig_10441	329941	330317	375666	gene	AP012548.1_2502,AP012548.1_2503,CP001429.2_2517,CP001487.1_1866,CP003000.1_2250,CP142614.1_2220,CP142614.1_2221,CP142623.1_4120,CP142623.1_4121
contig_10441	329941	330317	375666	mRNA	AP012548.1_2502,AP012548.1_2503,CP001429.2_2517,CP001487.1_1866,CP003000.1_2250,CP142614.1_2220,CP142614.1_2221,CP142623.1_4120,CP142623.1_4121
contig_10469	366629	366945	366735	gene	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10469	366629	366945	366735	polyA_signal_sequence	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10469	366629	366945	366931	start_codon	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10469	366629	366945	368651	CDS	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10469	366629	366945	368651	exon	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10469	366629	366945	376704	mRNA	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10469	366629	366945	377306	gene	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10469	366735	366928	intergenic	.	AP012548.1_2894,AP012548.1_2895,CP142614.1_2623,CP142614.1_2624,CP142623.1_3728,CP142623.1_3729
contig_10515	623119	623296	intergenic	.	AP012548.1_3291,CP001429.2_3327,CP001487.1_1039,CP003000.1_3054,CP142614.1_3020,CP142614.1_3021,CP142623.1_3333
contig_10523	639312	639395	intergenic	.	CP142623.1_63
contig_10545	76104	76284	intergenic	.	AP012548.1_1617,AP012548.1_1618,CP142614.1_1334,CP142623.1_794
contig_10545	449681	449758	455798	gene	AP012548.1_60,CP142614.1_4000,CP142623.1_2350
contig_10545	449681	449758	455798	mRNA	AP012548.1_60,CP142614.1_4000,CP142623.1_2350
contig_10545	721018	721147	intergenic	.	AP012548.1_1217,CP001429.2_1223,CP001487.1_3148,CP142614.1_934,CP142623.1_1195
contig_10545	721465	721568	intergenic	.	AP012548.1_1216,CP142614.1_933,CP142623.1_1195
contig_10572	201048	201217	intergenic	.	AP012548.1_1281,CP142614.1_998,CP142623.1_1130
contig_10572	1099328	1099459	intergenic	.	AP012548.1_2189,CP001487.1_2177,CP142623.1_223
contig_10572	1416287	1416475	intergenic	.	AP012548.1_3697,AP012548.1_4160,CP142614.1_3883,CP142614.1_3884,CP142623.1_2466,CP142623.1_2467
contig_10584	319735	319926	intergenic	.	AP012548.1_4072,AP012548.1_4073,CP001429.2_4113,CP142614.1_3795,CP142614.1_3796,CP142623.1_2553,CP142623.1_2554
contig_10638	568056	568263	intergenic	.	AP012548.1_2050,AP012548.1_2051,CP001429.2_2057,CP001487.1_2316,CP003000.1_616,CP142614.1_1766,CP142614.1_1767,CP142623.1_362,CP142623.1_363
contig_10638	670366	670829	intergenic	.	AP012548.1_2831,AP012548.1_2832,CP001429.2_2864,CP001487.1_1495,CP003000.1_2619,CP142614.1_2560,CP142614.1_2561,CP142614.1_2562,CP142623.1_3790,CP142623.1_3791,CP142623.1_3792
contig_10638	679735	679948	intergenic	.	AP012548.1_1015,AP012548.1_1016,CP001429.2_1004,CP142614.1_734,CP142623.1_1397
contig_10649	33220	33468	intergenic	.	AP012548.1_3536,AP012548.1_3537,CP001487.1_795,CP142614.1_3264,CP142614.1_3265,CP142623.1_3090,CP142623.1_3091
contig_10649	63073	63458	intergenic	.	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10649	63073	63620	63461	start_codon	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10649	63073	63620	63504	CDS	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10649	63073	63620	63504	exon	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10649	63073	63620	63777	CDS	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10649	63073	63620	63777	exon	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10649	63073	63620	67868	mRNA	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10649	63073	63620	67931	gene	AP012548.1_1395,AP012548.1_1397,AP012548.1_1398,CP001429.2_1405,CP001487.1_2967,CP001487.1_2968,CP142614.1_1112,CP142614.1_1113,CP142614.1_1114,CP142614.1_1115,CP142623.1_1013,CP142623.1_1016
contig_10656	107986	108139	108711	mRNA	AP012548.1_691,CP142623.1_1723
contig_10656	107986	108139	108806	gene	AP012548.1_691,CP142623.1_1723
contig_10672	202292	202491	intergenic	.	AP012548.1_3348,CP142614.1_3078,CP142623.1_3276
