query_id	subject_id_prefixes
D-punctata_JASPKZ010007584.1:181228-181295	P-tryoni-tegminifera
D-punctata_JASPKZ010000793.1:464776-464870	P-sloanei,P-tryoni-tegminifera
D-punctata_JASPKZ010007470.1:91927-91959	M-lithgowae,N-dahmsi
D-punctata_JASPKZ010009355.1:196684-196734	P-tryoni-tegminifera,P-gigantea,P-tryoni-tryoni,P-lata,G-dilatatus,M-lithgowae,P-sloanei,P-cribrata
D-punctata_JASPKZ010008366.1:349711-349755	P-cribrata,M-lithgowae,G-dilatatus
D-punctata_JASPKZ010004179.1:32792-32826	P-sloanei
D-punctata_JASPKZ010000021.1:1080963-1081015	P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,M-lithgowae,G-dilatatus,P-tryoni-tegminifera,P-cribrata,P-lata
D-punctata_JASPKZ010008746.1:284114-284187	P-gigantea,P-tryoni-tryoni,M-lithgowae,P-tryoni-tryoni-Eungella,P-tryoni-tegminifera,P-sloanei,N-dahmsi
D-punctata_JASPKZ010007452.1:278853-278898	M-lithgowae,P-gigantea,P-tryoni-tryoni
D-punctata_JASPKZ010005301.1:3497246-3497300	N-hanni,P-gigantea,P-tryoni-tryoni-Eungella,N-dahmsi,M-lithgowae,P-tryoni-tegminifera
D-punctata_JASPKZ010002742.1:82025-82058	P-americana
D-punctata_JASPKZ010009356.1:114514-114550	P-tryoni-tegminifera,N-dahmsi,G-dilatatus
D-punctata_JASPKZ010007908.1:12611-12641	P-americana
D-punctata_JASPKZ010008717.1:28632-28695	P-gigantea,P-tryoni-tryoni,P-tryoni-tegminifera,M-lithgowae,N-dahmsi
D-punctata_JASPKZ010003435.1:767436-767559	P-tryoni-tegminifera,P-gigantea
D-punctata_JASPKZ010008023.1:979831-979890	P-gigantea,P-tryoni-tegminifera,P-tryoni-tryoni-Eungella,N-hanni,G-dilatatus
D-punctata_JASPKZ010003862.1:874971-875034	P-gigantea
D-punctata_JASPKZ010008031.1:64168-64220	P-tryoni-tegminifera
D-punctata_JASPKZ010004216.1:816141-816187	M-lithgowae,P-tryoni-tryoni
D-punctata_JASPKZ010007324.1:486696-486736	B-germanica
D-punctata_JASPKZ010006054.1:965039-965136	G-dilatatus
D-punctata_JASPKZ010007690.1:182824-182855	P-lata
D-punctata_JASPKZ010002304.1:1171763-1171794	P-americana,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,P-tryoni-tegminifera,P-sloanei,P-lata,N-hanni,N-dahmsi,M-lithgowae,G-dilatatus,B-germanica,C-formosanus
D-punctata_JASPKZ010007226.1:344053-344119	P-tryoni-tryoni,P-tryoni-tegminifera,N-dahmsi,M-lithgowae,P-tryoni-tryoni-Eungella
D-punctata_JASPKZ010009666.1:74540-74605	P-sloanei,P-cribrata,P-tryoni-tryoni,N-hanni,M-lithgowae
D-punctata_JASPKZ010002312.1:709422-709510	P-lata
D-punctata_JASPKZ010008018.1:214602-214773	G-dilatatus
D-punctata_JASPKZ010007916.1:454885-454916	P-americana,P-gigantea,P-tryoni-tryoni-Eungella,P-tryoni-tryoni,B-germanica,N-dahmsi,P-lata
D-punctata_JASPKZ010007246.1:435107-435232	B-germanica
D-punctata_JASPKZ010001970.1:836114-836144	B-germanica
D-punctata_JASPKZ010010255.1:230434-230511	P-tryoni-tryoni,P-gigantea,P-tryoni-tegminifera,P-sloanei,M-lithgowae
D-punctata_JASPKZ010005688.1:187140-187181	P-lata,P-cribrata
D-punctata_JASPKZ010007340.1:1605957-1606006	M-lithgowae,P-tryoni-tegminifera,P-sloanei,P-lata,N-hanni,N-dahmsi,P-tryoni-tryoni
D-punctata_JASPKZ010000818.1:508913-508987	P-sloanei,M-lithgowae,P-gigantea,P-tryoni-tryoni-Eungella,N-hanni,G-dilatatus
D-punctata_JASPKZ010009790.1:4257389-4257491	P-tryoni-tegminifera,M-lithgowae
D-punctata_JASPKZ010007355.1:810052-810214	P-gigantea,P-tryoni-tegminifera
D-punctata_JASPKZ010006434.1:519284-519383	P-tryoni-tegminifera,N-hanni
