file,gc_percent,num_sequences
Neogeoscapheus-hanni_genome-assembly.fasta,35.39727205682318,270019
Panesthia-cribrata_genome-assembly.fasta,35.86794059047511,208401
Periplaneta_americana.genome.fasta,35.688274766627146,18601
Geoscapheus-dilatatus_genome-assembly.fasta,35.06536622487996,84284
GCA_030220185.1_Dpun_1.1_genomic.fasta,34.82392579832175,10699
M1_flye-assembly_run2_polished-it2.fasta,35.826196445931444,11181
Periplaneta-americana_CNA0019281.fasta,35.68274657349556,77873
Blattella_germanica.genome.fasta,34.49855798866357,24818
Periplaneta-americana_GCA_025594305.2_ASM2559430v2.fasta,35.419840808352475,48
P-americana_PRJNA1098420_pacbio_prim-assembly.fasta,35.48486820600193,981
Coptotermes_formosanus.genome.fasta,40.556991246677875,12995
Cryptotermes_secundus.genome.fasta,41.07112396426852,55483
GCA_000762945.2_Bger_2.0_genomic.fasta,34.577298938340725,28065
Reticulitermes_lucifugus.genome.fasta,39.602118263167945,63274
Znevadensis_20230531.contig.fasta,38.95093033235704,546
Z1_flye-assembly_polished-it2_filtered.fasta,35.84678397117189,14700
Zootermopsis_nevadensis.genome.fasta,38.177413270450856,31663
Z4_flye-assembly_polished-it2_filtered.fasta,35.87694770977443,6811
Z5_flye-assembly_polished-it2_filtered.fasta,35.9235066266199,13000
Z010_flye_polished_purged_filtered.fasta,35.67249516137475,4559
Z011_flye_polished_purged_filtered.fasta,35.76072493918899,4276
Z012_flye_polished_purged_filtered.fasta,35.768320992195214,5154
Z014_flye_polished_purged_filtered.fasta,35.469497502864236,2184
