fasta_file,gc_percent,num_sequences
Reticulitermes-lucifugus_filtered_7.v1.fasta,17.88617886178862,7
Panesthia-lata_filtered_7.v1.fasta,24.665638768248137,1588
Panesthia-sloanei_filtered_7.v1.fasta,24.5062772861142,2920
Panesthia-tryoni-tryoni_filtered_7.v1.fasta,24.610968116152186,4193
Periplaneta-americana-v4_filtered_7.v1.fasta,28.896343752649233,648
Neogeoscapheus-hanni_filtered_7.v1.fasta,24.530927531104428,2751
Zootermopsis-nevadensis-v2_filtered_7.v1.fasta,40.10416666666667,14
Panesthia-cribrata_filtered_7.v1.fasta,24.724396507447356,1532
Geoscapheus-dilatatus_filtered_7.v1.fasta,24.19920430120054,4257
Periplaneta-americana-v1_filtered_7.v1.fasta,28.409033111235445,308
Periplaneta-americana-v2_filtered_7.v1.fasta,28.406793368378487,101
Periplaneta-americana-v3_filtered_7.v1.fasta,28.831961747068295,658
Parapanesthia-gigantea_filtered_7.v1.fasta,24.576862457410993,3794
Neogeoscapheus-dahmsi_filtered_7.v1.fasta,24.565093714859707,4619
Panesthia-tryoni-tegminifera_filtered_7.v1.fasta,24.586946195327133,3673
Blattella-germanica-v1_filtered_7.v1.fasta,29.464878502190945,278
Macropanesthia-lithgowae_filtered_7.v1.fasta,24.500839414402417,4955
Diploptera-punctata_filtered_7.v1.fasta,25.63863862284425,511
Blattella-germanica-v2_filtered_7.v1.fasta,29.602010323281718,285
Panesthia-tryoni-tryoni-Eungella_filtered_7.v1.fasta,24.61804202203506,4031
