Chromosome	Start	End	Feature_Type	Details	Reads
contig_1171	80938	80986	gene,mRNA,exon,CDS		contig_1171:80938-80986
contig_1171	85315	85404	gene,mRNA,exon,CDS		contig_1171:85315-85404
contig_1171	85585	85636	gene,mRNA,exon,CDS		contig_1171:85585-85636
contig_1171	85952	86012	gene,mRNA		contig_1171:85952-86012
contig_1171	86420	86452	gene,mRNA		contig_1171:86420-86452
contig_1171	91120	91155	gene,mRNA,exon,CDS		contig_1171:91120-91155
contig_1171	92454	92494	gene,mRNA,exon,CDS		contig_1171:92454-92494
contig_1171	92566	92643	gene,mRNA,exon,CDS		contig_1171:92566-92643
contig_1201	447209	447240	gene,mRNA		contig_1201:447209-447240
contig_1268	41650	41704	intergenic	.	contig_1268:41650-41704
contig_1275	33460	33512	intergenic	.	contig_1275:33460-33512
contig_1275	480886	481064	intergenic	.	contig_1275:480886-481064
contig_1275	481587	481638	intergenic	.	contig_1275:481587-481638
contig_1275	595531	595577	gene,mRNA,exon,CDS		contig_1275:595531-595577
contig_1275	785693	785725	intergenic	.	contig_1275:785693-785725
contig_1275	893956	893992	gene,tRNA,exon		contig_1275:893956-893992
contig_1275	912148	912178	gene,mRNA,exon,CDS		contig_1275:912148-912178
contig_1304	38867	38903	intergenic	.	contig_1304:38867-38903
contig_1394	8737	8792	gene,mRNA,exon,CDS		contig_1394:8737-8792
contig_1581	1308	1347	intergenic	.	contig_1581:1308-1347
contig_1581	1407	1444	intergenic	.	contig_1581:1407-1444
contig_1581	1679	1716	intergenic	.	contig_1581:1679-1716
contig_1581	2007	2043	intergenic	.	contig_1581:2007-2043
contig_1581	2309	2380	intergenic	.	contig_1581:2309-2380
contig_1581	45770	45826	gene,tRNA,exon		contig_1581:45770-45826
contig_1663	10831	10871	intergenic	.	contig_1663:10831-10871
contig_1663	44478	44519	gene,mRNA,exon,CDS		contig_1663:44478-44519
contig_1872	984210	984240	intergenic	.	contig_1872:984210-984240
contig_1880	989720	989752	gene,mRNA		contig_1880:989720-989752
contig_2284	18587	18626	gene,mRNA,exon,CDS		contig_2284:18587-18626
contig_2497	23603	23672	CDS,exon,gene,mRNA		contig_2497:23603-23672
contig_2574	11523	11581	gene,mRNA,CDS,exon		contig_2574:11523-11581
contig_258	5264526	5264556	gene,mRNA		contig_258:5264526-5264556
contig_3099	3774	3852	gene,tRNA,exon		contig_3099:3774-3852
contig_3331	35051	35087	intergenic	.	contig_3331:35051-35087
contig_34	67165	67206	gene,tRNA,exon		contig_34:67165-67206
contig_3427	15929	15980	gene,mRNA,exon,CDS		contig_3427:15929-15980
contig_3427	23494	23530	gene,mRNA,exon,CDS		contig_3427:23494-23530
contig_3427	64504	64544	intergenic	.	contig_3427:64504-64544
contig_3427	66475	66548	intergenic	.	contig_3427:66475-66548
contig_3427	67529	67795	intergenic	.	contig_3427:67529-67795
contig_3457	123298	123338	intergenic	.	contig_3457:123298-123338
contig_3457	124319	124386	intergenic	.	contig_3457:124319-124386
contig_3457	124437	124479	intergenic	.	contig_3457:124437-124479
contig_385	672416	672460	gene,tRNA,exon		contig_385:672416-672460
contig_554	25802	25853	gene,mRNA,exon,CDS		contig_554:25802-25853
contig_699	176078	176111	intergenic	.	contig_699:176078-176111
contig_74	1750163	1750194	gene,mRNA		contig_74:1750163-1750194
contig_758	421792	421829	gene,mRNA,exon,CDS		contig_758:421792-421829
contig_822	22929	22959	gene,mRNA		contig_822:22929-22959
